Jobp	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5	Desc1	Desc2	Desc3	Desc4	Desc5
CarryEnemyToDest											Ta tuyệt đối sẽ không đem hôn mê địch nhân đem đến vận chuyển điểm	Ta cực ít đem hôn mê địch nhân đem đến vận chuyển điểm	Ta thỉnh thoảng sẽ đem hôn mê địch nhân đem đến vận chuyển điểm	Ta có đôi khi sẽ đem hôn mê địch nhân đem đến vận chuyển điểm	Ta thường xuyên đem hôn mê địch nhân đem đến vận chuyển điểm
CarryIncomingToDest											Ta tuyệt đối sẽ không đem hôn mê phàm nhân đem đến vận chuyển điểm	Ta cực ít đem hôn mê phàm nhân đem đến vận chuyển điểm	Ta thỉnh thoảng sẽ đem hôn mê phàm nhân đem đến vận chuyển điểm	Ta có đôi khi sẽ đem hôn mê phàm nhân đem đến vận chuyển điểm	Ta thường xuyên đem hôn mê phàm nhân đem đến vận chuyển điểm
CarryEnemyBodyToDest											Ta tuyệt đối sẽ không đem thi thể của địch nhân đem đến vận chuyển điểm	Ta cực ít đem thi thể của địch nhân đem đến vận chuyển điểm	Ta thỉnh thoảng sẽ đem thi thể của địch nhân đem đến vận chuyển điểm	Ta có đôi khi sẽ đem thi thể của địch nhân đem đến vận chuyển điểm	Ta thường xuyên đem thi thể của địch nhân đem đến vận chuyển điểm
CarryVisitorBodyToDest											Ta tuyệt đối sẽ không đem khách tới thăm thi thể đem đến vận chuyển điểm	Ta cực ít đem khách tới thăm thi thể đem đến vận chuyển điểm	Ta thỉnh thoảng sẽ đem khách tới thăm thi thể đem đến vận chuyển điểm	Ta có đôi khi sẽ đem khách tới thăm thi thể đem đến vận chuyển điểm	Ta thường xuyên đem khách tới thăm thi thể đem đến vận chuyển điểm
CarryIncomingBodyToDest											Ta tuyệt đối sẽ không đem phàm nhân thi thể đem đến vận chuyển điểm	Ta cực ít đem phàm nhân thi thể đem đến vận chuyển điểm	Ta thỉnh thoảng sẽ đem phàm nhân thi thể đem đến vận chuyển điểm	Ta có đôi khi sẽ đem phàm nhân thi thể đem đến vận chuyển điểm	Ta thường xuyên đem phàm nhân thi thể đem đến vận chuyển điểm
HelpCarry	0	-1	-1	-1	-1						Ta tuyệt đối sẽ không giúp khuân vận vật phẩm	Ta cực ít giúp khuân vận vật phẩm	Ta thỉnh thoảng sẽ giúp khuân vận vật phẩm	Ta có đôi khi giúp khuân vận vật phẩm	Ta thường xuyên giúp khuân vận vật phẩm
HelpTimber											Ta tuyệt đối sẽ không hỗ trợ đốn cây	Ta cực ít hỗ trợ đốn cây	Ta thỉnh thoảng sẽ hỗ trợ đốn cây	Ta có đôi khi hỗ trợ đốn cây	Ta thường xuyên hỗ trợ đốn cây
HelpMine											Ta tuyệt đối sẽ không hỗ trợ lấy quặng	Ta cực ít hỗ trợ lấy quặng	Ta thỉnh thoảng sẽ hỗ trợ lấy quặng	Ta có đôi khi hỗ trợ lấy quặng	Ta thường xuyên hỗ trợ lấy quặng
HelpFind											Ta tuyệt đối sẽ không lục soát trên người địch nhân vật phẩm	Ta cực ít lục soát trên người địch nhân vật phẩm	Ta thỉnh thoảng sẽ lục soát trên người địch nhân vật phẩm	Ta có đôi khi sẽ lục soát trên người địch nhân vật phẩm	Ta thường xuyên lục soát trên người địch nhân vật phẩm
HelpKill											Ta tuyệt đối sẽ không đồ tể động vật	Ta cực ít đồ tể động vật	Ta thỉnh thoảng sẽ đồ tể động vật	Ta có đôi khi sẽ đồ tể động vật	Ta thường xuyên đồ tể động vật
HelpPlant											Ta tuyệt đối sẽ không hướng cây nông nghiệp đi tiểu	Ta cực ít hướng cây nông nghiệp đi tiểu	Ta thỉnh thoảng sẽ hướng cây nông nghiệp đi tiểu	Ta có đôi khi sẽ hướng cây nông nghiệp đi tiểu	Ta thường xuyên hướng cây nông nghiệp đi tiểu
Pee											Ta tuyệt đối sẽ không hướng cây nông nghiệp đi tiểu	Ta cực ít hướng cây nông nghiệp đi tiểu	Ta thỉnh thoảng sẽ hướng cây nông nghiệp đi tiểu	Ta có đôi khi sẽ hướng cây nông nghiệp đi tiểu	Ta thường xuyên hướng cây nông nghiệp đi tiểu
CureFreeze											Ta tuyệt đối sẽ không trị liệu đông thương	Ta cực ít trị liệu đông thương	Ta thỉnh thoảng sẽ trị liệu đông thương	Ta có đôi khi sẽ trị liệu đông thương	Ta thường xuyên trị liệu đông thương
CureHot											Ta tuyệt đối sẽ không trị liệu bị cảm nắng	Ta cực ít trị liệu bị cảm nắng	Ta thỉnh thoảng sẽ trị liệu bị cảm nắng	Ta có đôi khi sẽ trị liệu bị cảm nắng	Ta thường xuyên trị liệu bị cảm nắng
HelpCook											Ta tuyệt đối không giúp đỡ nấu cơm	Ta cực ít giúp làm cơm	Ta thỉnh thoảng sẽ giúp làm cơm	Ta có đôi khi sẽ hỗ trợ nấu cơm	Ta thường xuyên giúp làm cơm
HeatEndure											Ta tuyệt đối không đối đệ tử phóng ra thanh lương chú	Ta cực ít đối đệ tử phóng ra thanh lương chú	Ta thỉnh thoảng sẽ đối đệ tử phóng ra thanh lương chú	Ta có đôi khi sẽ đối đệ tử phóng ra thanh lương chú	Ta thường xuyên đối đệ tử phóng ra thanh lương chú
ColdEndure											Ta tuyệt đối không đối đệ tử phóng ra độ nóng trong lò chú	Ta cực ít đối đệ tử phóng ra độ nóng trong lò chú	Ta thỉnh thoảng sẽ đối đệ tử phóng ra độ nóng trong lò chú	Ta có đôi khi sẽ đối đệ tử phóng ra độ nóng trong lò chú	Ta thường xuyên đối đệ tử phóng ra độ nóng trong lò chú
HelpPlay											Ta tuyệt đối không đi đùa đệ tử vui vẻ	Ta cực ít đi đùa đệ tử vui vẻ	Ta thỉnh thoảng sẽ đi đùa đệ tử vui vẻ	Ta có đôi khi sẽ đùa đệ tử vui vẻ	Ta thường xuyên đi đùa đệ tử vui vẻ
FeedTongXie											Ta tuyệt đối sẽ không cho ăn đệ tử thông tiết tán	Ta cực ít đi đút đệ tử thông tiết tán	Ta thỉnh thoảng sẽ đi đút đệ tử thông tiết tán	Ta có đôi khi sẽ đi cho ăn đệ tử thông tiết tán	Ta thường xuyên đi đút đệ tử thông tiết tán
CureInner											Ta tuyệt đối sẽ không sử dụng hóa tổn thương thuật trị liệu thương thế	Ta cực ít sử dụng hóa tổn thương thuật trị liệu thương thế	Ta thỉnh thoảng sẽ sử dụng hóa tổn thương thuật trị liệu thương thế	Ta có đôi khi sử dụng hóa tổn thương thuật trị liệu thương thế	Ta thường xuyên sử dụng hóa tổn thương thuật trị liệu thương thế
HealInner											Ta tuyệt đối sẽ không sử dụng hóa tổn thương thuật trị liệu thương thế	Ta cực ít sử dụng hóa tổn thương thuật trị liệu thương thế	Ta thỉnh thoảng sẽ sử dụng hóa tổn thương thuật trị liệu thương thế	Ta có đôi khi sử dụng hóa tổn thương thuật trị liệu thương thế	Ta thường xuyên sử dụng hóa tổn thương thuật trị liệu thương thế
PlayToy											Ta tuyệt đối sẽ không chơi đùa cỗ	Ta cực ít chơi đùa cỗ	Ta thỉnh thoảng sẽ đi chơi cỗ	Ta có đôi khi sẽ chơi đùa cỗ	Ta thường xuyên chơi đùa cỗ
TrainQiGan											Ta tuyệt đối không luyện linh khí	Ta cực ít luyện linh khí	Ta thỉnh thoảng sẽ luyện linh khí	Ta có đôi khi luyện linh khí	Ta thường xuyên luyện linh khí
TrainNeiDan						0	1	1	1	1	Ta tuyệt đối không luyện ngự đan	Ta cực ít luyện ngự đan	Ta thỉnh thoảng sẽ luyện ngự đan	Ta có đôi khi luyện ngự đan	Ta thường xuyên luyện ngự đan
TrainHuTi											Ta tuyệt đối không luyện hộ thể	Ta cực ít luyện hộ thể	Ta thỉnh thoảng sẽ luyện hộ thể	Ta có đôi khi luyện hộ thể	Ta thường xuyên luyện hộ thể
TrainLingZhi											Ta tuyệt đối không luyện linh trí	Ta cực ít luyện linh trí	Ta thỉnh thoảng sẽ luyện linh trí	Ta có đôi khi luyện linh trí	Ta thường xuyên luyện linh trí
TrainShuFa						0	1	1	1	1	Ta tuyệt đối không luyện thuật pháp	Ta cực ít luyện thuật pháp	Ta thỉnh thoảng sẽ luyện thuật pháp	Ta có đôi khi luyện thuật pháp	Ta thường xuyên luyện thuật pháp
HelpPlantD											Ta tuyệt đối sẽ không đi dược điền đi tiểu	Ta cực ít đi dược điền đi tiểu	Ta thỉnh thoảng sẽ đi dược điền đi tiểu	Ta có đôi khi sẽ đi dược điền đi tiểu	Ta thường xuyên sẽ đi dược điền đi tiểu
CarryOuterBodyToDest											Ta tuyệt đối sẽ không đem ngoại môn thi thể đem đến vận chuyển điểm	Ta cực ít đem ngoại môn thi thể đem đến vận chuyển điểm	Ta thỉnh thoảng sẽ đem ngoại môn thi thể đem đến vận chuyển điểm	Ta có đôi khi sẽ đem ngoại môn thi thể đem đến vận chuyển điểm	Ta thường xuyên đem ngoại môn thi thể đem đến vận chuyển điểm
CarryInnerBodyToDest											Ta tuyệt đối sẽ không đem nội môn thi thể đem đến vận chuyển điểm	Ta cực ít đem nội môn thi thể đem đến vận chuyển điểm	Ta thỉnh thoảng sẽ đem nội môn thi thể đem đến vận chuyển điểm	Ta có đôi khi sẽ đem nội môn thi thể đem đến vận chuyển điểm	Ta thường xuyên đem nội môn thi thể đem đến vận chuyển điểm
Feed_Item_Dan_Happiness											Ta tuyệt đối không cho ăn nội môn đệ tử cực lạc đan	Ta cực ít cho ăn nội môn đệ tử cực lạc đan	Ta thỉnh thoảng sẽ cho ăn nội môn đệ tử cực lạc đan	Ta có đôi khi cho ăn nội môn đệ tử cực lạc đan	Ta thường xuyên cho ăn nội môn đệ tử cực lạc đan
Feed_Item_Dan_PracticeSpeed											Ta tuyệt đối không cho ăn nội môn đệ tử hoàng nha đan	Ta cực ít cho ăn nội môn đệ tử hoàng nha đan	Ta thỉnh thoảng sẽ cho ăn nội môn đệ tử hoàng nha đan	Ta có đôi khi cho ăn nội môn đệ tử hoàng nha đan	Ta thường xuyên cho ăn nội môn đệ tử hoàng nha đan
Feed_Item_Dan_CalmDown											Ta tuyệt đối không cho ăn nội môn đệ tử Thanh Tâm Đan	Ta cực ít cho ăn nội môn đệ tử Thanh Tâm Đan	Ta thỉnh thoảng sẽ cho ăn nội môn đệ tử Thanh Tâm Đan	Ta có đôi khi cho ăn nội môn đệ tử Thanh Tâm Đan	Ta thường xuyên cho ăn nội môn đệ tử Thanh Tâm Đan
Feed_Item_LingStone											Ta tuyệt đối không cho ăn nội môn đệ tử linh thạch	Ta cực ít cho ăn nội môn đệ tử linh thạch	Ta thỉnh thoảng sẽ cho ăn nội môn đệ tử linh thạch	Ta có đôi khi cho ăn nội môn đệ tử linh thạch	Ta thường xuyên cho ăn nội môn đệ tử linh thạch
Feed_Item_LingCrystal											Ta tuyệt đối không cho ăn nội môn đệ tử Linh Tinh	Ta cực ít cho ăn nội môn đệ tử Linh Tinh	Ta thỉnh thoảng sẽ cho ăn nội môn đệ tử Linh Tinh	Ta có đôi khi cho ăn nội môn đệ tử Linh Tinh	Ta thường xuyên cho ăn nội môn đệ tử Linh Tinh
BiteExpel											Ta tuyệt đối sẽ không công kích phàm nhân	Ta cực ít công kích phàm nhân	Ta thỉnh thoảng sẽ công kích phàm nhân	Ta có đôi khi sẽ công kích phàm nhân	Ta thường xuyên công kích phàm nhân, cũng sẽ đem đánh giết
AtkDizzyExpel											Ta tuyệt đối sẽ không công kích hôn mê phàm nhân	Ta cực ít đi công kích hôn mê phàm nhân	Ta thỉnh thoảng sẽ đi công kích hôn mê phàm nhân	Ta có khi sẽ đi công kích hôn mê phàm nhân	Ta thường xuyên công kích hôn mê phàm nhân
CarryMortalToDest											Ta tuyệt đối sẽ không đem hôn mê phàm nhân đem đến vận chuyển điểm	Ta cực ít đem hôn mê phàm nhân đem đến vận chuyển điểm	Ta thỉnh thoảng sẽ đem hôn mê phàm nhân đem đến vận chuyển điểm	Ta có đôi khi sẽ đem hôn mê phàm nhân đem đến vận chuyển điểm	Ta thường xuyên đem hôn mê phàm nhân đem đến vận chuyển điểm
CarryMortalBodyToDest											Ta tuyệt đối sẽ không đem phàm nhân thi thể đem đến vận chuyển điểm	Ta cực ít đem phàm nhân thi thể đem đến vận chuyển điểm	Ta thỉnh thoảng sẽ đem phàm nhân thi thể đem đến vận chuyển điểm	Ta có đôi khi sẽ đem phàm nhân thi thể đem đến vận chuyển điểm	Ta thường xuyên đem phàm nhân thi thể đem đến vận chuyển điểm
Eat_Item_SnakeGallbladder											Ta tuyệt đối không ăn mật rắn, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn mật rắn	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn mật rắn	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn mật rắn	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn mật rắn
Eat_Item_BearGallbladder											Ta tuyệt đối không ăn mật gấu, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn mật gấu	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn mật gấu	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn mật gấu	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn mật gấu
Eat_Item_RedGinseng											Ta tuyệt đối không ăn nhân sâm đỏ, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn nhân sâm đỏ	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn nhân sâm đỏ	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn nhân sâm đỏ	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn nhân sâm đỏ
Eat_Item_PurpleGanodermaLucidum											Ta tuyệt đối không ăn Tử Chi, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn Tử Chi	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn Tử Chi	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn Tử Chi	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn Tử Chi
Eat_Item_TuEssence											Ta tuyệt đối không ăn giả hoàng tinh, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn giả hoàng tinh	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn giả hoàng tinh	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn giả hoàng tinh	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn giả hoàng tinh
Eat_Item_HuoEssence											Ta tuyệt đối không ăn chu quả, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn chu quả	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn chu quả	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn chu quả	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn chu quả
Eat_Item_ShuiEssence											Ta tuyệt đối không ăn ngũ sắc Kim Liên, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn ngũ sắc Kim Liên	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn ngũ sắc Kim Liên	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn ngũ sắc Kim Liên	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn ngũ sắc Kim Liên
Eat_Item_JinEssence											Ta tuyệt đối không ăn Lang Gia quả, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn Lang Gia quả	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn Lang Gia quả	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn Lang Gia quả	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn Lang Gia quả
Eat_Item_MuEssence											Ta tuyệt đối không ăn mộc Khô Đằng, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn mộc Khô Đằng	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn mộc Khô Đằng	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn mộc Khô Đằng	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn mộc Khô Đằng
Eat_Item_LifeStream											Ta tuyệt đối không ăn trường sinh suối, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn trường sinh suối	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn trường sinh suối	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn trường sinh suối	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn trường sinh suối
Eat_Item_LongEgg											Ta tuyệt đối không ăn giao long trứng, trừ phi đút ta	Ta thỉnh thoảng sẽ ăn giao long trứng	Ta có khả năng sẽ ăn giao long trứng	Ta có đôi khi sẽ ăn giao long trứng	Ta thường xuyên sẽ ăn giao long trứng
Eat_Item_FengEgg											Ta tuyệt đối không ăn Phượng Hoàng trứng, trừ phi đút ta	Ta thỉnh thoảng sẽ ăn Phượng Hoàng trứng	Ta có khả năng sẽ ăn Phượng Hoàng trứng	Ta có đôi khi sẽ ăn Phượng Hoàng trứng	Ta thường xuyên sẽ ăn Phượng Hoàng trứng
Eat_Item_DragonShit											Ta tuyệt đối không ăn thiên long cát, trừ phi đút ta	Ta thỉnh thoảng sẽ ăn thiên long cát	Ta có khả năng sẽ ăn thiên long cát	Ta có đôi khi sẽ ăn thiên long cát	Ta thường xuyên sẽ ăn thiên long cát
Eat_Item_Jiaozi											Ta tuyệt đối không ăn sủi cảo, trừ phi đút ta	Ta thỉnh thoảng sẽ ăn sủi cảo	Ta có khả năng sẽ ăn sủi cảo	Ta có đôi khi sẽ ăn sủi cảo	Ta thường xuyên sẽ ăn sủi cảo
Eat_Item_BossFeng_Meat											Ta tuyệt đối không ăn hung phượng huyết nhục, trừ phi đút ta	Ta thỉnh thoảng sẽ ăn hung phượng huyết nhục	Ta có khả năng sẽ ăn hung phượng huyết nhục	Ta có đôi khi sẽ ăn hung phượng huyết nhục	Ta thường xuyên sẽ ăn hung phượng huyết nhục
Eat_Item_BossLong_Meat											Ta tuyệt đối không ăn giao long huyết nhục, trừ phi đút ta	Ta thỉnh thoảng sẽ ăn giao long huyết nhục	Ta có khả năng sẽ ăn giao long huyết nhục	Ta có đôi khi sẽ ăn giao long huyết nhục	Ta thường xuyên sẽ ăn giao long huyết nhục
Eat_Item_BossZhuLong_Meat											Ta tuyệt đối không ăn nguyên sơ huyết nhục, trừ phi đút ta	Ta thỉnh thoảng sẽ ăn nguyên sơ huyết nhục	Ta có khả năng sẽ ăn nguyên sơ huyết nhục	Ta có đôi khi sẽ ăn nguyên sơ huyết nhục	Ta thường xuyên sẽ ăn nguyên sơ huyết nhục
Eat_Item_Cake											Ta tuyệt đối không ăn bánh mì, trừ phi đút ta	Ta thỉnh thoảng sẽ ăn mì bánh	Ta có khả năng sẽ ăn mì bánh	Ta có đôi khi sẽ ăn mì bánh	Ta thường xuyên sẽ ăn mì bánh
Eat_Item_MonsterBlood											Ta tuyệt đối không ăn yêu linh máu, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn yêu linh máu	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn yêu linh máu	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn yêu linh máu	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn yêu linh máu
