Tag	TargetType	Q	MA	SA	FA	fParam	sParam
T_Carry_Discuss	0	Trên người ngươi vậy mà mang theo một cái [TXT], tại một ít thời điểm then chốt thật là quá trọng yếu, ngươi thật sự là mưu tính sâu xa a!	Không phải đã nói qua?	Đúng vậy a, ngươi cũng cảm thấy [TXT] Rất trọng yếu? Xem ra ngươi cũng là có tư tưởng người!	A? Ngươi có ý tứ gì?( Che lại miệng túi của mình )		
T_Carry_Ask	0	Không biết ngươi ngày thường hành tẩu giang hồ trên người có thứ gì?	Không phải đã nói qua?	Hành tẩu giang hồ, [TXT] Ta phòng mang theo, tại một ít thời điểm then chốt thế nhưng là có tác dụng lớn.	A? Ngươi có ý tứ gì?( Che lại miệng túi của mình )		
							
T_Esoterica_Discuss	0	Nghe nói ngươi tinh thông [TXT], thật đúng là quá thần kỳ, ta nếu có thể có ngươi trình độ vậy coi như hài lòng.	Không phải đã nói qua?	Chúng ta quan hệ, muốn học ta dạy cho ngươi a! Lấy tư chất của ngươi nắm giữ cái này nhất định không có vấn đề.	A? Ngươi muốn làm gì?		
T_Esoterica_Ask	0	Không biết đạo hữu am hiểu thứ gì.	Không phải đã nói qua?	Ta tương đối am hiểu [TXT]	Ta tại sao phải nói cho ngươi?		
							
T_Feature_Discuss	0	Kỳ thật ta cũng là cái [TXT] Người, có đôi khi thật là vì thế buồn rầu, nhưng lại có biện pháp nào đâu?	Không phải đã nói qua?	Ừ, ngươi cũng là dạng này a? Ai, xem ra chúng ta là đồng loại a......	Ngươi có ý tứ gì? Chẳng lẽ nghĩ chế nhạo ta?		
T_Feature_Ask	0	( Loại chủ đề này không thích hợp trực tiếp ở trước mặt hỏi thăm đi, vẫn là từ người khác nơi đó thu hoạch được tin tức, mới tốt thuận mở ra chủ đề.)	......	......	......		
							
T_HateItem_Discuss	0	Muốn nói trên thế giới tại sao có thể có [TXT] Như thế làm cho người ta chán ghét đồ vật? Ngươi nói đúng không......	Không phải đã nói qua?	A a! Ngươi cũng chán ghét cái đồ chơi này a! Ta cũng có đồng cảm a, quả thực muốn đem trên thế giới [TXT] Bị hủy diệt hoàn toàn.	Làm sao? Ngươi ý là xem thường ta?		
T_HateItem_Ask	0	Ngươi có cái gì không thích đồ vật a?	Không phải đã nói qua?	Có a, ta mười phần chán ghét [TXT], quả thực muốn đem trên thế giới [TXT] Bị hủy diệt hoàn toàn.	Ta tại sao phải nói cho ngươi?		
							
T_Hobby_Discuss	0	Kỳ thật ta cũng có một kiện [TXT], cùng ngươi kinh lịch rất giống...... Ai, một lời khó nói hết a.	Không phải đã nói qua?	Ngươi cũng từng có loại kinh nghiệm này? Xác thực a, cảm thụ như vậy ngoại nhân rất khó lý giải...	( Biến sắc ) Ngươi nói đây là có ý tứ gì?		
T_Hobby_Ask	0	( Loại chủ đề này không thích hợp trực tiếp ở trước mặt hỏi thăm đi, vẫn là từ người khác nơi đó thu hoạch được tin tức, mới tốt thuận mở ra chủ đề.)	......	......	......		
							
T_LikeItem_Discuss	0	Ta đặc biệt thích [TXT], có [TXT], ta mới cảm nhận được mình rõ ràng còn sống!	Không phải đã nói qua?	Ngươi cũng có cảm giác như vậy? Ta thật không dám tưởng tượng không có [TXT] Sinh hoạt là dạng gì!	A? Đột nhiên trò chuyện cái này làm gì?		
T_LikeItem_Ask	0	Ngươi có gì thích đồ vật?	Không phải đã nói qua?	Nói lên cái này, ta coi như không vây lại a! Ta rất thích [TXT], thật là vật trời ban.	Ta tại sao phải nói cho ngươi?		
							
T_Secret_Discuss	0	Kỳ thật rất hiếu kỳ liên quan tới [TXT] Một số việc, thật là khiến người cảm thấy hứng thú!	Không phải đã nói qua?	Liên quan tới [TXT] Ta vẫn là biết một chút cái gì, như thế như vậy như thế như vậy......	A? Làm sao đột nhiên trò chuyện cái này?		
T_Secret_Ask	0	( Cái gì cũng không biết tình huống dưới, thực sự không biết như thế nào mở miệng. Vẫn là chí ít trước từ người khác nơi đó thăm dò được một chút mánh khóe, mới tốt nói bóng nói gió hỏi thăm...)	......	......	......		
