talk	notarget	int	string	float	thing
NotHelpPlay	Ta sẽ không bồi đệ tử chơi đùa				
NotPlayToy	Ta sẽ không chơi đùa cỗ				
NotTrainQiGan	Ta sẽ không huấn luyện linh khí năng lực				
NotTrainNeiDan	Ta sẽ không huấn luyện ngự đan năng lực				
NotTrainHuTi	Ta sẽ không huấn luyện hộ thể năng lực				
NotTrainLingZhi	Ta sẽ không huấn luyện linh trí năng lực				
NotTrainShuFa	Ta sẽ không huấn luyện thuật pháp năng lực				
WannaEatShit					Cái này {0}, nó ăn ngon không?
WannaEatEssence					Cái này {0} Để cho ta chảy nước miếng
WannaEatDrug					Ta muốn đem đan dược làm đồ ăn vặt ăn
WannaEatWheat					Cái này {0} Nhìn rất mỹ vị
WannaEatDryMeat					Ta ngăn cản không nổi {0} Mùi thơm
WannaEatPear					Không chịu nổi, ta muốn ăn {0}
WannaEatMeat					{0}, ta muốn chạy
WannaEatCook					Ta thật rất muốn ăn {0}
WannaBiteBuilding					{0}, ta nhịn ngươi rất lâu
WannaBiteClothes					Cái này {0} Lấy ra mài răng nhất định rất không tệ
WannaBiteOuter					Ngoại môn đệ tử {0} Sẽ là mùi vị gì đây này
WannaBiteInner					Là thời điểm hướng nội môn đệ tử {0} Hiện ra một ít thực lực
WannaBiteVisitor					Khách tới thăm {0} Nhìn rất thích hợp luyện kỹ thuật
WannaBiteIncoming					Khách tới {0} Nhìn rất thích hợp luyện kỹ thuật
WannaAtkEnemy					{0}, tử kỳ của ngươi đến
WannaShitAtShitPlace					Ta nghĩ tại bài tiết điểm bài tiết
WannaShitAtPlants					Ta nghĩ tại thực vật bên cạnh bài tiết
WannaShitAtDogHouse					Ta nghĩ tại ta tổ bên trong bài tiết
WannaShitAtStorage					Ta phân và nước tiểu rất trân quý, kéo đến nhà kho hẳn là rất thích hợp
WannaShitOnBed					Trên giường bài tiết nhìn rất thú vị
WannaShitInFarm					Tại trong ruộng bài tiết hẳn là rất có ích lợi?
WannaCarryOuterToBed					Ta đến giúp đỡ hôn mê {0}
WannaCarryVisitorToDest					Ta muốn đem hôn mê khách tới thăm {0} Đem đến vận chuyển điểm
WannaCarryEnemyToDest					Ta muốn đem hôn mê địch nhân {0} Đem đến vận chuyển điểm
WannaCarryIncomingToDest					Ta muốn đem hôn mê khách tới {0} Đem đến vận chuyển điểm
WannaCarryEnemyBodyToDest					Ta muốn đem địch nhân {0} Thi thể đem đến vận chuyển điểm
WannaCarryVisitorBodyToDest					Ta muốn đem khách tới thăm {0} Thi thể đem đến vận chuyển điểm
WannaCarryIncomingBodyToDest					Ta muốn đem khách tới {0} Thi thể đem đến vận chuyển điểm
WannaHelpCarry	Ta muốn giúp bận bịu chỉnh lý vật phẩm				
WannaHelpTimber	Nhìn cần đem những này cây chém đứt, ta đến giúp hỗ trợ				Nhìn cần đem những này cây chém đứt, ta đến giúp hỗ trợ
WannaHelpMine	Những đá này nhìn rất có giá trị, xem chiêu				Những đá này nhìn rất có giá trị, xem chiêu
WannaHelpFind	Để cho ta nhìn xem những người này trên người có bảo bối gì				Để cho ta nhìn xem những người này trên người có bảo bối gì
WannaHelpKill	Không thể để cho thi thể mục nát, để cho ta tới hỗ trợ xử lý một chút				Không thể để cho thi thể mục nát, để cho ta tới hỗ trợ xử lý một chút
WannaHelpPlant	Trong ruộng thực vật nhìn rất hữu dụng, ta đến bón bón phân				Trong ruộng thực vật nhìn rất hữu dụng, ta đến bón bón phân
WannaCureFreeze	{0} Đông thương rất nghiêm trọng, để cho ta tới trị liệu một chút				{0} Đông thương rất nghiêm trọng, để cho ta tới trị liệu một chút
WannaCureHot	{0} Bị cảm nắng rất nghiêm trọng, để cho ta tới trị liệu một chút				{0} Bị cảm nắng rất nghiêm trọng, để cho ta tới trị liệu một chút
WannaHeatEndure	Ta muốn giúp bận bịu đề cao chịu nhiệt năng lực				Ta muốn giúp bận bịu đề cao chịu nhiệt năng lực
WannaColdEndure	Ta muốn giúp bận bịu đề cao chịu rét năng lực				Ta muốn giúp bận bịu đề cao chịu rét năng lực
WannaHelpPlay	{0} Nhìn tâm tình không tốt lắm				{0} Nhìn tâm tình không tốt lắm
WannaPlayToy	Ta muốn hung hăng chơi {0}				Ta muốn hung hăng chơi {0}
DoTalkEatShit					Ta ngay tại ăn {0}
DoTalkEatEssence					Ta ngay tại ăn {0}
DoTalkEatDrug					Ta ngay tại ăn {0}
DoTalkEatWheat					Ta ngay tại ăn {0}
DoTalkEatDryMeat					Ta ngay tại ăn {0}
DoTalkEatPear					Ta ngay tại ăn {0}
DoTalkEatMeat					Ta ngay tại ăn {0}
DoTalkEatCook					Ta ngay tại ăn {0}
DoTalkEat					Ta ngay tại hưởng dụng {0}
DoTalkBiteBuilding					Ta ngay tại cầm {0} Đến mài răng
DoTalkBiteClothes					Ta ngay tại công kích {0}
DoTalkBiteOuter					Ta ngay tại công kích {0}
DoTalkBiteInner					Ta ngay tại cắn khách tới thăm {0}
DoTalkBiteVisitor					Ta ngay tại cắn tới khách {0}
DoTalkBiteIncoming					Ta ngay tại cắn {0}
DoTalkBiteBuildingEx					Ta ngay tại hung hăng cắn {0}
DoTalkBiteClothesEx					Ta đang cố gắng cắn nát {0}
DoTalkBiteOuterEx					Ta ngay tại dùng sức cắn {0}
DoTalkBiteInnerEx					Ta ngay tại dùng sức cắn {0}
DoTalkBiteVisitorEx					Ta ngay tại dùng sức cắn khách tới thăm {0}
DoTalkBiteIncomingEx					Ta ngay tại dùng sức cắn tới khách {0}
DoTalkAtkEnemy					Ta ngay tại công kích {0}!
DoTalkShitAtShitPlace					Ta ngay tại tại ta nhà xí bài tiết
DoTalkShitAtPlants					Ta ngay tại tại {0} Bên cạnh bài tiết
DoTalkShitAtDogHouse					Ta ngay tại tại ta tổ bên trong bài tiết
DoTalkShitAtStorage					Ta ngay tại tại nhà kho bài tiết
DoTalkShitOnBed					Ta ngay tại trên giường bài tiết
DoTalkShitInFarm					Ta ngay tại tại đồng ruộng bên trong bài tiết
DoTalkCarryOuterToBed					Ta đang đem hôn mê {0} Đem đến trên giường
DoTalkCarryVisitorToDest					Ta đang đem hôn mê khách tới thăm {0} Đem đến vận chuyển điểm
DoTalkCarryEnemyToDest					Ta đang đem hôn mê địch nhân {0} Đem đến vận chuyển điểm
DoTalkCarryIncomingToDest					Ta đang đem hôn mê khách tới {0} Đem đến vận chuyển điểm
DoTalkCarryEnemyBodyToDest					Ta đang đem {0} Thi thể đem đến vận chuyển điểm
DoTalkCarryVisitorBodyToDest					Ta đang đem {0} Thi thể đem đến vận chuyển điểm
DoTalkCarryIncomingBodyToDest					Ta đang đem {0} Thi thể đem đến vận chuyển điểm
DoTalkHelpCarry					Ta đang giúp bận bịu chỉnh lý vật phẩm
DoTalkHelpTimber					Ta đang giúp bận bịu đốn cây
DoTalkHelpMine					Ta đang giúp bận bịu đào quáng
DoTalkHelpFind					Ta ngay tại vơ vét vật phẩm
DoTalkHelpKill					Ta ngay tại đồ tể động vật
DoTalkHelpPlant					Ta ngay tại cho thực vật bón phân
DoTalkCureFreeze					Ta ngay tại trị liệu {0} Đông thương
DoTalkCureHot					Ta ngay tại trị liệu {0} Bị cảm nắng
DoTalkHelpCook					Ta đang giúp bận làm cơm
DoTalkHeatEndure					Ta đang giúp bận bịu đề cao chịu nhiệt năng lực
DoTalkColdEndure					Ta đang giúp bận bịu đề cao chịu rét năng lực
DoTalkHelpPlay					Ta ngay tại bồi {0} Chơi đùa
DoTalkPlayToy					Ta ngay tại chơi {0}
DoTalkPlaySelf					Ta ngay tại tự ngu tự nhạc
DoTalkTrainQiGan	Ta đang luyện tập linh khí phương diện năng lực				
DoTalkTrainNeiDan	Ta đang luyện tập ngự đan phương mặt năng lực				
DoTalkTrainHuTi	Ta đang luyện tập hộ thể phương diện năng lực				
DoTalkTrainLingZhi	Ta đang luyện tập linh trí phương diện năng lực				
DoTalkTrainShuFa	Ta đang luyện tập thuật pháp phương diện năng lực				
DoTalkFollow					
DoTalkLay					
DoTalkWander					
CantEatShit	Ta không phân và nước tiểu có thể ăn				
CantEatEssence	Ta không có thiên tài địa bảo có thể ăn				
CantEatDrug	Ta không có đan dược có thể ăn				
CantEatWheat	Ta không có lúa mì có thể ăn				
CantEatDryMeat	Ta không có thịt khô có thể ăn				
CantEatPear	Ta không có quả lê có thể ăn				
CantEatMeat	Ta không có thịt tươi có thể ăn				
CantEatCook	Ta không có thực phẩm chín có thể ăn				
CantBiteBuilding	Ta không có kiến trúc nhưng cắn				
CantBiteClothes	Ta không có quần áo nhưng cắn				
CantBiteOuter	Ta không có ngoại môn nhưng cắn				
CantBiteInner	Ta không có nội môn nhưng cắn				
CantBiteVisitor	Ta không có khách tới thăm nhưng cắn				
CantBiteIncoming	Ta không có phàm nhân nhưng cắn				
CantAtkEnemy	Ta không có địch nhân có thể công kích				
CantShitAtShitPlace	Ta không có bài tiết điểm nhưng bài tiết				
CantShitAtPlants	Ta không có nhưng bài tiết thực vật				
CantShitAtDogHouse	Ta không có nhưng bài tiết tổ				
CantShitAtStorage	Ta không có nhưng bài tiết nhà kho				
CantShitOnBed	Ta không có nhưng bài tiết giường				
CantShitInFarm	Ta không có nhưng bài tiết đồng ruộng				
CantCarryOuterToBed	Ta không có đệ tử nhưng đem đến trên giường				
CantCarryVisitorToDest	Ta không có khách tới thăm nhưng đem đến vận chuyển điểm				
CantCarryEnemyToDest	Ta không có địch nhân nhưng đem đến vận chuyển điểm				
CantCarryIncomingToDest	Ta không có phàm nhân nhưng đem đến vận chuyển điểm				
CantCarryEnemyBodyToDest	Ta không có thi thể của địch nhân nhưng đem đến vận chuyển điểm				
CantCarryVisitorBodyToDest	Ta không có khách tới thăm thi thể nhưng đem đến vận chuyển điểm				
CantCarryIncomingBodyToDest	Ta không có khách tới thăm thi thể nhưng đem đến vận chuyển điểm				
CantHelpCarry	Không có vật phẩm cần ta hỗ trợ chỉnh lý				
CantHelpTimber	Không có cây cần ta hỗ trợ chặt				
CantHelpMine	Không có mỏ cần ta hỗ trợ đào				
CantHelpFind	Ta không có người nhưng vơ vét				
CantHelpKill	Ta không có địch nhân nhưng đồ tể				
CantHelpPlant	Ta không có cây nông nghiệp nhưng đổ vào				
CantCureFreeze	Không có đông thương người trị được liệu				
CantCureHot	Không có trúng nóng người trị được liệu				
CantHelpCook	Trợ giúp nấu cơm còn không có chuẩn bị kỹ càng				
CantHeatEndure	Đề cao chịu nhiệt còn không có chuẩn bị kỹ càng				
CantColdEndure	Đề cao chịu rét còn không có chuẩn bị kỹ càng				
CantHelpPlay	Không có đệ tử cần bồi chơi đùa				
CantPlayToy	Không có đồ chơi có thể chơi				
NoParam2CarryVisitorToDest					Ta không có tìm được vận chuyển điểm tới vận chuyển khách tới thăm {0}
NoParam2CarryEnemyToDest					Ta không có tìm được vận chuyển điểm tới vận chuyển địch nhân {0}
NoParam2CarryIncomingToDest					Ta không có tìm được vận chuyển điểm tới vận chuyển phàm nhân {0}
NoParam2CarryEnemyBodyToDest					Ta không có tìm được vận chuyển điểm tới vận chuyển địch nhân {0} Thi thể
NoParam2CarryVisitorBodyToDest					Ta không có tìm được vận chuyển điểm tới vận chuyển khách tới thăm {0} Thi thể
NoParam2CarryIncomingBodyToDest					Ta không có tìm được vận chuyển điểm tới vận chuyển phàm nhân {0} Thi thể
NoParam2HelpCarry	Trợ giúp vận chuyển còn không có chuẩn bị kỹ càng				
NoParam2HelpTimber	Trợ giúp đốn củi còn không có chuẩn bị kỹ càng				
NoParam2HelpMine	Trợ giúp đào quáng còn không có chuẩn bị kỹ càng				
NoParam2HelpPlant	Trợ giúp bón phân còn không có chuẩn bị kỹ càng				
NoParam2CureFreeze	Trị liệu đông thương còn không có chuẩn bị kỹ càng				
NoParam2CureHot	Trị liệu bị cảm nắng còn không có chuẩn bị kỹ càng				
NoParam2HelpCook	Trợ giúp nấu cơm còn không có chuẩn bị kỹ càng				
DrinkTalk1	Ta muốn uống nước				
DrinkTalk2	Ta khát				
DrinkTalk3	Đang uống nước				
NotAtkDizzyOuter	Ta sẽ không công kích hôn mê ngoại môn đệ tử				
NotAtkDizzyInner	Ta sẽ không công kích hôn mê nội môn đệ tử				
NotAtkDizzyComing	Ta sẽ không công kích hôn mê phàm nhân				
NotAtkDizzyVisitor	Ta sẽ không công kích hôn mê khách tới thăm				
NoTongXie	Ta tìm không thấy thông tả tán				
WannaAtkDizzyOuter					Ta nghĩ kết thúc ngoại môn đệ tử {0} Thống khổ
WannaAtkDizzyInner					Ta nghĩ kết thúc nội môn đệ tử {0} Thống khổ
WannaAtkDizzyComing					Hôn mê người đến {0} Sơ hở rất lớn, ta tới
WannaAtkDizzyVisitor					Hôn mê khách tới thăm {0} Nhìn rất thống khổ, ta muốn để nó giải thoát
DoTalkAtkDizzyOuter					Ta ngay tại công kích hôn mê ngoại môn đệ tử {0}
DoTalkAtkDizzyInner					Ta ngay tại công kích hôn mê nội môn đệ tử {0}
DoTalkAtkDizzyComing					Ta ngay tại công kích hôn mê phàm nhân {0}
DoTalkAtkDizzyVisitor					Ta ngay tại công kích hôn mê khách tới thăm {0}
CantAtkDizzyOuter	Ta không có có thể công kích hôn mê ngoại môn đệ tử				
CantAtkDizzyInner	Ta không có có thể công kích hôn mê nội môn đệ tử				
CantAtkDizzyComing	Ta không có có thể công kích hôn mê phàm nhân				
CantAtkDizzyVisitor	Ta không có có thể công kích hôn mê khách tới thăm				
NotFeedTongXie	Ta sẽ không cho ngoại môn cho ăn thông tiết tán				
NotCureInner	Ta không biết trị liệu nội môn thương thế				
WannaFeedTongXie	Ta muốn cho ngoại môn cho ăn thông tiết tán				Ta muốn cho ngoại môn {0} Cho ăn thông tiết tán
WannaCureInner	Ta không biết trị liệu nội môn thương thế				Ta muốn trị liệu nội môn {0} Thương thế
DoTalkFeedTongXie					Ta ngay tại cho ngoại môn {0} Cho ăn thông tiết tán
DoTalkCureInner					Ta ngay tại trị liệu nội môn {0} Thương thế
CantFeedTongXie	Ta không có có thể cho ăn thông tiết tán ngoại môn đệ tử				
CantCureInner	Ta không có nhưng chữa thương nội môn đệ tử				
NoParam2FeedTongXie					Ta muốn cho ngoại môn {0} Cho ăn thông tiết tán, nhưng không có thông tiết tán
NoParam2CureInner					Ta muốn cho nội môn {0} Trị liệu thương thế, nhưng thời cơ chưa tới
NotHelpPlantD	Ta sẽ không đem nước tiểu vung đến trong dược điền				
WannaHelpPlantD	Muốn giúp đổ vào dược điền				
DoTalkHelpPlantD	Đang giúp đổ vào dược điền				
CantHelpPlantD	Không cách nào giúp đổ vào dược điền				
NoParam2HelpPlantD	Đổ vào còn không có chuẩn bị kỹ càng				
NotCarryOuterBodyToDest	Ta sẽ không đem ngoại môn thi thể đem đến vận chuyển điểm				
NotCarryInnerBodyToDest	Ta sẽ không đem nội môn thi thể đem đến vận chuyển điểm				
WannaCarryOuterBodyToDest	Ta muốn đem ngoại môn thi thể đem đến vận chuyển điểm				
WannaCarryInnerBodyToDest	Ta muốn đem nội môn thi thể đem đến vận chuyển điểm				
DoTalkCarryOuterBodyToDest	Ta ngay tại đem ngoại môn thi thể đem đến vận chuyển điểm				
DoTalkCarryInnerBodyToDest	Ta ngay tại đem nội môn thi thể đem đến vận chuyển điểm				
CantCarryOuterBodyToDest	Ta không cách nào đem ngoại môn thi thể đem đến vận chuyển điểm				
CantCarryInnerBodyToDest	Ta không cách nào đem nội môn thi thể đem đến vận chuyển điểm				
Sleep1	Ta muốn đi ngủ				
Sleep2	Con mắt muốn không mở ra được				
Sleep3	Ta nghe thấy mộng đẹp tại triệu hoán ta				
Wonder1	Tùy tiện đi dạo				
Wonder2	Nhìn xem phong cảnh				
Wonder3	Đi bộ một chút				
Lay1	Hưởng thụ gió nhẹ				
Lay2	Nghỉ ngơi một chút				
Lay3	Không muốn động				
Follow1	Nhìn xem người này đang làm gì				
Follow2	Trên thân người này có loại mùi lạ				
Follow3	Người này đưa tới chú ý của ta				
Eat1	Ta phải chết đói				
Eat2	Thật đói a, ta đi không được rồi				
Eat3	Ăn cái gì đã đến giờ				
NotFeed_Item_Dan_Happiness	Ta sẽ không cho ăn nội môn đệ tử cực lạc đan				
NotFeed_Item_Dan_PracticeSpeed	Ta sẽ không cho ăn nội môn đệ tử hoàng nha đan				
NotFeed_Item_Dan_CalmDown	Ta sẽ không cho ăn nội môn đệ tử Thanh Tâm Đan				
NotFeed_Item_LingStone	Ta sẽ không cho ăn nội môn đệ tử linh thạch				
NotFeed_Item_LingCrystal	Ta sẽ không cho ăn nội môn đệ tử Linh Tinh				
WannaFeed_Item_Dan_Happiness	Ta muốn cho ăn nội môn đệ tử cực lạc đan				
WannaFeed_Item_Dan_PracticeSpeed	Ta muốn cho ăn nội môn đệ tử hoàng nha đan				
WannaFeed_Item_Dan_CalmDown	Ta muốn cho ăn nội môn đệ tử Thanh Tâm Đan				
WannaFeed_Item_LingStone	Ta muốn cho ăn nội môn đệ tử linh thạch				
WannaFeed_Item_LingCrystal	Ta muốn cho ăn nội môn đệ tử Linh Tinh				
DoTalkFeed_Item_Dan_Happiness	Ta ngay tại cho ăn nội môn đệ tử cực lạc đan				
DoTalkFeed_Item_Dan_PracticeSpeed	Ta ngay tại cho ăn nội môn đệ tử hoàng nha đan				
DoTalkFeed_Item_Dan_CalmDown	Ta ngay tại cho ăn nội môn đệ tử Thanh Tâm Đan				
DoTalkFeed_Item_LingStone	Ta ngay tại cho ăn nội môn đệ tử linh thạch				
DoTalkFeed_Item_LingCrystal	Ta ngay tại cho ăn nội môn đệ tử Linh Tinh				
CantFeed_Item_Dan_Happiness	Ta không cách nào cho ăn nội môn đệ tử cực lạc đan				
CantFeed_Item_Dan_PracticeSpeed	Ta không cách nào cho ăn nội môn đệ tử hoàng nha đan				
CantFeed_Item_Dan_CalmDown	Ta không cách nào cho ăn nội môn đệ tử Thanh Tâm Đan				
CantFeed_Item_LingStone	Ta không cách nào cho ăn nội môn đệ tử linh thạch				
CantFeed_Item_LingCrystal	Ta không cách nào cho ăn nội môn đệ tử Linh Tinh				
NoParam2Feed_Item_Dan_Happiness	Ta tìm không thấy cực lạc đan				
NoParam2Feed_Item_Dan_PracticeSpeed	Ta tìm không thấy hoàng nha đan				
NoParam2Feed_Item_Dan_CalmDown	Ta tìm không thấy Thanh Tâm Đan				
NoParam2Feed_Item_LingStone	Ta tìm không thấy linh thạch				
NoParam2Feed_Item_LingCrystal	Ta tìm không thấy Linh Tinh				
QiGanResult_Low	Linh khí năng lực hơi đề cao				
NeiDanResult_Low	Ngự đan năng lực hơi đề cao				
HuTiResult_Low	Hộ thể năng lực hơi đề cao				
LingZhiResult_Low	Linh trí năng lực hơi đề cao				
ShuFaResult_Low	Thuật pháp năng lực hơi đề cao				
QiGanResult_Mid	Linh khí năng lực tăng lên không ít				
NeiDanResult_Mid	Ngự đan năng lực tăng lên không ít				
HuTiResult_Mid	Hộ thể năng lực tăng lên không ít				
LingZhiResult_Mid	Linh trí năng lực tăng lên không ít				
ShuFaResult_Mid	Thuật pháp năng lực tăng lên không ít				
QiGanResult_High	Linh khí có thể lực lớn bức đề cao				
NeiDanResult_High	Ngự đan có thể lực lớn bức đề cao				
HuTiResult_High	Hộ thể có thể lực lớn bức đề cao				
LingZhiResult_High	Linh trí có thể lực lớn bức đề cao				
ShuFaResult_High	Thuật pháp có thể lực lớn bức đề cao				
NotBiteExpel	Ta sẽ không cắn lạ lẫm phàm nhân				
WannaBiteExpel					Ta muốn cắn lạ lẫm phàm nhân {0}!
DoTalkBiteExpel					Ta ngay tại cắn lạ lẫm phàm nhân {0}
CantBiteExpel	Ta không cách nào lạ lẫm cắn phàm nhân!				
NotCarryMortalToDest	Ta sẽ không đem hôn mê phàm nhân đem đến vận chuyển điểm				
NotCarryMortalBodyToDest	Ta sẽ không đem phàm nhân thi thể đem đến vận chuyển điểm				
WannaCarryMortalToDest					Phàm nhân {0} Té xỉu, ta muốn đem dọn đi
WannaCarryMortalBodyToDest					Phàm nhân {0} Chết, ta muốn đem dọn đi
DoTalkCarryMortalToDest					Ta ngay tại đem hôn mê phàm nhân {0} Đem đến vận chuyển điểm
DoTalkCarryMortalBodyToDest					Ta ngay tại đem phàm nhân {0} Thi thể đem đến vận chuyển điểm
CantCarryMortalToDest	Ta không cách nào đem hôn mê phàm nhân đem đến vận chuyển điểm				
CantCarryMortalBodyToDest	Ta không cách nào đem phàm nhân thi thể đem đến vận chuyển điểm				
Nothing	Vô sự phát sinh				
No_NutritionQiGan	Không có linh khí dinh dưỡng, rèn luyện vô dụng...				
No_NutritionNeiDan	Không có ngự đan dinh dưỡng, rèn luyện vô dụng...				
No_NutritionHuTi	Không có hộ thể dinh dưỡng, rèn luyện vô dụng...				
No_NutritionLingZhi	Không có linh trí dinh dưỡng, rèn luyện vô dụng...				
No_NutritionShufa	Không có thuật pháp dinh dưỡng, rèn luyện vô dụng...				
WannaEat					Căn cứ ẩm thực quy hoạch, ta quyết định ăn cái gì
WannaTrainShuFa	Ta nghĩ rèn luyện thuật pháp tương quan năng lực				
WannaTrainLingZhi	Ta nghĩ rèn luyện linh trí tương quan năng lực				
WannaTrainHuTi	Ta nghĩ rèn luyện hộ thể tương quan năng lực				
WannaTrainNeiDan	Ta nghĩ rèn luyện ngự đan tương quan năng lực				
WannaTrainQiGan	Ta nghĩ rèn luyện linh khí tương quan năng lực				
NothingToEat	Ta không có đồ ăn! Thật đói				
NotEat_Item_SnakeGallbladder	Ta sẽ không ăn mật rắn				
NotEat_Item_BearGallbladder	Ta sẽ không ăn mật gấu				
NotEat_Item_RedGinseng	Ta sẽ không ăn nhân sâm đỏ				
NotEat_Item_PurpleGanodermaLucidum	Ta sẽ không ăn Tử Chi				
NotEat_Item_TuEssence	Ta sẽ không ăn giả hoàng tinh				
NotEat_Item_HuoEssence	Ta sẽ không ăn chu quả				
NotEat_Item_ShuiEssence	Ta sẽ không ăn ngũ sắc Kim Liên				
NotEat_Item_JinEssence	Ta sẽ không ăn Lang Gia quả				
NotEat_Item_MuEssence	Ta sẽ không ăn mộc Khô Đằng				
NotEat_Item_LifeStream	Ta sẽ không ăn trường sinh suối				
NotEat_Item_LongEgg	Ta sẽ không ăn giao long trứng				
NotEat_Item_FengEgg	Ta sẽ không ăn Phượng Hoàng trứng				
NotEat_Item_DragonShit	Ta sẽ không ăn thiên long cát				
NotEat_Item_Jiaozi	Ta sẽ không ăn sủi cảo				
NotEat_Item_BossFeng_Meat	Ta sẽ không ăn hung phượng huyết nhục				
NotEat_Item_BossLong_Meat	Ta sẽ không ăn giao long huyết nhục				
NotEat_Item_BossZhuLong_Meat	Ta sẽ không ăn nguyên sơ huyết nhục				
NotEat_Item_Cake	Ta sẽ không ăn bánh mì				
NotEat_Item_MonsterBlood	Ta sẽ không ăn yêu linh máu				
NotEat_Item_EarthEssence	Ta sẽ không ăn Địa Mẫu linh dịch				
NotEat_Item_SilverGrit	Ta sẽ không ăn hàn tinh cát				
NotEat_Item_CopperGrit	Ta sẽ không ăn lửa Đồng Sa				
NotEat_Item_Cinnabar	Ta sẽ không ăn chu sa				
NotEat_Item_LingMuXueJie	Ta sẽ không ăn linh mộc máu kiệt				
NotEat_Item_EarthEssence_1	Ta sẽ không ăn Linh tủy son				
NotEat_Item_EarthEssence1_1	Ta sẽ không ăn máu tủy son				
NotEat_Item_Healroot	Ta sẽ không ăn dược thảo				
NotEat_Item_Mint	Ta sẽ không ăn thanh tâm cỏ				
NotEat_Item_MagicHerb	Ta sẽ không ăn linh tiên cỏ				
NotEat_Item_Laxative	Ta sẽ không ăn thông tiết tán				
WannaEat_Item_SnakeGallbladder					Ta rất muốn ăn mật rắn
WannaEat_Item_BearGallbladder					Ta rất muốn ăn mật gấu
WannaEat_Item_RedGinseng					Ta rất muốn ăn nhân sâm đỏ
WannaEat_Item_PurpleGanodermaLucidum					Ta rất muốn ăn Tử Chi
WannaEat_Item_TuEssence					Ta rất muốn ăn giả hoàng tinh
WannaEat_Item_HuoEssence					Ta rất muốn ăn chu quả
WannaEat_Item_ShuiEssence					Ta rất muốn ăn ngũ sắc Kim Liên
WannaEat_Item_JinEssence					Ta rất muốn ăn Lang Gia quả
WannaEat_Item_MuEssence					Ta rất muốn ăn mộc Khô Đằng
WannaEat_Item_LifeStream					Ta rất muốn ăn trường sinh suối
WannaEat_Item_LongEgg					Ta rất muốn ăn giao long trứng
WannaEat_Item_FengEgg					Ta rất muốn ăn Phượng Hoàng trứng
WannaEat_Item_DragonShit					Ta rất muốn ăn thiên long cát
WannaEat_Item_Jiaozi					Ta rất muốn ăn sủi cảo
WannaEat_Item_BossFeng_Meat					Ta rất muốn ăn hung phượng huyết nhục
WannaEat_Item_BossLong_Meat					Ta rất muốn ăn giao long huyết nhục
