ID	Name	Desc	EndDesc
10	Động Phủ Hiện Thế	Nghe nói [TXT] Có tiền cổ không biết tên Tán Tiên động phủ hiện thế. Động phủ chủ nhân vì luyện đan tông sư, trong đó lợi dụng thuật luyện đan thiết lập vô số cơ quan cấm pháp, nếu như không tinh luyện đan chi đạo, nửa bước khó đi.	[TXT] Tiên nhân động phủ đã hiện thế, trong đó bí bảo bị mộ danh mà đến người tu hành chia cắt.
11	Cổ Thư Tung Tích	Nghe nói nổi danh phàm nhân từ một tòa cổ mộ bên trong khai quật ra một bản sớm đã thất truyền kỳ thư. Nhưng là cuốn sách này sau đó chảy vào [TXT], không biết tung tích.	[TXT] Đào được kỳ thư bị một vị nào đó người tu hành nhanh chân đến trước.
12	Bí Tịch Xuất Thổ	Nghe nói nổi danh người tu hành tại [TXT] Tìm được manh mối, hư hư thực thực một vị nào đó cổ đại tiên nhân còn sót lại bí tịch chôn giấu nơi này.	Một thần bí người tu hành khí vận sở chung, cuối cùng được đến thất lạc bí tịch.
14	Thần Thông Hiện Thế	Nghe nói [TXT] Gần đây đào được rồng vách đá khắc, nghi có thượng cổ di thất thần thông hiện thế.	Một thần bí người tu hành cướp đi môn này thần bí thần thông.
15	Thần Thông Hiện Thế	Nghe nói [TXT] Gần đây đào được rồng vách đá khắc, nghi có thượng cổ di thất thần thông hiện thế. Chỉ là thụ thiên địa khí cơ can thiệp, khắc đá đào được phụ cận lâm vào trời đông giá rét ([temperature]-150[/temperature]) Hoàn cảnh bên trong.	Một thần bí người tu hành cướp đi môn này thần bí thần thông.
16	Thần Thông Hiện Thế	Nghe nói [TXT] Gần đây đào được rồng vách đá khắc, nghi có thượng cổ di thất thần thông hiện thế. Chỉ là thụ thiên địa khí cơ can thiệp, khắc đá đào được phụ cận bị chân hỏa vây quanh ([temperature]500[/temperature]), nóng bỏng khó nhịn.	Một thần bí người tu hành cướp đi môn này thần bí thần thông.
17	Tà Phái Hành Tung	Nghe nói có tà phái đệ tử tại [TXT] Ẩn hiện, tựa hồ tại có mục đích gì.	Xuất hiện tại [TXT] Tà phái đệ tử rời đi.
18	Tà Phái Hành Tung	Nghe nói có tà phái đệ tử tinh anh tại [TXT] Ẩn hiện, tựa hồ tại có mục đích gì.	Xuất hiện tại [TXT] Tà phái đệ tử rời đi.
19	Tà Phái Hành Tung	Nghe nói có tà phái trưởng lão tại [TXT] Ẩn hiện, tựa hồ tại có mục đích gì.	Xuất hiện tại [TXT] Tà phái đệ tử rời đi.
20	Chính Phái Hành Tung	Nghe nói có chính phái đệ tử tại [TXT] Ẩn hiện, tựa hồ tại có mục đích gì.	Xuất hiện tại [TXT] Chính phái đệ tử rời đi.
21	Chính Phái Hành Tung	Nghe nói có chính phái đệ tử tinh anh tại [TXT] Ẩn hiện, tựa hồ tại có mục đích gì.	Xuất hiện tại [TXT] Chính phái đệ tử rời đi.
22	Chính Phái Hành Tung	Nghe nói có chính phái trưởng lão tại [TXT] Ẩn hiện, tựa hồ tại có mục đích gì.	Xuất hiện tại [TXT] Chính phái đệ tử rời đi.
23	Bảo Tàng Bí Văn	Y theo 《 Ngự phong tử du ký: Quyển 6 》 Bên trong ghi chép, năm đó Hỗn Nguyên tổ sư tại Nam Hoang trùng cốc thụ ma đạo lục phái vây công mà mất tích, tùy thân chí bảo cũng bởi vậy thất lạc tại trùng trong cốc.	
24	Bảo Tàng Bí Văn	Y theo 《 Nhặt của rơi ghi chép: Hạ sách 》 Lời nói, đoàn tụ đảo chính là Thái Cổ Tổ Long sau khi phi thăng lột xác biến thành. Ở trên đảo Độc Long Đàm nghe nói là Tổ Long Tử Phủ vị trí chỗ, trong đó có động thiên khác.	
25	Bảo Tàng Bí Văn	Y theo 《 Ngự phong tử du ký: Quyển một 》 Lời nói, luyện đan phong Y Tiên động phủ di tích phía dưới còn có một phương thần bí nội phủ, không biết thực hư.	
26	Bảo Tàng Bí Văn	Y theo 《 Mây tráp bí lục: Đại mạc thiên 》 Bên trong ghi chép, đại mạc chính là bởi vì Thái Cổ thời đại, một viên sao băng rơi xuống mặt đất mà tạo ra. Ngày xưa sao băng rơi xuống chi địa, hậu thế xưng là lửa huyệt.	
27	Bảo Tàng Bí Văn	Y theo 《 Nhặt của rơi ghi chép: Bên trên sách 》 Lời nói, năm sen núi thiên trì phía dưới có một tòa ngày xưa Thần Nông đế nơi bế quan, mà lại trong đó ghi chép kỹ càng địa đồ, đáng giá tìm tòi.	
28	Bảo Tàng Bí Văn	Y theo 《 Ngự phong tử du ký: Quyển hai 》 Lời nói, Hắc Sơn phía dưới Chitoge trong rừng đã từng bị phong ấn có một con thiên ma. Chỉ cần dựa theo bí pháp liền có thể câu thông thiên ma, thu hoạch một môn thần thông.	
29	Đạo Thống Hiện Thế	Nghe nói [TXT] Ban ngày sao băng, Địa Dũng Kim Liên, nghi có tiền bối tiên nhân đạo thống sắp xuất thế, dẫn bát phương người tu hành hội tụ.	Một thần bí người tu hành thu được tiền bối tiên nhân đạo thống.
30	Đạo Thống Hiện Thế	Nghe nói [TXT] Ban ngày sao băng, Địa Dũng Kim Liên, nghi có tiền bối tiên nhân đạo thống sắp xuất thế, dẫn bát phương người tu hành hội tụ.	Một thần bí người tu hành thu được tiền bối tiên nhân đạo thống.
31	Đạo Thống Hiện Thế	Nghe nói [TXT] Ban ngày sao băng, Địa Dũng Kim Liên, nghi có tiền bối tiên nhân đạo thống sắp xuất thế, dẫn bát phương người tu hành hội tụ.	Một thần bí người tu hành thu được tiền bối tiên nhân đạo thống.
32	Đạo Thống Hiện Thế	Nghe nói [TXT] Ban ngày sao băng, Địa Dũng Kim Liên, nghi có tiền bối tiên nhân đạo thống sắp xuất thế, dẫn bát phương người tu hành hội tụ.	Một thần bí người tu hành thu được tiền bối tiên nhân đạo thống.
33	Đạo Thống Hiện Thế	Nghe nói [TXT] Ban ngày sao băng, Địa Dũng Kim Liên, nghi có tiền bối tiên nhân đạo thống sắp xuất thế, dẫn bát phương người tu hành hội tụ.	Một thần bí người tu hành thu được tiền bối tiên nhân đạo thống.
34	Đạo Thống Hiện Thế	Nghe nói [TXT] Ban ngày sao băng, Địa Dũng Kim Liên, nghi có tiền bối tiên nhân đạo thống sắp xuất thế, dẫn bát phương người tu hành hội tụ.	Một thần bí người tu hành thu được tiền bối tiên nhân đạo thống.
39	Thái Nhất Thạch Hạp	Nghe nói nam bình phong thôn thợ săn tại trăng tròn chân núi phát hiện một cỗ thi thể, thi thể trên thân mang theo một cái hộp đá, thủy hỏa bất xâm, mười phần linh dị.\n ( Phát động bí văn, mời tiến về [color=#D06508] Thiên hạ [/color] Bảng, điểm kích dưới góc phải bí văn nút bấm xem xét bí văn. Điểm kích bí văn có thể chuyển dời đến bí văn sở tại địa, nếu như địa điểm chưa giải khóa, thì cần nhiều hơn lịch luyện lấy giải tỏa mới địa điểm.)	
40	Trọng Hồi Thái Nhất	Tính toán đã qua hơn nửa tháng, không biết diệt vong Thái Nhất Môn hung đồ phải chăng rời đi. Có lẽ có thể trở về Thái Nhất Môn nhìn xem, có cái gì manh mối.	
41	Tiên Kiếm Lệnh	Tu hành giới truyền ngôn, có mười bảy tên tội ác tày trời thiên hồn dạy dư nghiệt từ Thục Sơn kiếm trong lao vượt ngục, Thục Sơn rộng phát tiên Kiếm Lệnh mời thiên hạ người tu hành diệt trừ yêu nhân, tất có thâm tạ.	Thục Sơn thu hồi tiên Kiếm Lệnh, mười bảy tên thiên hồn dạy dư nghiệt đã đều đền tội.
42	Ma Giáo Hành Tung	Nghe nói có thiên hồn dạy dư nghiệt trốn hướng [TXT], bọn hắn vì khôi phục công lực, sẽ tìm tìm linh hồn cường đại người thường đến tu luyện ma công, có thể dưới đây thiết hạ cạm bẫy đem chế phục.	Thiên hồn dạy dư nghiệt đã bóng dáng hoàn toàn không có, không có dấu vết mà tìm kiếm.
43	Côn Lôn Pháp Hội	Mỗi năm một lần, tiếp tục bảy ngày Côn Luân pháp hội mở ra, các môn phái bất luận chính tà, đồng đều phái ra môn hạ ưu tú nhất đại biểu hội tụ Côn Luân Sơn luận đạo đấu pháp, tranh đoạt tiên duyên.	Côn Luân pháp hội kết thúc.
44	Tiên Duyên Đại Hội	Tu hành giới mỗi năm một lần tiên duyên sẽ mở ra, các đại phái tề tụ [TXT], tuyển nhận có tư chất đệ tử. Trong lúc nhất thời thiên hạ có chí cầu tiên vấn đạo chi anh tài hội tụ ở này.	Tiên Duyên đại hội kết thúc.
45	Tà Đế Lăng Khai Khải	Nam Hoang tà Đế Lăng ba năm một lần mở ra thời điểm đã tới. Nghe nói tà Đế Lăng sẽ kéo dài mở ra hai mươi tám ngày, người có duyên đều có khả năng thu hoạch Tà Đế truyền thừa. Trong lúc nhất thời tu hành giới phong vân hội tụ Nam Hoang.	Tà Đế Lăng ngủ đóng lại.
46	Kim Hạp Khai Khải	Ở vào tuyết lớn nguyên ngọc tinh đầm gần Nhật đầm nước cuồn cuộn, báo hiệu trong đó kim hộp bảo tàng sắp đến gần sau bảy ngày mở ra. Kim hộp bảo tàng bên trong giấu Ma Đế giao tích không tung hoành thiên hạ vơ vét kỳ trân dị bảo, thiên hạ người tu hành đều chen chúc mà tới.	Kim hộp bảo tàng đóng lại, lần này mở ra chảy ra bảo tàng bị chia cắt không còn.
47	Dị Giới Động Đãng	Gần đây xem hải thành có truyền ngôn chảy ra, phương bắc dưới biển sâu xuất hiện một đám mây sương mù lượn lờ hải vực, có tiến không ra, dị thường hung hiểm.	
48	Dị Giới Chi Mê	Dị giới khe hở lại lần nữa hiện thế, không biết sẽ có hay không có cái gì mới cơ duyên.	
49	Đổ Quỷ Diệp Huyền	Có người nói hôm nay nhìn thấy Diệp Huyền tại [TXT] Ẩn hiện. Truyền thuyết Diệp Huyền người này yêu nhất các nơi thu thập kỳ trân dị bảo, tính cách cổ quái, thị cược như mạng, thường thường lấy bảo vật đánh cược người khác tuổi thọ. Trăm năm qua bởi vì thua sạch tuổi thọ mà chết ở thủ hạ bỏ mạng dân cờ bạc không đếm được, cừu gia khắp nơi trên đất. Chỉ là tinh thông độn pháp, đến nay không người nào có thể bắt được người này.	Ma bài bạc Diệp Huyền đã rời đi [TXT], không biết tung tích.
50	Cổ Thiên Cực Phù	Các môn các phái đều có mình môn phái ký hiệu dùng cái này tới làm vì hành tẩu thiên hạ đánh dấu, tỷ như Thục Sơn kiếm phù, cực Thiên Cung thiên cực phù...... Đọc thuộc lòng 《 Quần tiên ghi chép: Quyển 3 》 Sau, ngươi nhạy cảm phát hiện thiên cực lão tổ lúc ấy hành tẩu thiên hạ lúc sở dụng thân phận tiêu ký cùng đương kim đại biểu cực Thiên Cung thiên cực phù có khá lớn khác biệt, ngươi đối với cái này cảm thấy kỳ quái, bởi vậy tin tức này mặc dù không có cái gì dùng, nhưng y nguyên đưa nó ghi xuống.	
51	Di Thuế Quy Tông	Đem thiên cực lão tổ tiên nhân lột xác trả lại cực Thiên Cung, để một đời tông sư có thể hưởng thụ hậu bối đệ tử tế tự.	
52	Súc Ảnh Chi Quyển	Tiên thiên Hỗn Độn Linh Bảo Vạn Tượng ảnh thu nhỏ cuốn tại Trung Nguyên đỉnh bằng núi hiện thế, nghe đồn vật này có thể triệu hoán thiên địa sinh linh ảnh thu nhỏ cụ hiện mà ra, thần diệu phi phàm.	
53	Giao Long Tung Tích	Gần đây từ [TXT] Mơ hồ cảm ứng được giao long ẩn hiện khí tức.	Giao long khí tức tiêu thất vô tung......
54	Hung Phượng Tung Tích	Gần đây từ [TXT] Mơ hồ cảm ứng được hung phượng ẩn hiện khí tức.	Hung phượng khí tức tiêu thất vô tung......
55	Âm Dương Chi Tức	Gần đây từ [TXT] Mơ hồ cảm ứng được đạo âm dương dị thường khí tức.	Đạo âm dương dị thường khí tức biến mất......
56	Cổ Tu Truyện Văn	Gần đây nghe đồn, [TXT] Có cổ đại người tu hành tin tức chảy ra.	Nghe đồn xuất hiện tại [TXT] Cổ đại người tu hành rời đi......
57	Cố Nhân Nghi Tung	Gần đây, có thôn dân phụ cận nói đồng lăng núi xuất hiện một quái nhân, hai tay kỳ dài, bước đi như bay, trèo đèo lội suối như giẫm trên đất bằng. Nghe người này hình dáng tướng mạo, tựa hồ là ngày xưa trong môn si mê trận pháp chi đạo Thất sư huynh. Chẳng lẽ hắn cũng từ trường hạo kiếp này bên trong may mắn còn sống sót sao? Có lẽ hẳn là tìm thời gian đi xem một chút.	
58	Kim Hạp Khai Khải	Ở vào tuyết lớn nguyên ngọc tinh đầm gần Nhật đầm nước cuồn cuộn, báo hiệu trong đó kim hộp bảo tàng sắp đến gần sau bảy ngày mở ra. Kim hộp bảo tàng bên trong giấu Ma Đế giao tích không tung hoành thiên hạ vơ vét kỳ trân dị bảo, thiên hạ người tu hành đều chen chúc mà tới.	Kim hộp bảo tàng đóng lại, lần này mở ra chảy ra bảo tàng bị chia cắt không còn.
59	Phàm Nhân Chiến Tranh	Gần đây, [TXT] Phụ cận bộc phát cùng một chỗ phàm nhân ở giữa chiến tranh, bách tính tử thương không đếm được, thây ngang khắp đồng.	Một vị đi ngang qua người tu hành không đành lòng sinh linh đồ thán, thi triển tiên pháp ngăn lại trận này chiến loạn.
60	Ôn Dịch Tứ Ngược	Gần đây, [TXT] Bộc phát một trận ôn dịch, phàm nhân bách tính tử thương rất nhiều, trong lúc nhất thời lòng người bàng hoàng.	Một vị đi ngang qua người tu hành không đành lòng sinh linh đồ thán, lấy pháp lực trừ khử ôn dịch.
61	Yêu Tà Loạn Thế	Gần đây, có một đám yêu tà tại [TXT] Làm loạn luyện pháp, không ít phàm nhân bị bắt cóc sát hại, trong lúc nhất thời lời đồn đại nổi lên bốn phía, người tâm động loạn.	Một vị đi ngang qua người tu hành xuất thủ hàng phục yêu tà.
62	Thiên Tai Đột Phát	Gần đây, [TXT] Phụ cận bạo phát một trận thiên tai, có đại lượng phàm nhân tại trong tai nạn mất mạng, trong lúc nhất thời tiếng kêu than dậy khắp trời đất.	Một vị đi ngang qua người tu hành xuất thủ lắng lại thiên tai, dàn xếp may mắn còn sống sót bách tính.
63	Kim Hạp Khai Khải	Ở vào tuyết lớn nguyên ngọc tinh đầm gần Nhật đầm nước cuồn cuộn, báo hiệu trong đó kim hộp bảo tàng sắp đến gần sau bảy ngày mở ra. Kim hộp bảo tàng bên trong giấu Ma Đế giao tích không tung hoành thiên hạ vơ vét kỳ trân dị bảo, thiên hạ người tu hành đều chen chúc mà tới.	Kim hộp bảo tàng đóng lại, lần này mở ra chảy ra bảo tàng bị chia cắt không còn.
64	Đạo Thống Hiện Thế	Nghe nói [TXT] Ban ngày sao băng, Địa Dũng Kim Liên, nghi có tiền bối tiên nhân đạo thống sắp xuất thế, dẫn bát phương người tu hành hội tụ.	Một thần bí người tu hành thu được tiền bối tiên nhân đạo thống.
65	Thất Truyện Chi Pháp	Theo đại diện điểm quy mô mở rộng, chúng ta tại Lĩnh Nam thu được càng nhiều tín đồ, tin tức cũng ngày càng linh thông. Đoạn thời gian gần nhất, người đại diện truyền về tin tức, nói có bách tính tại một ngọn núi khe phía dưới phát hiện một chỗ di tích thần bí, tựa hồ có chút linh dị, đáng giá đi điều tra một phen.	Nghe nói kia khe núi phát sinh đổ sụp, di tích bị hủy tại một khi, thực sự quá đáng tiếc.
66	Kim Hạp Khai Khải	Ở vào tuyết lớn nguyên ngọc tinh đầm gần Nhật đầm nước cuồn cuộn, báo hiệu trong đó kim hộp bảo tàng sắp đến gần sau bảy ngày mở ra. Kim hộp bảo tàng bên trong giấu Ma Đế giao tích không tung hoành thiên hạ vơ vét kỳ trân dị bảo, thiên hạ người tu hành đều chen chúc mà tới.	Kim hộp bảo tàng đóng lại, lần này mở ra chảy ra bảo tàng bị chia cắt không còn.
67	Dị Giới Kỳ Văn	Gần đây tu hành giới truyền ngôn, có người từ dị giới khe hở chỗ sâu phát hiện một cái thần bí thông đạo. Dưới đây người lời nói, thông đạo bến bờ hung hiểm dị thường, trong đó tu sĩ sinh linh chưa từng nghe thấy, nhưng kỳ thật lực thậm chí so Thượng Cổ tu sĩ còn cường hoành hơn mấy lần. Bất quá cái này một nghe đồn quá khoa trương, bị người dẫn vì dật sự đàm tiếu.	
68	Dị Giới Lai Khách	Gần đây tu hành giới truyền ngôn, có người tại dị giới khe hở phát hiện một chút kỳ quái bóng dáng, tựa hồ có một ít người tu hành từ khe hở bến bờ mà đến......	
1000	Trường Lão Xuất Hành	Tục truyền {0} Đại năng {1} Tại {2} Ẩn hiện.	{0} Đại năng {1} Đã ở {2} Đã mất đi tung tích
1001	Đan Hà Động Thiên Tiến Cống	Lại đến hàng năm đan hà động thiên tiến cống thời gian, có thể phái phái đệ tử tiến về thu lấy cống phẩm.	
1002	Côn Lôn Cung Tiến Cống	Lại đến hàng năm Côn Luân cung tiến cống thời gian, có thể phái phái đệ tử tiến về thu lấy cống phẩm.	
1003	Cực Thiên Cung Tiến Cống	Lại đến hàng năm cực Thiên Cung tiến cống thời gian, có thể phái phái đệ tử tiến về thu lấy cống phẩm.	
1004	Tử Tiêu Tông Tiến Cống	Lại đến hàng năm Tử Tiêu tông tiến cống thời gian, có thể phái phái đệ tử tiến về thu lấy cống phẩm.	
1005	Huyền Nhất Đạo Tiến Cống	Lại đến hàng năm Huyền Nhất đạo tiến cống thời gian, có thể phái phái đệ tử tiến về thu lấy cống phẩm.	
1006	Thanh Liên Kiếm Tông Tiến Cống	Lại đến hàng năm Thanh Liên Kiếm Tông tiến cống thời gian, có thể phái phái đệ tử tiến về thu lấy cống phẩm.	
1007	Tê Hà Động Thiên Tiến Cống	Lại đến hàng năm Tê Hà động thiên tiến cống thời gian, có thể phái phái đệ tử tiến về thu lấy cống phẩm.	
1008	Bách Man Sơn Tiến Cống	Lại đến hàng năm Bách Man Sơn tiến cống thời gian, có thể phái phái đệ tử tiến về thu lấy cống phẩm.	
1009	Thất Thiên Ổ Tiến Cống	Lại đến hàng năm bảy thiên ổ tiến cống thời gian, có thể phái phái đệ tử tiến về thu lấy cống phẩm.	
1010	Thất Sát Ma Cung Tiến Cống	Lại đến hàng năm Thất Sát Ma Cung tiến cống thời gian, có thể phái phái đệ tử tiến về thu lấy cống phẩm.	
1011	Hợp Hoan Phái Tiến Cống	Lại đến hàng năm Hợp Hoan phái tiến cống thời gian, có thể phái phái đệ tử tiến về thu lấy cống phẩm.	
1012	Vạn Yêu Điện Tiến Cống	Lại đến hàng năm vạn Yêu Điện tiến cống thời gian, có thể phái phái đệ tử tiến về thu lấy cống phẩm.	
1013	Hành Tung	Nhận được [EXTXT] Tiến về [TXT] Tin tức.	[EXTXT] Tại [TXT] Đã mất đi tung tích
1014	Ẩn Tàng Xuất Hành		
1015	Trường Lão Xuất Hành	Tục truyền {0} Đại năng {1} Tại {2} Ẩn hiện.	{0} Đại năng {1} Đã ở {2} Đã mất đi tung tích
9000	Trọng Kiến Đại Lý	Nghe nói Thái Nhất Môn tín đồ không chỗ thăm viếng, tiếng oán than dậy đất, phải chăng hẳn là đi hỏi một chút đến tột cùng?	
9001	Thanh Trừ Phản Đồ	Môn phái {0}- Nghe nói môn phái {0} Làm phản đệ tử chạy trốn tới nơi này. Bọn hắn kỳ vọng ngươi đi chế phục hắn.	
9002	Phàm Vật Phách Mại	Đấu giá hội lại bắt đầu. Lần này đấu giá hội bán một chút phổ biến vật phẩm.	
9003	Trảm Nghiệt Trừ Ác	Chém giết {0} đệ tử -Tán tu [color=#FF0000]{1}[/color] Gần nhất tại {2} Ẩn hiện, ngươi đáp ứng {0} Hỗ trợ tiến đến báo thù.	
9004	Túc Thanh Gian Điệp	{0} Gián điệp [color=#FF0000]{1}[/color] Chạy trốn đến {2}. Ngươi đáp ứng {0} Đi đem quét sạch.	
9005	Thanh Trừ Phản Đồ	{0} Làm phản đệ tử [color=#FF0000]{1}[/color] Chạy trốn đến {2}. Ngươi đáp ứng {0} Đi đem trảm trừ.	
9006	Hạn Tai Sự Kiện	[TXT] Đột nhiên phát sinh [EXTXT], phàm nhân tử thương vô số, tiếng oán than dậy đất, lòng người bàng hoàng.	Có người ở chỗ này thi triển pháp lực ảnh hưởng tới tai nạn, lại tiến về thì có tổn thương thiên đạo.
9007	Hồng Thủy Sự Kiện	[TXT] Đột nhiên phát sinh [EXTXT], phàm nhân tử thương vô số, tiếng oán than dậy đất, lòng người bàng hoàng.	Có người ở chỗ này thi triển pháp lực ảnh hưởng tới tai nạn, lại tiến về thì có tổn thương thiên đạo.
9008	Hàn Triều Sự Kiện	[TXT] Đột nhiên phát sinh [EXTXT], phàm nhân tử thương vô số, tiếng oán than dậy đất, lòng người bàng hoàng.	Có người ở chỗ này thi triển pháp lực ảnh hưởng tới tai nạn, lại tiến về thì có tổn thương thiên đạo.
9009	Địa Chấn Sự Kiện	[TXT] Đột nhiên phát sinh [EXTXT], phàm nhân tử thương vô số, tiếng oán than dậy đất, lòng người bàng hoàng.	Có người ở chỗ này thi triển pháp lực ảnh hưởng tới tai nạn, lại tiến về thì có tổn thương thiên đạo.
9010	Dã Thú Khải Trí		Khải trí dã thú bị người khác mang đi
9011	Huyền Cơ Phách Mại	Đấu giá hội lại bắt đầu. Lần này đấu giá vật phẩm huyền cơ trùng điệp, không cách nào phân biệt.	
9012	Bách Vật Phách Mại	Đấu giá hội lại bắt đầu. Lần này vật phẩm bán đấu giá hoa văn phong phú, đến đây tham dự nhân vật cũng là đủ loại.	
9013	Trân Bảo Phách Mại	Đấu giá hội lại bắt đầu. Lần này vật phẩm bán đấu giá đều là kỳ trân dị bảo, khách tới cũng đều là khí vũ phi phàm!	
9100	Long Nhai Thạch Khắc	Nghe nói đại mạc chỗ sâu đột nhiên thiên băng địa liệt, thời kỳ Thượng Cổ yêu tộc thánh địa rồng vách đá khắc lại xuất hiện nhân gian!	
9101	Long Nhai Thạch Khắc	Nghe nói đại mạc chỗ sâu đột nhiên thiên băng địa liệt, thời kỳ Thượng Cổ yêu tộc thánh địa rồng vách đá khắc lại xuất hiện nhân gian!	
