Key	Value
{0}大张旗鼓地做了很多美食，放在路边，喊道：“加我们，食物免费拿！”因为在紧要关头，群众纷纷选择拿了食物。	{0} Gióng trống khua chiêng làm rất nhiều mỹ thực, đặt ở ven đường, hô: Thêm chúng ta, đồ ăn miễn phí cầm! Bởi vì tại khẩn yếu quan đầu, quần chúng nhao nhao lựa chọn cầm đồ ăn.
{0}想要动脑筋如何更快地赈灾，可时间不等人，白白错过了许多灾民	{0} Muốn động đầu óc như thế nào càng nhanh chẩn tai, khả thi ở giữa không chờ người, bạch bạch bỏ qua rất nhiều nạn dân
众人把食物一抢而空，许多难民都拿到了食物。	Đám người đem đồ ăn một đoạt mà không, rất nhiều nạn dân đều lấy được đồ ăn.
{0}准备将灵石分给灾民。	{0} Chuẩn bị đem linh thạch phân cho nạn dân.
但没人知道这是什么。	Nhưng không ai biết đây là cái gì.
{0}准备将木头分给灾民。	{0} Chuẩn bị đem đầu gỗ phân cho nạn dân.
但没人需要这么大一根木棍。	Nhưng không ai cần như thế đại nhất cây côn gỗ.
{0}准备将石料分给灾民。	{0} Chuẩn bị đem vật liệu đá phân cho nạn dân.
但没人需要这么大一块石头。	Nhưng không ai cần như thế một khối to tảng đá.
{0}看了一眼众弟子，让他们分头去帮助灾民。	{0} Nhìn thoáng qua chúng đệ tử, để bọn hắn chia ra đi trợ giúp nạn dân.
{0}只是将部分石料分给灾民。	{0} Chỉ là đem bộ phận vật liệu đá phân cho nạn dân.
{0}抓了一些难民，把赈灾石料强行给他们，只有少数人拿了石料。	{0} Bắt một chút nạn dân, đem chẩn tai vật liệu đá cưỡng ép cho bọn hắn, chỉ có số ít người cầm vật liệu đá.
{0}将石料放在路边，向群众喊道：“成为我们的信徒即可免费领石料！”虽然看起来像趁火打劫，但群众也管不了那么多了。	{0} Đem vật liệu đá đặt ở ven đường, hướng quần chúng hô: Trở thành tín đồ của chúng ta liền có thể miễn phí lĩnh vật liệu đá! Mặc dù nhìn giống nhân lúc cháy nhà mà đi hôi của, nhưng quần chúng cũng không quản được nhiều như vậy.
虽然有人缺食物，但修建堤坝才是要紧的事情。	Mặc dù có người thiếu đồ ăn, nhưng tu kiến đê đập mới là quan trọng sự tình.
但没人需要这些木头。	Nhưng không ai cần những này đầu gỗ.
{0}号召弟子将石料直接用于修建防洪工程。	{0} Hiệu triệu đệ tử đem vật liệu đá trực tiếp dùng cho tu kiến chống lũ công trình.
{0}只是将部分赈灾木材分给灾民。	{0} Chỉ là đem bộ phận chẩn tai vật liệu gỗ phân cho nạn dân.
{0}抓了一些难民，把木材强行给他们，只有少数人拿了食物。	{0} Bắt một chút nạn dân, đem vật liệu gỗ cưỡng ép cho bọn hắn, chỉ có số ít người cầm đồ ăn.
{0}将木材摆上街头，说道：“只要加入我们，木材免费拿！”灾民实在冷得不行，拿了很多木头回家当柴了。	{0} Đem vật liệu gỗ mang lên đầu đường, nói: Chỉ cần gia nhập chúng ta, vật liệu gỗ miễn phí cầm! Nạn dân thực sự lạnh đến không được, cầm rất nhiều đầu gỗ về nhà làm củi.
{0}准备将食物分给灾民。但他们并不缺食物。	{0} Chuẩn bị đem đồ ăn phân cho nạn dân. Nhưng bọn hắn cũng không thiếu đồ ăn.
{0}将木材砍成柴火直接送到灾民手里。	{0} Đem vật liệu gỗ chặt thành củi lửa trực tiếp đưa đến nạn dân trong tay.
但没人需要石头。	Nhưng không ai cần tảng đá.
{0}号召弟子将石料直接用于重建群众的家园。	{0} Hiệu triệu đệ tử đem vật liệu đá trực tiếp dùng cho trùng kiến quần chúng quê hương.
[NAME]仔细观摩了此建筑的模样。	[NAME] Cẩn thận quan sát này kiến trúc bộ dáng.
解锁：武当红墙。	Giải tỏa: Võ Đang tường đỏ.
我们已经知晓了此物如何建造。	Chúng ta đã biết được vật này như thế nào kiến tạo.
解锁：%s	Giải tỏa: %s
[NAME]心灵虔诚地拜了拜，感受到了祝福。	[NAME] Tâm linh thành kính bái một cái, cảm nhận được chúc phúc.
一年一度的龙头香祭拜已经结束，请明年首日再来	Mỗi năm một lần long đầu hương tế bái đã kết thúc, mời sang năm ngày đầu lại đến
[NAME]贪婪地拜了拜，感受到了不祥的气息。	[NAME] Tham lam bái một cái, cảm nhận được bất tường khí tức.
[NAME]的五维大幅降低了。	[NAME] Năm chiều diện rộng hạ thấp.
[NAME]想了想，还是算了。	[NAME] Nghĩ nghĩ, vẫn là quên đi.
[NAME]脑海中出现了真武大帝年幼时参悟大道的景象。恍惚之间，身边多了一张神符，应该是真武神念所化。	[NAME] Trong đầu xuất hiện Chân Vũ đại đế tuổi nhỏ lúc lĩnh hội đại đạo cảnh tượng. Hoảng hốt ở giữa, bên người nhiều một trương thần phù, hẳn là Chân Vũ Thần niệm biến thành.
其中已没有了回应。	Trong đó đã không có đáp lại.
[NAME]脑海中出现了真武大帝练习御剑的景象。恍惚之间，身边多了一柄飞剑，应该是真武神念所化。	[NAME] Trong đầu xuất hiện Chân Vũ đại đế luyện tập ngự kiếm cảnh tượng. Hoảng hốt ở giữa, bên người nhiều một thanh phi kiếm, hẳn là Chân Vũ Thần niệm biến thành.
玄天	Huyền Thiên
剑气锐利无比，神魔都无法抵挡。	Kiếm khí sắc bén vô cùng, Thần Ma đều không thể ngăn cản.
[NAME]脑海中出现了真武大帝炼丹的景象。恍惚之间，身边多了一颗丹药，应该是真武神念所化。	[NAME] Trong đầu xuất hiện Chân Vũ đại đế luyện đan cảnh tượng. Hoảng hốt ở giữa, bên người nhiều một viên đan dược, hẳn là Chân Vũ Thần niệm biến thành.
灵玉吸收了一些灵气，忽然化作一道青光飞向附近，一只玄武身形显露了出来。	Linh ngọc hấp thu một chút linh khí, bỗng nhiên hóa thành một đạo thanh quang bay về phía phụ cận, một con Huyền Vũ thân hình hiển lộ ra.
冥冥之中有一人对[NAME]说到：原来你就是有缘人！我的遗骨赐予你，希望你好好利用。	Từ nơi sâu xa có một người đối [NAME] Nói đến: Nguyên lai ngươi chính là người hữu duyên! Ta di cốt ban cho ngươi, hi vọng ngươi hảo hảo lợi dụng.
冥冥之中有一人对[NAME]说到：故有宜果，其味如蜜。晾之檐上，以待佳期。此物味道甚好，分你一些。	Từ nơi sâu xa có một người đối [NAME] Nói đến: Cố hữu nghi quả, vị như mật. Phơi chi trên mái hiên, mà đối đãi ngày cưới. Vật này hương vị rất tốt, phân ngươi một chút.
冥冥之中有一人对[NAME]说到：以静制动，以柔克刚。你看起来有点悟性，这枚天道神丹助你修行。	Từ nơi sâu xa có một người đối [NAME] Nói đến: Lấy tĩnh chế động, lấy nhu thắng cương. Ngươi nhìn có chút ngộ tính, cái này mai thiên đạo thần đan giúp ngươi tu hành.
冥冥之中有一丝回应，似乎想让[NAME]继续。	Từ nơi sâu xa có một tia đáp lại, tựa hồ muốn để [NAME] Tiếp tục.
其中没有任何回应。	Trong đó không có bất kỳ cái gì đáp lại.
[NAME]靠近蕴灵树后感受其中玄妙，自身灵气运转更加流畅了。	[NAME] Tới gần uẩn Linh Thụ sau cảm thụ trong đó huyền diệu, tự thân linh khí vận chuyển càng thêm trôi chảy.
[NAME]掳走了几个凡人。幸运的是，此事滴水不漏，无人察觉。	[NAME] Bắt đi mấy cái phàm nhân. May mắn chính là, việc này giọt nước không lọt, không người phát giác.
[NAME]掳走了几个凡人。不幸的是，此事走漏了风声，宣扬开来。	[NAME] Bắt đi mấy cái phàm nhân. Không may, việc này tiết lộ phong thanh, tuyên dương ra.
[NAME]掳走了几个凡人。不幸的是，此事走漏了风声，竟然被一伙正派人士知晓，竟然一路追索，找上门来。	[NAME] Bắt đi mấy cái phàm nhân. Không may, việc này tiết lộ phong thanh, lại bị một đám chính phái nhân sĩ biết được, vậy mà một đường truy tìm, tìm tới cửa.
[SCHOOL]的弟子见到[NAME]，想起自家门派遭遇。虽有万般不满，但依然一脸笑容的上来拜见。	[SCHOOL] Đệ tử nhìn thấy [NAME], nhớ tới nhà mình môn phái tao ngộ. Tuy có mọi loại bất mãn, nhưng y nguyên nở nụ cười đi lên bái kiến.
[SCHOOL]的弟子见到[NAME]连忙上来拜见，[NAME]心情不错，顺手指点了这些晚辈一些修为上的事。分别时，[SCHOOL]的弟子恭敬的邀请你来他们门派做客。	[SCHOOL] Đệ tử nhìn thấy [NAME] Vội vàng đi lên bái kiến, [NAME] Tâm tình không tệ, thuận tay chỉ điểm những vãn bối này một chút tu vi bên trên sự tình. Phân biệt lúc, [SCHOOL] Đệ tử cung kính mời ngươi đến bọn hắn môn phái làm khách.
[NAME]和[SCHOOL]的弟子热情的交谈，双方一起到附近有名的酒楼畅饮一番。临分别时，[SCHOOL]的弟子硬是送了你一些当地特产的礼物，并邀请你有空再来[SCHOOL]转转。	[NAME] Cùng [SCHOOL] Đệ tử nhiệt tình trò chuyện, song phương cùng một chỗ đến phụ cận nổi danh tửu lâu uống một phen. Lâm phân biệt lúc, [SCHOOL] Đệ tử quả thực là đưa ngươi một chút nơi đó đặc sản lễ vật, cũng mời ngươi có rảnh lại đến [SCHOOL] Đi dạo.
[NAME]和[SCHOOL]的弟子打了声招呼，大家在路边聊了聊修行界最近发生的趣事，并约好下次互相拜访。	[NAME] Cùng [SCHOOL] Đệ tử lên tiếng chào hỏi, mọi người tại ven đường hàn huyên trò chuyện tu hành giới gần nhất phát sinh chuyện lý thú, cũng hẹn xong lần sau lẫn nhau bái phỏng.
[NAME]对[SCHOOL]的弟子点头示意，对方看了[NAME]一眼，也点了点头。	[NAME] Đối [SCHOOL] Đệ tử gật đầu ra hiệu, đối phương nhìn [NAME] Một chút, cũng nhẹ gật đầu.
[SCHOOL]的弟子很愤怒，并放出狠话让[NAME]和他的宗门最近小心点。	[SCHOOL] Đệ tử rất phẫn nộ, để cạnh nhau ra ngoan thoại để [NAME] Cùng hắn tông môn gần nhất cẩn thận một chút.
[SCHOOL]的弟子很诧异的看了[NAME]一眼，不知道为何他会说出这无礼的言论。	[SCHOOL] Đệ tử rất kinh ngạc nhìn [NAME] Một chút, không biết vì sao hắn sẽ nói ra cái này vô lễ ngôn luận.
[SCHOOL]的弟子冷笑两声，掏出法宝向[NAME]发起了攻击。[NAME]考虑身处敌人门派所在地，不欲恋战，施了个手法脱身而去。	[SCHOOL] Đệ tử cười lạnh hai tiếng, móc ra pháp bảo hướng [NAME] Phát khởi công kích.[NAME] Cân nhắc thân ở địch nhân môn phái sở tại địa, không muốn ham chiến, làm cái thủ pháp thoát thân mà đi.
[SCHOOL]的弟子勃然大怒，掏出法宝准备动手，但似乎顾忌什么，最终留下狠话悻悻离开。	[SCHOOL] Đệ tử giận tím mặt, móc ra pháp bảo chuẩn bị động thủ, nhưng tựa hồ cố kỵ cái gì, cuối cùng lưu lại ngoan thoại hậm hực rời đi.
[NAME]忙于赶路，匆匆离去了。	[NAME] Bề bộn nhiều việc đi đường, vội vàng rời đi.
[SCHOOL]的弟子上来跟[NAME]打了个招呼，却见[NAME]神色冷漠的匆匆离去，心中略有不满。	[SCHOOL] Đệ tử đi lên cùng [NAME] Lên tiếng chào, đã thấy [NAME] Thần sắc lạnh lùng vội vàng rời đi, trong lòng hơi có bất mãn.
[SCHOOL]的弟子勃然大怒，祭出法宝斩向[NAME]。[NAME]以一对多，不慌不忙，施展出师门所传的剑法对敌。一时间天空剑气纵横。	[SCHOOL] Đệ tử giận tím mặt, tế ra pháp bảo chém về phía [NAME].[NAME] Lấy một đối nhiều, không chút hoang mang, thi triển ra sư môn truyền lại kiếm pháp đối địch. Trong lúc nhất thời bầu trời kiếm khí tung hoành.
[NAME]技高一筹，瞅准一个破绽，将对方领头的弟子一剑枭首，对方溃败，作鸟兽散。	[NAME] Cao hơn một bậc, nhìn chuẩn một sơ hở, đem đối phương dẫn đầu đệ tử một kiếm bêu đầu, đối phương tan tác, tan tác như chim muông.
[SCHOOL]的弟子勃然大怒，祭出法宝斩向[NAME]。[NAME]也祭出法宝对敌，双方战作一团。	[SCHOOL] Đệ tử giận tím mặt, tế ra pháp bảo chém về phía [NAME].[NAME] Cũng tế ra pháp bảo đối địch, song phương chiến làm một đoàn.
双方斗了几个回合，[NAME]感觉灵气不继，一时疏忽被对方破了法术。[NAME]慌乱中夺路逃窜，虽然中了对方两招，但顺利逃脱了性命。	Song phương đấu mấy hiệp, [NAME] Cảm giác linh khí không kế, nhất thời sơ sẩy bị đối phương phá pháp thuật.[NAME] Trong lúc bối rối cướp đường chạy trốn, mặc dù trúng đối phương hai chiêu, nhưng thuận lợi đào thoát tính mệnh.
[SCHOOL]的弟子勃然大怒，挥手放出七八道阴森森的剑光向[NAME]杀来。[NAME]以一对多，不慌不忙，施展出师门所传的剑法对敌。一时间天空剑气纵横。	[SCHOOL] Đệ tử giận tím mặt, phất tay thả ra bảy tám đạo âm trầm kiếm quang hướng [NAME] Đánh tới.[NAME] Lấy một đối nhiều, không chút hoang mang, thi triển ra sư môn truyền lại kiếm pháp đối địch. Trong lúc nhất thời bầu trời kiếm khí tung hoành.
[SCHOOL]的弟子勃然大怒，挥手放出七八道阴森森的剑光向[NAME]杀来。[NAME]也祭出法宝对敌，双方战作一团。	[SCHOOL] Đệ tử giận tím mặt, phất tay thả ra bảy tám đạo âm trầm kiếm quang hướng [NAME] Đánh tới.[NAME] Cũng tế ra pháp bảo đối địch, song phương chiến làm một đoàn.
[SCHOOL]的弟子恨恨的看了看你，但摄于你的修为，并没有做什么过激的事。	[SCHOOL] Đệ tử oán hận nhìn một chút ngươi, nhưng nhiếp ngươi tu vi, cũng không có làm cái gì quá kích sự tình.
[NAME]选择无视对面，可[SCHOOL]的几名弟子却冷笑一声，祭出法宝向[NAME]发动了猛烈的攻击。	[NAME] Lựa chọn không nhìn đối diện, nhưng [SCHOOL] Mấy tên đệ tử lại cười lạnh một tiếng, tế ra pháp bảo hướng [NAME] Phát động công kích mãnh liệt.
[SCHOOL]的弟子看到[NAME]大怒，喊了一声魔头受死便结成阵势向[NAME]杀来。	[SCHOOL] Đệ tử nhìn thấy [NAME] Giận dữ, hô một tiếng ma đầu nhận lấy cái chết liền kết thành trận thế hướng [NAME] Đánh tới.
[NAME]狞笑一声，运起真力，一道匹练似的剑光纵横飞斩，转眼间就破了敌人的攻势，对面几人被一剑一个当了[NAME]的剑下亡魂。。	[NAME] Nhe răng cười một tiếng, vận khởi chân lực, một dải lụa giống như kiếm quang tung hoành chém bay, trong nháy mắt liền rách địch nhân thế công, đối diện mấy người bị một kiếm một cái làm [NAME] Vong hồn dưới kiếm..
[NAME]选择无视对面，可[SCHOOL]的几名弟子却相视一眼，大喊一声魔头受死，就祭出法宝向[NAME]发动了猛烈的攻击。	[NAME] Lựa chọn không nhìn đối diện, nhưng [SCHOOL] Mấy tên đệ tử lại nhìn nhau, hô to một tiếng ma đầu nhận lấy cái chết, liền tế ra pháp bảo hướng [NAME] Phát động công kích mãnh liệt.
[SCHOOL]的长老见到[NAME]，只得按照规矩行礼拜见，而后离去。	[SCHOOL] Trưởng lão nhìn thấy [NAME], đành phải dựa theo quy củ hành lễ bái kiến, sau đó rời đi.
[NAME]上前同[SCHOOL]的长老打了声招呼，两人结伴同游[SCHOOL]附近的几处胜地，品风论道，畅谈许久。临分别时，[SCHOOL]的这名长老送你一个自己炼制的小法宝作为纪念。	[NAME] Tiến lên cùng [SCHOOL] Trưởng lão lên tiếng chào hỏi, hai người kết bạn cùng dạo [SCHOOL] Phụ cận mấy chỗ thắng địa, phẩm gió luận đạo, tâm tình hồi lâu. Lâm phân biệt lúc, [SCHOOL] Người trưởng lão này đưa ngươi một cái mình luyện chế tiểu pháp bảo làm kỷ niệm.
[NAME]上前恭敬的拜见了[SCHOOL]的长老，长老很开心的同[NAME]聊了两句，并指点了他几句修行法诀。	[NAME] Tiến lên cung kính bái kiến [SCHOOL] Trưởng lão, trưởng lão rất vui vẻ cùng [NAME] Hàn huyên hai câu, cũng chỉ điểm hắn vài câu tu hành pháp quyết.
[NAME]和[SCHOOL]的长老打了声招呼，大家聊了两句，[SCHOOL]的长老说有事在身，匆匆离去了。	[NAME] Cùng [SCHOOL] Trưởng lão lên tiếng chào hỏi, mọi người hàn huyên hai câu, [SCHOOL] Trưởng lão nói có việc trong người, vội vàng rời đi.
[NAME]向这名[SCHOOL]的长老打了个招呼，对方看了[NAME]一眼，微不可察的点了点头。	[NAME] Hướng tên này [SCHOOL] Trưởng lão lên tiếng chào, đối phương nhìn [NAME] Một chút, nhỏ không thể thấy nhẹ gật đầu.
[NAME]笑嘻嘻的同[SCHOOL]的长老打了个招呼，暗中却发出了致命的一击，重创了对方。	[NAME] Cười hì hì cùng [SCHOOL] Trưởng lão lên tiếng chào, âm thầm lại phát ra một kích trí mạng, đả thương nặng đối phương.
[SCHOOL]的长老不敢置信的看着[NAME]，奋起反击，但最终还是被[NAME]接二连三的狠招夺去了性命。	[SCHOOL] Trưởng lão không dám tin nhìn xem [NAME], phấn khởi phản kích, nhưng cuối cùng vẫn bị [NAME] Liên tiếp ngoan chiêu đoạt đi tính mệnh.
[NAME]笑嘻嘻的同[SCHOOL]的长老打了个招呼，暗中却发出了致命的一击，[SCHOOL]的长老在最后关头察觉到了这次偷袭，险之又险的躲过了这招并发起凌厉的反击。	[NAME] Cười hì hì cùng [SCHOOL] Trưởng lão lên tiếng chào, âm thầm lại phát ra một kích trí mạng, [SCHOOL] Trưởng lão tại tối hậu quan đầu đã nhận ra lần này đánh lén, hiểm lại càng hiểm tránh thoát chiêu này đồng phát lên phản kích mãnh liệt.
[NAME]偷袭失败，心神一乱，被长老的绝招命中。最后使尽浑身解数，侥幸脱身。	[NAME] Đánh lén thất bại, tâm thần vừa loạn, bị trưởng lão tuyệt chiêu trúng đích. Cuối cùng đem hết tất cả vốn liếng, may mắn thoát thân.
[SCHOOL]的长老不敢置信的看着[NAME]，刚准备逃生，就被[NAME]接二连三的狠招夺去了性命。	[SCHOOL] Trưởng lão không dám tin nhìn xem [NAME], vừa mới chuẩn bị chạy trốn, liền bị [NAME] Liên tiếp ngoan chiêu đoạt đi tính mệnh.
[NAME]见面不多说，先下手为强，一记狠手向[SCHOOL]的长老身上招呼，直接重创了对方。	[NAME] Gặp mặt không nói nhiều, tiên hạ thủ vi cường, một cái ngoan thủ hướng [SCHOOL] Trưởng lão trên người chào hỏi, trực tiếp đả thương nặng đối phương.
[SCHOOL]的长老猝不及防，慌忙刚准备逃生，就被[NAME]接二连三的狠招夺去了性命。	[SCHOOL] Trưởng lão vội vàng không kịp chuẩn bị, cuống quít vừa mới chuẩn bị chạy trốn, liền bị [NAME] Liên tiếp ngoan chiêu đoạt đi tính mệnh.
[NAME]见面不多说，先下手为强，一记狠手向[SCHOOL]的长老身上招呼，[SCHOOL]的长老临危不乱，险之又险的躲过了这招并发起凌厉的反击。	[NAME] Gặp mặt không nói nhiều, tiên hạ thủ vi cường, một cái ngoan thủ hướng [SCHOOL] Trưởng lão trên người chào hỏi, [SCHOOL] Trưởng lão gặp nguy không loạn, hiểm lại càng hiểm tránh thoát chiêu này đồng phát lên phản kích mãnh liệt.
[SCHOOL]的长老看[NAME]装作没看到自己，对你的无礼略感不满。	[SCHOOL] Trưởng lão nhìn [NAME] Giả bộ như không thấy được mình, đối ngươi vô lễ cảm thấy bất mãn.
[SCHOOL]的长老怒极反笑，他出手就是[SCHOOL]的镇派绝招，狠狠攻向[NAME]。[NAME]狞笑一声，祭出自己的法宝迎敌。一时间空中两道流光如惊龙横空斗作一团。	[SCHOOL] Trưởng lão giận quá thành cười, hắn xuất thủ chính là [SCHOOL] Trấn phái tuyệt chiêu, hung hăng công hướng [NAME].[NAME] Nhe răng cười một tiếng, tế ra pháp bảo của mình nghênh địch. Trong lúc nhất thời không trung hai đạo lưu quang như Kinh Long hoành không đấu làm một đoàn.
两人瞬息间已过手数十招，[NAME]看重一个破绽，拼着自己受伤一招打碎了[SCHOOL]的长老的天灵盖，[SCHOOL]的长老死状惨烈，神形俱灭。	Hai người trong chớp mắt đã qua tay hơn mười chiêu, [NAME] Coi trọng một sơ hở, liều mạng mình thụ thương một chiêu đánh nát [SCHOOL] Trưởng lão đỉnh đầu, [SCHOOL] Trưởng lão tử trạng thảm liệt, thần hình câu diệt.
[SCHOOL]的长老怒极反笑，他出手就是[SCHOOL]的镇派绝招，狠狠攻向[NAME]。[NAME]狞笑一声，祭出自己的法宝迎敌。但却错估了对方杀招的威力，竟然被瞬间破去了法宝。	[SCHOOL] Trưởng lão giận quá thành cười, hắn xuất thủ chính là [SCHOOL] Trấn phái tuyệt chiêu, hung hăng công hướng [NAME].[NAME] Nhe răng cười một tiếng, tế ra pháp bảo của mình nghênh địch. Nhưng lại đoán sai đối phương sát chiêu uy lực, lại bị trong nháy mắt phá đi pháp bảo.
[NAME]大惊失色，已经失了先机，虽然拼命逃走，但却被[SCHOOL]的长老打中致命的一击。	[NAME] Quá sợ hãi, đã mất tiên cơ, mặc dù liều mạng đào tẩu, nhưng lại bị [SCHOOL] Trưởng lão đánh trúng một kích trí mạng.
法术轰击	Pháp thuật oanh kích
[SCHOOL]的长老皱了皱眉，一副不想惹事的样子转身离去。暗中却向[NAME]使出[SCHOOL]的绝杀秘术，想不费吹灰之力夺取[NAME]性命。	[SCHOOL] Trưởng lão nhíu nhíu mày, một bộ không muốn gây chuyện dáng vẻ quay người rời đi. Âm thầm lại hướng [NAME] Sử xuất [SCHOOL] Tuyệt sát bí thuật, nghĩ không cần tốn nhiều sức cướp đoạt [NAME] Tính mệnh.
[NAME]早已察觉，也故作中招，趁敌人大喜回身之际发出运起全身功力的一击。只一道惊龙般的神光如神矢贯月，瞬间将毫无防备的[SCHOOL]的长老打成飞灰。	[NAME] Sớm đã phát giác, cũng ra vẻ trúng chiêu, thừa dịp địch nhân đại hỉ trở lại lúc phát ra vận khởi toàn thân công lực một kích. Chỉ một đạo Kinh Long thần quang như thần mũi tên xâu nguyệt, trong nháy mắt đem không có chút nào phòng bị [SCHOOL] Trưởng lão đánh thành tro bụi.
[NAME]大惊失色，已经失了先机，虽然拼命逃走，但却被[SCHOOL]的长老的致命的一击打中了心脏。	[NAME] Quá sợ hãi, đã mất tiên cơ, mặc dù liều mạng đào tẩu, nhưng lại bị [SCHOOL] Trưởng lão một kích trí mạng đánh trúng trái tim.
