Key	Value
[关闭]\n防御及保护，开启后会自动反击发起攻击的敌人	[Đóng]\nPhòng thủ và Bảo vệ, bật lên sẽ tự động phản kích Kẻ địch tấn công
自动反击(关)	Tự động phản kích (Tắt)
自动反击(开)	Tự động phản kích (Bật
[击败模式]\n攻击目标，点到为止	[Chế độ Đánh bại]\nTấn công mục tiêu, dừng lại đúng lúc
击败模式	Chế độ đánh bại
击杀模式	Chế độ tiêu diệt
[击杀模式]\n攻击目标，不死不休	[Chế độ Hạ sát]\nTấn công mục tiêu, không chết không thôi
[仅内门]\n自动攻击目标	[Chỉ nội môn]\nTự động tấn công mục tiêu
[外门及内门]\n自动攻击目标	[Ngoại môn và nội môn]\nMục tiêu tấn công tự động
无法选择该精华	Không thể chọn tinh hoa này
可生效{0}次	Có hiệu lực {0} lần
余{0}天	{0} ngày
本局生效	Hoạt động
余{0}次	Còn {0} lần
在太极天道的影响下，本次随机的范围变得更广了	Dưới ảnh hưởng của Thái Cực Thiên Đạo, phạm vi ngẫu nhiên lần này trở nên rộng hơn.
耗时：{0:N2}天	Thời gian: {0:N2} ngày
姓名:{0}\n{1}\n{2}	Tên: {0}\n{1}\n{2}
{7}<font color=#D06508>[物体]</font>\n灵气：{1:N0}（{5}{6:N2}/秒）\n聚灵：{4} {9}\n美观：{0}\n品阶：{3}\n品质：{2}{10}{8}{11}	{7}<font color=#D06508>[Vật thể]</font>\nLinh khí: {1:N0} ({5}{6:N2}/giây)\nTụ linh: {4} {9}\nThẩm mỹ: {0}\nPhẩm cấp: {3}\nChất lượng: {2}{10}{8}{11}
灵气: 	Linh khí: 
\n聚灵: 	\nTụ linh: 
准备开始重新整理	Chuẩn bị sắp xếp lại
初入仙道	Sơ Nhập Tiên Đạo
食用给与	Ăn
禁用	Vô \nhiệu \nhóa
放置	Đặt
熔炼	Nung \nchảy
装备给与	Trang bị
选择神通	Chọn thần thông
固定值	Giá trị cố định
\n[color=#FFFF00]受以下状态影响:[/color]	\n[color=#FFFF00]Chịu ảnh hưởng bởi:[/color]
{0}岁\n{1}\n{2}	{0} tuổi\n{1}\n{2}
正在加载，请耐心等待！	Đang tải, vui lòng chờ!
是否开始自制角色	Bắt đầu tạo nhân vật?
购买说明:购买后可使用{0}皮肤	Sau khi mua có thể sử dụng skin {0}
外观数量：{0}	Số lượng ngoại hình: {0}
数量：{0}	Số lượng：{0}
江湖再见	Tạm biệt Giang hồ
妖族崛起	Yêu tộc quật khởi
经典修仙	Tu tiên kinh điển
随机	Ngẫu nhiên
征伐天下	Chinh Phạt Thiên Hạ
显示名称	Hiển thị \ntên
多选相似	Mục tiêu \ntương tự
云存档数量已达上限,无法设置更多云存档!	Số lượng lưu tệp trên đám mây đã đạt tối đa, không thể thiết lập thêm!
正在更改云存档状态...	Đang thay đổi trạng thái lưu trữ đám mây...
云存档:{0}/{1}	Lưu đám mây: {0}/{1}
正在检测存档状态({0}/{1})...	Đang kiểm tra trạng thái lưu tệp ({0}/{1})...
正在打包存档文件:{0}/{1}(此过程不消耗流量)	Đang đóng gói tệp lưu:{0}/{1}\n(quá trình này không tiêu hao lưu lượng)
正在打包存档文件({0}/{1}):{2}/{3}(此过程不消耗流量)	Đang đóng gói tệp lưu ({0}/{1}):{2}/{3}(quá trình này không tiêu hao lưu lượng)
这个门派很神秘，需要在游戏中了解更多。	Môn phái này rất bí ẩn, cần tìm hiểu thêm trong trò chơi.
消息	Tin nhắn
正在返回主菜单	Đang trở về menu chính
正在同步	Đang đồng bộ hóa
读取配置	Đọc cấu hình
获取玩家信息	Lấy thông tin người chơi
加载地图故事	Đang đăng nhập 
正在同步存档...	Đang đồng bộ lưu trữ...
正在获取存档信息...	Đang lấy thông tin lưu tệp...
正在加载地图故事	Đang tải câu chuyện bản đồ
成就	Thành tựu
天道异动	Dị động thiên đạo
教程	Hướng dẫn
开启	Mở
全关	Tắt tất cả
自定义	Tùy chỉnh
全开	Mở hết
查看难度	Xem bản đồ
未选择金仙挑战	Chưa chọn thử thách Kim Tiên
编辑	Biên tập
[color=#006600](最新)[/color] 	[color=#006600](mới nhất)[/color] 
读取	Tải
经典模式	Chế độ cổ điển
定制五官	Tùy chỉnh
{0:N0}度	{0:N0}℃
竹林深处	Sâu trong rừng trúc
武当仙踪	Võ Đang tiên tung
钓鲲者	Điếu Côn Giả
湖仙钓者	Hồ Tiên Điếu Giả
湖怪钓者	Hồ Quái Điếu Giả
垂钓仙	Thùy Điếu Tiên
垂钓圣者	Thùy Điếu Thánh Giả
垂钓翁	Thùy Điếu Ông
战斗	Chiến \nĐấu
气感	Khí \nCảm
处世	Xử \nThế
内视	Nội \nThị
烹饪	Nấu \nNướng
版筑	Kiến \nTạo
农耕	Làm \nNông
金石	Khai \nKhoáng
雅艺	Nhã \nNghệ
格物	Truy \nNguyên
斗法	Đấu \nPháp
丹器	Đan \nKhí
御器	Ngự \nKhí
术法	Thuật \nPháp
护体	Hộ \nThể
阵法	Trận \nPháp
炼丹	Luyện \nĐan
炼器	Luyện \nKhí
歧黄	Chế \nDược
巧匠	Xảo \nTượng
神识	Thần Thức
根骨	Căn Cốt
魅力	Mị Lực
悟性	Ngộ Tính
机缘	Cơ Duyên
痛感	Đau Đớn
意识	Ý Thức
经脉	Kinh Mạch
移动	Di Động
身手	Thân Thủ
感知	Cảm Giác
影响战斗能力。	Ảnh hưởng năng lực chiến đấu.
对灵气的感知能力，影响灵气护盾穿透率，法宝镇压几率。	Đối với linh khí năng lực nhận biết, ảnh hưởng Linh Khí Hộ Thuẫn xuyên thấu suất, pháp bảo trấn áp tỉ lệ.
影响角色之间互动事件发生的概率，招募角色的概率等。	Ảnh hưởng nhân vật ở giữa hỗ động sự kiện phát sinh xác suất, chiêu mộ nhân vật xác suất chờ.
对自身身体了解掌控的能力，影响淬体效率，淬体时出现有效进化的概率。在凡人阶段的岐黄技能会一定程度上影响该值。	Đối tự thân thân thể giải chưởng khống năng lực, ảnh hưởng tôi thể hiệu suất, tôi thể lúc xuất hiện hữu hiệu tiến hóa xác suất. Tại phàm nhân giai đoạn trung y kỹ năng sẽ trình độ nhất định ảnh hưởng nên giá trị.
影响烹饪速度，烹饪成功率等。	Ảnh hưởng nấu nướng tốc độ, nấu nướng xác suất thành công chờ.
影响建筑速度，建筑受伤时的概率等。	Ảnh hưởng kiến trúc tốc độ, kiến trúc thụ thương lúc xác suất chờ.
影响种植作物速度，收获作物产量等。	Ảnh hưởng trồng thu hoạch tốc độ, thu hoạch thu hoạch sản lượng chờ.
影响采掘速度，采掘产量等。	Ảnh hưởng khai thác tốc độ, khai thác sản lượng chờ.
对灵感的把握能力，影响淬体时高级进化方向的出现概率。	Đối linh cảm nắm chắc năng lực, ảnh hưởng tôi thể lúc cao cấp tiến hóa phương hướng xuất hiện xác suất.
对世界万物规律的理解能力，影响吐纳和吞噬获得精华的效率。在凡人阶段的巧匠技能会一定程度上影响该值。	Đối thế giới vạn vật quy luật năng lực phân tích, ảnh hưởng thổ nạp cùng thôn phệ thu hoạch được tinh hoa hiệu suất. Tại phàm nhân giai đoạn thợ khéo kỹ năng sẽ trình độ nhất định ảnh hưởng nên giá trị.
影响进入内门时，御物，术法，护体的初始等级。	Ảnh hưởng tiến vào nội môn lúc, ngự vật, thuật pháp, hộ thể ban đầu đẳng cấp.
影响岐黄，巧匠技巧，在进入内门时转化为炼丹，炼器的比例。	Ảnh hưởng trung y, thợ khéo kỹ xảo, khi tiến vào nội môn lúc chuyển hóa thành luyện đan, luyện khí tỉ lệ.
影响角色驾驭法宝的能力。	Ảnh hưởng nhân vật khống chế pháp bảo năng lực.
影响角色施展咒法的能力。	Ảnh hưởng nhân vật thi triển chú pháp năng lực.
影响角色灵气抵挡伤害的能力。	Ảnh hưởng nhân vật linh khí ngăn cản tổn thương năng lực.
影响角色结阵的能力。	Ảnh hưởng nhân vật kết trận năng lực.
影响角色灵气最大值。	Ảnh hưởng nhân vật linh khí cực đại nhất.
影响炼丹时的速度，炼丹时的产量，炼丹时的成功率。	Ảnh hưởng luyện đan lúc tốc độ, luyện đan lúc sản lượng, luyện đan lúc xác suất thành công.
影响制作物品品质等。	Ảnh hưởng chế tác vật phẩm phẩm chất chờ.
影响炼器时的速度，炼器产品的质量，炼器成功率以及炼器品阶加成。	Ảnh hưởng luyện khí lúc tốc độ, luyện khí sản phẩm chất lượng, luyện khí xác suất thành công cùng luyện khí phẩm giai tăng thêm.
影响制药速度，治疗外门伤的疗效等	Ảnh hưởng chế dược tốc độ, trị liệu ngoại môn tổn thương hiệu quả trị liệu chờ
影响制作物品速度，制作物品品质等。	Ảnh hưởng chế tác vật phẩm tốc độ, chế tác vật phẩm phẩm chất chờ.
春	Xuân
夏	Hạ
秋	Thu
冬	Đông
思	Nghĩ
长孙	Cháu Trai
山	Núi
闻人	Văn Nhân
玉	Ngọc
隋	Tùy
文烟	Văn Yên
[color=#9e6404]相关工作：[/color]\n移除地板\n拆除建筑\n修理建筑\n移动和安装建筑\n建造建筑\n搬运建筑原料	[color=#9e6404] Tương quan công việc: [/color]\n Gỡ ra sàn nhà \n Dỡ bỏ kiến trúc \n Sửa chữa kiến trúc \n Di động cùng lắp đặt kiến trúc \n Kiến tạo kiến trúc \n Vận chuyển kiến trúc nguyên liệu
[color=#9e6404]相关工作：[/color]\n搬人上床\n照顾病人	[color=#9e6404] Tương quan công việc: [/color]\n Chuyển người lên giường \n Chiếu cố bệnh nhân
[color=#9e6404]相关工作：[/color]\n祭祀\n搬人上床\n搬运燃料\n埋葬\n搬运角色\n挑水\n搬运物品\n搬运生产原料\n打扫地面	[color=#9e6404] Tương quan công việc: [/color]\n Tế tự \n Chuyển người lên giường \n Vận chuyển nhiên liệu \n Mai táng \n Vận chuyển nhân vật \n Gánh nước \n Vận chuyển vật phẩm \n Vận chuyển sản xuất nguyên liệu \n Quét dọn mặt đất
[color=#9e6404]相关工作：[/color]\n扫地	[color=#9e6404] Tương quan công việc: [/color]\n Quét rác
[color=#9e6404]相关工作：[/color]\n烹饪\n搬运烹饪原料	[color=#9e6404] Tương quan công việc: [/color]\n Nấu nướng \n Vận chuyển nấu nướng nguyên liệu
[color=#9e6404]相关工作：[/color]\n劈柴\n搬运劈柴原料\n砍伐树木\n割除植物	[color=#9e6404] Tương quan công việc: [/color]\n Chẻ củi \n Vận chuyển chẻ củi nguyên liệu \n Chặt cây cây cối \n Cắt đứt thực vật
[color=#9e6404]相关工作：[/color]\n切石\n搬运切石原料\n手工制造\n搬运手工原料	[color=#9e6404] Tương quan công việc: [/color]\n Cắt đá \n Vận chuyển cắt đá nguyên liệu \n Chế tạo thủ công \n Vận chuyển thủ công nguyên liệu
[color=#9e6404]相关工作：[/color]\n屠宰\n狩猎\n探索	[color=#9e6404] Tương quan công việc: [/color]\n Đồ tể \n Đi săn \n Thăm dò
[color=#9e6404]相关工作：[/color]\n开采矿石	[color=#9e6404] Tương quan công việc: [/color]\n Khai thác khoáng thạch
[color=#9e6404]相关工作：[/color]\n灭火	[color=#9e6404] Tương quan công việc: [/color]\n Dập lửa
[color=#9e6404]相关工作：[/color]\n收获植物\n种植植物	[color=#9e6404] Tương quan công việc: [/color]\n Thu hoạch thực vật \n Trồng thực vật
[color=#9e6404]相关工作：[/color]\n上床休养	[color=#9e6404] Tương quan công việc: [/color]\n Lên giường tĩnh dưỡng
[color=#9e6404]相关工作：[/color]\n制作衣物\n搬运衣物原材料	[color=#9e6404] Tương quan công việc: [/color]\n Chế tác quần áo \n Vận chuyển quần áo nguyên vật liệu
[color=#9e6404]相关工作：[/color]\n锻造物品\n搬运锻造原料	[color=#9e6404] Tương quan công việc: [/color]\n Rèn đúc vật phẩm \n Vận chuyển rèn đúc nguyên liệu
[color=#9e6404]相关工作：[/color]\n治疗普通疾病\n制药	[color=#9e6404] Tương quan công việc: [/color]\n Trị liệu phổ thông tật bệnh \n Chế dược
筑工	Thợ Xây
照顾	Chiếu Cố
苦力	Vận chuyển
膳夫	Đầu Bếp
木客	Tiều Phu
猎户	Thợ Săn
石工	Khoáng Công
救灾	Cứu Tế
农人	Nông Dân
休养	Tĩnh Dưỡng
衣匠	Thợ May
铁匠	Thợ Rèn
郎中	Lang Trung
筑基	Trúc Cơ
木材	Mộc Tài
木料	Mộc Liêu
石头	Thạch Đầu
石块	Thạch Khối
金属	Kim Loại
植物	Thực Vật
植物产物	Sản Vật
食物原料	Nguyên Liêu
肉类	Thịt
皮毛	Da Lông
布	Bố
骨骼	Xương Cốt
角料	Giác Liêu
武器	Vũ Khí
法宝	Pháp Bảo
奇物	Kỳ Vật
披风	Áo Choàng
衣服	Áo
裤子	Quần
食物	Đồ Ăn
药物	Dược Vật
灵丹	Linh Đan
符咒	Phù Chú
符纸	Lá Bùa
工具	Công Cụ
金属锭	Thỏi Kim Loại
秘籍	Bí Tịch
灵石	Linh Thạch
垃圾	Rác Rưởi
其他	Cái Khác
珀	Phách
宝物	Bảo vật
竹子	Cây trúc
灵契	Linh khế
正邪未明	Chính tà không rõ
正道魁首	Chính đạo khôi thủ
正道中流	Chính đạo trung lưu 
名门正派	Danh môn chính phái
亦正亦邪	Vừa chính vừa tà
邪门歪道	Tà môn ma đạo
邪道砥柱	Tà đạo trụ cột
魔门巨擘	Ma Môn cự phách
祖师殿	Tổ sư điện
坐北朝南	Tọa bắc triều nam
炼宝阁	Luyện Bảo Các
坐西朝东	Ngồi tây nhắm hướng đông
卧房	Phòng ngủ
炼丹房	Phòng luyện đan
厨房	Phòng bếp
坐东朝西	Ngồi đông nhắm phía tây
仓库	Nhà kho
坐南朝北	Ngồi nam triều bắc
工坊	Công xưởng
角色对外界的探查与反馈的能力，影响角色的视野，以及需要精细工作的效率等属性。	Nhân vật đối với ngoại giới dò xét cùng phản hồi năng lực, ảnh hưởng nhân vật tầm mắt, cùng cần tinh tế công việc hiệu suất chờ thuộc tính.
角色身体的强度，影响角色的寿命，抗寒抗热，以及与体力相关的效率等属性。	Nhân vật thân thể cường độ, ảnh hưởng nhân vật tuổi thọ, kháng lạnh kháng nóng, cùng cùng thể lực tương quan hiệu suất chờ thuộc tính.
角色获取他人好感的能力，包括外在容貌与内在气质，影响角色的社交能力。	Nhân vật thu hoạch người khác hảo cảm năng lực, bao quát bên ngoài dung mạo cùng nội tại khí chất, ảnh hưởng nhân vật xã giao năng lực.
角色思考的能力，影响角色的学习速度等属性。	Nhân vật năng lực suy tư, ảnh hưởng nhân vật tốc độ học tập chờ thuộc tính.
角色受上天眷顾的程度，影响角色概率相关的属性。	Nhân vật được trời cao ưu ái trình độ, ảnh hưởng nhân vật xác suất tương quan thuộc tính.
角色在修炼上的潜在能力。潜力与角色的年龄与个人经历有关，一旦进入内门就会锁定，无法被改变。	Nhân vật về mặt tu luyện tiềm ẩn năng lực. Tiềm lực cùng nhân vật tuổi tác cùng người kinh lịch có quan hệ, một khi tiến vào nội môn liền sẽ khóa chặt, không cách nào bị cải biến.
灵气	Linh khí
历练值	Điểm rèn luyện
领悟值	Lĩnh ngộ
修为	Tu vi
寿元	Thọ nguyên
任意	Tùy ý
皮肉	Da thịt
器官	Khí quan
(吃饭)	( Ăn cơm )
(练功)	( Luyện công )
(睡觉)	( Đi ngủ )
无	Không
练气期	Luyện Khí kỳ
结丹期	Kết Đan kỳ
金丹期	Kim Đan kỳ
元神期	Nguyên Thần kỳ
在世真仙	Tại thế Chân Tiên
苦行境	Khổ hạnh cảnh
传道境	Truyền đạo cảnh
神国境	Thần quốc cảnh
圆满境	Viên mãn cảnh
在世神灵	Tại thế thần linh
淬体期	Tôi Thể Kỳ
洗髓期	Tẩy tủy kỳ
脱胎期	Thoát Thai kỳ
混元期	Hỗn Nguyên kỳ
不朽金身	Bất hủ Kim Thân
练习御物	Luyện tập ngự vật
练习功法	Luyện tập công pháp
炼制法宝	Luyện chế pháp bảo
练习术法	Luyện tập thuật pháp
进行调心	Tiến hành điều tâm
练习护体	Luyện tập hộ thể
炼制丹药	Luyện chế đan dược
男人	Nam nhân
女人	Nữ nhân
修炼	Tu luyện
过往	Quá khứ
美景	Cảnh đẹp
动物	Động vật
功法	Công pháp
厨艺	Trù nghệ
农事	Nông sự
玄学	Huyền học
邪教	Tà giáo
正派	Chính phái
秘密	Bí mật
天气	Thời tiết
门派	Môn phái
昨天	Hôm qua
爱好	Yêu thích
猫	Mèo
狗	Chó
早饭	Điểm tâm
金	Kim
木	Mộc
水	Thủy
火	Hỏa
土	Thổ
混元	Hỗn Nguyên
心境崩溃	Tâm cảnh sụp đổ
心境不稳	Tâm cảnh bất ổn
心境中正	Tâm cảnh ổn định
心境圆润	Tâm cảnh mượt mà
心境通明	Tâm cảnh tươi sáng
心境无暇	Tâm cảnh hoàn mỹ
弟子	Đệ tử
精英	Tinh anh
长老	Trưởng lão
\n温度不适	\nNhiệt độ khó chịu
\n灵气不适	\nLinh khí khó chịu
\n肥沃不适	\nPhì nhiêu khó chịu
\n季节不适	\nMùa khó chịu
\n五行不适	\nNgũ Hành khó chịu
\n灵气不足	\nLinh khí không đủ
无滤镜	Không lọc
岁月	Năm
铭记	Minh Ký
幽冥	U Minh
水墨	Thủy mặc
人间	Nhân gian
红尘	Hồng trần
缥缈	Mờ mịt
古卷	Sách cổ
日升	Mặt trời mọc
夏意	Hạ ý
妙趣	Diệu thú
[{0}](禁止)	[{0}]( Cấm )
(热爱)	( Yêu thích )
(着迷)	( Mê muội )
[{8}]{6}\n能力评分:{0:N0}/{1:N0}({9:N0}%)\n\t等级:{2}/{11}({5})\n\t经验:{3}{4}\n{7}\n\n{10}	[{8}]{6}\n Điểm Năng lực:{0:N0}/{1:N0}({9:N0}%)\n\t Đẳng cấp:{2}/{11}({5})\n\t Kinh nghiệm:{3}{4}\n{7}\n\n{10}
{0:F0}秒	{0:F0} Giây
{0:F0}天	{0:F0} Ngày
({0:F1}天)	({0:F1} Ngày )
{0}的{1}	{1} của {0}
采集或者历练	Thu thập hoặc là lịch luyện
水上建筑	Trên nước kiến trúc
<font color=#B65704>可选主材料(或):\n</font>	<font color=#B65704> Có thể chọn tài liệu chính ( Hoặc ):\n</font>
[color=#FF0000](无库存)[/color]\n[color=#604343]来源：{0}[/color]	[color=#FF0000]( Không tồn kho )[/color]\n[color=#604343] Nơi phát ra: {0}[/color]
<font color=#B65704>必须材料:\n</font>	<font color=#B65704> Nhất định phải vật liệu:\n</font>
神乎其技	Thần hồ kỳ kỹ
大师	Đại sư
精通	Tinh thông
入门	Nhập môn
外行	Ngoài nghề
她的	Nàng
他的	Hắn
她	Nàng
他	Hắn
天苍{0}年第{1}天	Ngày {1} Năm {0} Thiên Thương Lịch
它的	Nó
它	Nó
大吉	Đại cát
吉	Cát
小吉	Tiểu cát
小凶	Tiểu hung
凶	Hung
大凶	Đại hung
仙家洞天	Tiên Gia Động Thiên
修行宝地	Tu Hành Bảo Địa
灵秀之地	Linh Tú Chi Địa
冲煞之所	Trùng Sát Chi Sở
逆运之局	Nghịch Vận Chi Cục
九幽绝地	Cửu U Tuyệt Địa
山寨	Sơn trại
洞天	Động thiên
精品	Tinh phẩm
优秀	Ưu tú
一般	Phổ thông
糟糕	Hỏng bét
无品质	Không có phẩm cấp chất
华丽	Hoa lệ
精美	Tinh mỹ
普通	Phổ thông
丑陋	Xấu xí
圣物	Thánh vật
神物	Thần vật
灵物	Linh vật
凡物	Phàm vật
土壤肥沃	Đất phì nhiêu
土壤丰饶	Đất màu mỡ
土壤良质	Đất tốt
土壤贫瘠	Đất cằn cỗi
宛如仙境	Tựa Như Tiên Cảnh
景色绝美	Cảnh Quan Tuyệt Mỹ
景观优美	Cảnh Quan Ưu Mỹ
景观不错	Cảnh Quan Đẹp
环境平常	Cảnh Quan Bình Thường
环境脏乱	Cảnh Quan Táng Loạn
环境恶劣	Cảnh Quan Ác Liệt
极热	Cực nóng \n
炎热	Nóng bức \n
温度适宜	Nhiệt độ thích hợp \n
寒冷	Rét lạnh \n
极寒	Cực hàn \n
刺眼	Chướng mắt
晃眼	Chói mắt
光线适宜	Ánh sáng thích hợp
昏暗	Lờ mờ
漆黑	Đen nhánh
卓越	Trác tuyệt
擅长	Am hiểu
中庸	Trung dung
勉强	Miễn cưỡng
不擅	Không sở trường
巨大	To
大	Lớn
中	Trung
小	Nhỏ
拥挤	Chen chúc
恰当	Thỏa đáng
空旷	Trống trải
豪华	Xa hoa
精致	Tinh xảo
简陋	Đơn sơ
美轮美奂	Lộng lẫy
满目凋敝	Tiêu điều\nxác xơ
极度危险	Cực kỳ\nnguy hiểm
致命绝境	Tuyệt cảnh\nchết người
危机四伏	Nguy cơ\nbủa vây
暗藏波澜	Ngầm ẩn\nsóng gió
略有风险	Rủi ro\ntiềm ẩn
任人宰割	Mặc người\nthao túng
不为人知	Chẳng ai\nhay biết
籍籍无名	Vô danh\ntiểu tốt
素门凡流	Kẻ tầm\nthường
略有耳闻	Từng nghe\ndanh tiếng
小有名气	Có chút\ntiếng tăm
初见江湖	Mới vào\ngiang hồ
名声渐传	Danh tiếng\nlan xa
广为人知	Ai ai\ncũng biết
大名鼎鼎	Lừng lẫy\nđại danh
闻名遐迩	Tiếng vang\ngần xa
名扬天下	Danh tiếng\nthiên hạ
声震寰宇	Danh chấn\nvũ trụ
百年流传	Lưu truyền\ntrăm năm
名震千古	Vang danh\nmuôn đời
旷古绝今	Xưa nay\nhiếm thấy
万载留名	Vạn năm\nlưu danh
非常满意	Phi thường hài lòng
还算不错	Coi như không tệ
平淡乏味	Bình thản không thú vị
非常糟糕	Phi thường hỏng bét
灵性澎湃	Linh tính bành trướng
