ID	Secret	Title	Type	BeiZhu	Source	Txt	RelationEvidence	RelationMotivation
19	2	Diệt Môn Chi Mê	1	Chính Nhất	Tử Tiêu Tông Đại Năng · Tân Kỳ	Theo Tử Tiêu tông đại năng tân cờ lời nói, Huyền Nhất đạo rất nhiều đại năng tại [desc_daytime=-20], tới chơi Tử Tiêu tông, cử hành một trận giao lưu diễn pháp, hai phái đại năng ra hết, luận đạo mấy chục ngày, truyền ra rất nhiều giai thoại. Nhưng mà lần này diễn pháp lại cấm chỉ phổ thông đệ tử quan sát, thực sự có chút kỳ quái.	26	11
20	2	Diệt Môn Chi Mê	1	Côn Lôn	Tử Tiêu Tông Đại Năng · Tân Kỳ	Theo Tử Tiêu tông đại năng tân cờ lời nói, [desc_daytime=-20], Côn Luân cung tới chơi Tử Tiêu tông, dùng một nhóm trận đồ cùng Tử Tiêu tông trao đổi một nhóm đan dược. Nhắc tới chút trận đồ trân quý phi thường, trong đó thậm chí bao gồm thượng cổ đại trận tuyệt rồng trận, mà Côn Luân cung cũng sở trường về thuật luyện đan, làm bực này mua bán lỗ vốn quả thực khiến người sờ vuốt không đến đầu não.	27	12
21	2	Diệt Môn Chi Mê	1	Đan Hà	Tử Tiêu Tông Đại Năng · Tân Kỳ	Theo tử Tử Tiêu tông đại năng tân cờ lời nói, [desc_daytime=-20], Đan Hà Sơn lấy xây dựng thêm môn phái làm lý do, hướng Tử Tiêu tông giá thấp bán tháo một nhóm lớn giao long bảo tài đổi lấy đại lượng linh thạch. Nhưng sau đó, hướng môn phái thân lĩnh giao long Thiên Giác luyện bảo, lại chưa lấy được cho phép, không biết trong phái đem những này giao long bảo tài dùng làm nơi nào, để cho người ta cảm thấy kỳ quái.	28|29	13
22	2	Diệt Môn Chi Mê	2	Thất Sát	Thất Sát Ma Cung Đại Năng · Vu Mặc Nhiễm	Theo Thất Sát Ma Cung đại năng tại mực nhiễm lời nói, [desc_daytime=-20], Thất Sát Ma Cung đông đảo cao tầng bỗng nhiên thái độ khác thường tại tàng thư kho tìm đọc thượng cổ bảo vật ghi chép. Phải biết Thất Sát Ma Cung lấy giết thành đạo, có rất ít môn nhân đối loại này thượng cổ nghe đồn cảm thấy hứng thú, huống chi là nhiều trưởng lão như vậy cùng một chỗ hành động, thực sự có chút cổ quái.		
23	2	Diệt Môn Chi Mê	2	Hợp Hoan	Hợp Hoan Phái Đại Năng · Ân Liên	Theo Hợp Hoan phái đại năng ân sen lời nói, nàng một mực tại phía sau núi bế quan tinh nghiên cổ đại bí văn lịch sử, [desc_daytime=-20], trong lúc vô tình từ môn phái điển tịch trong kho tìm tới một bản tàn sách, phía trên vậy mà ghi chép có thượng cổ chí bảo càn khôn giới bây giờ khả năng lưu lạc tại Đông Nam tu hành giới cái nào đó tiểu phái bên trong tin tức. Đang lúc nàng kỳ quái vì sao mình mấy chục năm cũng không từng chú ý tới này sách, liền bị chưởng giáo đột nhiên sai phái ra làm Bách Man Sơn. Khiến người kỳ quái chính là, Bách Man Sơn đám người mở miệng liền hỏi thăm càn khôn giới hạ lạc, cái này khiến cảm thấy một loại nào đó quỷ dị trùng hợp. Ngoài ra ngươi chú ý tới, tại ân sen trưởng lão trên người một viên cổ ngọc bên trên pháp ấn hết sức kỳ quái, nó nhìn qua phong cách dị thường cổ phác, tựa hồ là một loại nào đó phức tạp hơn pháp ấn một bộ phận, cái này khiến ngươi có chút để ý, thế là âm thầm ký ức xuống tới.		
24	2	Diệt Môn Chi Mê	2	Thất Thiên	Thất Thiên Ổ Đệ Tử · Chu Phi	Theo bảy thiên ổ đệ tử Chu không phải lời nói, hắn một mực phụ trách tiếp ứng Trung Nguyên đất liền ám tử tin tức truyền lại.[desc_daytime=-20], tại hướng trong môn phái trưởng lão thông lệ báo cáo lúc, trưởng lão vậy mà chưa có trở về tránh bên cạnh người xa lạ, trực tiếp khiến cho tại chỗ báo cáo. Lúc ấy mình tưởng rằng chưa từng thấy qua trong phái trưởng lão, không nghĩ tới sau đó mới biết được người này lại là Bách Man Sơn xuất thân. Nên trưởng lão cho tới nay làm việc nghiêm cẩn, giống tình huống lần này thực sự để cho người ta cảm thấy kỳ quái.		
25	2	Diệt Môn Chi Mê	2	Tử Tiêu	Tử Tiêu Tông Đệ Tử · Tần Kiệt	Theo Tử Tiêu tông đệ tử Tần Kiệt lời nói, [desc_daytime=-20], hắn chuẩn bị đột phá Kim Đan thỉnh cầu sư phó hộ pháp, nhưng mà sự đáo lâm đầu, sư phó lại cùng trong phái trưởng lão đột nhiên tuyên bố lĩnh hội đại đạo, tập thể bế quan mấy chục ngày. Mà bế quan kết thúc sau, sư phó lại bởi vì ngộ đạo thất bại đau sốc hông thụ thương, mình khổ đợi mấy năm Kết Đan cơ duyên như vậy bỏ lỡ. Hắn thực sự không thể lý giải ngày thường đợi mình như thân tử sư phó, tại sao lại tại thời điểm mấu chốt như thế đối với mình không quan tâm, đi tham gia cái kia không hiểu thấu tập thể bế quan.		
26	2	Diệt Môn Chi Mê	2	Chính Nhất	Huyền Nhất Đạo Đại Năng · Diệp Bạch Tuyết	Theo Huyền Nhất đạo đại năng Diệp Bạch tuyết lời nói, [desc_daytime=-20], chưởng giáo ra lệnh cho bọn họ mười mấy tên trưởng lão đồng loạt đi sứ Tử Tiêu tông, cùng Tử Tiêu tông trưởng lão tiến hành một lần bí mật giao lưu diễn pháp. Như thế đi sứ quy mô, Huyền Nhất đạo mấy chục năm qua ít có, lúc đầu khiến cho chờ mong phi thường. Nhưng mà Tử Tiêu tông cuối cùng lại chỉ phái ra mấy không biết tên tu sĩ cùng bọn hắn luận đạo, đạo pháp cũng không cao thâm, như thế lãnh đạm, thật sự là không làm người tử, khiến nhân khí phẫn không thôi.		
27	2	Diệt Môn Chi Mê	2	Côn Lôn	Côn Lôn Cung Trường Lão · Ly Vĩ Yến	Theo Côn Luân cung cách đuôi Yến trưởng lão lời nói, [desc_daytime=-20], phụng chưởng giáo chi lệnh đi sứ Tử Tiêu tông, lấy vài trương trân quý trận đồ đổi đại lượng trong môn cũng không khuyết thiếu đan dược, mình chấp chưởng Côn Luân cung kho tàng đến nay, chưa từng có làm qua loại này lỗ vốn sinh ý, thực sự để cho người ta canh cánh trong lòng.		
28	2	Diệt Môn Chi Mê	2	Đan Hà	Đan Hà Động Thiên Trường Lão · Tạ Tư	Theo Đan Hà Sơn tạ nghĩ trưởng lão lời nói, [desc_daytime=-20], Đan Hà Sơn chưởng môn lấy xây dựng thêm môn phái làm lý do, hướng Tử Tiêu tông giá thấp bán tháo một nhóm lớn giao long bảo tài đổi lấy đại lượng linh thạch. Nhưng mà hắn vì môn phái khuếch trương chuẩn bị hồi lâu, thậm chí vì thế làm trễ nải một thanh sắp luyện thành Thần khí, nhưng lại thu được thông tri, khuếch trương kế hoạch hủy bỏ. Thật là khiến người tiếc hận.		
29	2	Diệt Môn Chi Mê	2	Côn Lôn	Côn Lôn Cung Đại Năng · Cổ Thông	Theo Côn Luân cung đại năng cổ thông lời nói, tuyệt rồng trận bày trận nhất định phải lấy long thân chi vật là trận nhãn chi khí, mượn nhờ long tức dẫn động thiên địa linh cơ, mới có thể Phong Thiên Tỏa Địa, phát huy toàn bộ uy lực. Ngoài ra ngươi chú ý tới, cổ thông trong tay đang nghiên cứu một cái trận đồ bên trên, có một cái pháp ấn ký hiệu hết sức kỳ quái, nó nhìn qua phong cách dị thường cổ phác, tựa hồ là một loại nào đó phức tạp hơn pháp ấn một bộ phận, cái này khiến ngươi có chút để ý, thế là âm thầm ký ức xuống tới.		
30	10000	Vãng Nhật Bí Tân - Thượng Cổ Truyện Văn	0		《 Thượng Cổ Dị Văn · Tiên Ma Chi Chiến · Quyển Thập Ngũ 》	Theo 《 Thượng cổ dị văn · Tiên Ma chi chiến · Quyển 10 năm 》 Nói tới, thời kỳ Thượng Cổ, Nhân Gian giới tại Đông Hoàng cung dẫn đầu hạ, lấy được hai lần Tiên Ma đại chiến thắng lợi. Nhưng mà hai lần đại chiến, tu hành giới đều là thắng thảm. Tổn thất thật lớn khiến Đông Hoàng cung bên trong có một phái người đối lần thứ ba Tiên Ma đại chiến sinh ra bi quan thái độ, là lấy dốc hết thiên hạ tu hành giới chi lực chế tạo ra chí bảo càn khôn giới, lấy hi vọng tai nạn tiến đến lúc có thể trốn vào mở tiểu thiên thế giới bên trong tránh thoát tai nạn, vì nhân gian lưu lại hỏa chủng.		
31	10000	Vãng Nhật Bí Tân - Thượng Cổ Truyện Văn	1	Đông Hoàng Cung	Hợp Hoan Phái Đại Năng · Ân Liên	Theo Hợp Hoan phái đại năng ân sen lời nói, càn khôn giới chính là xuất từ thượng cổ đại phái Đông Hoàng cung chí bảo. Nhưng dạng này một cái mở không gian chí bảo, độ khó luyện chế chi lớn quả thực không thể tưởng tượng, nếu như không có bất đắc dĩ nhu cầu, bây giờ không có lý do luyện chế loại bảo vật này. Mà như vậy một kiện trọng bảo lại như thế nào lưu lạc đến Thái Nhất Môn trong tay, vì đó mang đến họa diệt môn đâu?	32	30|40
32	10000	Vãng Nhật Bí Tân - Thượng Cổ Truyện Văn	2		《 Thái Nhất Bí Điển 》	Theo 《 Thái Nhất bí điển 》 Ghi chép, thời kỳ Thượng Cổ, nhân gian tu hành giới lãnh tụ chính là Tam Hoàng truyền thừa một trong Đông Hoàng cung, thực lực uy áp thiên hạ, không người không theo. Chỉ là ngàn năm trước một trận biến cố lớn làm Đông Hoàng cung cơ hồ diệt phái, biến cố về sau, Đông Hoàng cung trở thành tu hành giới cấm kỵ, tư liệu lịch sử đều bị tiêu hủy, đến tận đây phảng phất chưa từng tồn tại. Mà hơn trăm năm sau, lưu lại một chi bí ẩn truyền thừa lặng yên xuất thế, vì tranh tai mắt của người, bọn hắn khác lập một phái, tên là: Thái Nhất Môn!		
33	10000	Vãng Nhật Bí Tân - Thượng Cổ Truyện Văn	0		《 Thượng Cổ Dị Văn · Tiên Ma Chi Chiến · Quyển Thất 》	Theo 《 Thượng cổ dị văn · Tiên Ma chi chiến · Quyển bảy 》 Ghi chép, lần thứ hai Tiên Ma đại chiến, thập đại tà giáo cấu kết ma đầu, suýt nữa dẫn đến nhân gian hủy diệt. Đông Hoàng cung chưởng giáo lấy thân tế thiên đạo, tái hiện Đông Hoàng pháp thân, lấy lôi đình thủ đoạn trọng thương thập đại tà giáo, khiến cho cơ hồ toàn bộ hủy diệt, lúc này mới rốt cục tại lần thứ hai Tiên Ma đại chiến bên trong thu hoạch được thắng thảm.		
34	10000	Vãng Nhật Bí Tân - Thượng Cổ Truyện Văn	0		Hợp Hoan Phái Đại Năng · Ân Liên	Theo Hợp Hoan phái đại năng ân sen lời nói, thời kỳ Thượng Cổ, thập đại tà giáo phân biệt là: Trần truồng dạy, Thất Sát Ma Cung, Huyết Thần Giáo, Nhật Nguyệt thần giáo, Âm Dương Tông, năm tình biển, Thiên Ma tông, ngàn Tà Điện, Địa Mẫu thần giáo, Bái Nguyệt giáo.		
35	10000	Vãng Nhật Bí Tân - Thượng Cổ Truyện Văn	0		Hợp Hoan Phái Đại Năng · Ân Liên	Theo Hợp Hoan phái đại năng ân sen lời nói, Hợp Hoan phái chính là thượng cổ truyền thừa, trên đó thời kỳ cổ chính là tiếng tăm lừng lẫy Âm Dương Tông.		
36	10000	Vãng Nhật Bí Tân - Thượng Cổ Truyện Văn	0		Hợp Hoan Phái Đại Năng · Ân Liên	Theo Hợp Hoan phái đại năng ân sen lời nói, thời kỳ Thượng Cổ Địa Mẫu thần giáo chính là phương tây tu hành giới mạnh nhất giáo phái, nó môn hạ danh xưng mười vạn đệ tử. Tiên Ma đại chiến sau bởi vì một trận kịch biến mà cơ hồ diệt phái, trong đó một chi lưu lại chi mạch thay đổi địa vị, một lần nữa lập phái, tên là bảy thiên ổ.		
37	10002	Vãng Nhật Bí Tân - Dĩ Tri Kết Luận	1	Thất Sát Hợp Hoan Thất Thiên		Không hề nghi ngờ, Thất Sát Ma Cung, Hợp Hoan phái, bảy thiên ổ âm thầm tham dự thôi động Thái Nhất Môn diệt môn sự kiện, thậm chí còn đối Thái Nhất Môn có mang một loại nào đó cừu hận. Nhưng Thái Nhất Môn chỉ là gần trăm năm nay mới thành lập một cái tiểu môn phái, này ba phái chính là đương kim ma đạo đại phái, cái này không hiểu cừu hận thực sự không thể nào hiểu được.	32	33|34|35|36|40
38	10000	Vãng Nhật Bí Tân - Thượng Cổ Truyện Văn	0		《 Thượng Cổ Dị Văn · Tiên Ma Chi Chiến · Quyển Ngũ 》	Theo 《 Thượng cổ dị văn · Tiên Ma chi chiến · Quyển 5 》 Ghi chép, lần thứ hai Tiên Ma đại chiến khai chiến sắp đến, Đông Hoàng cung thống lĩnh nhân gian người tu hành thành lập mặt trận thống nhất chống cự Ma Giới, nhưng mà Tử Tiêu tông lại ỷ vào mình chính đạo nền móng, không phục quản thúc. Thời khắc mấu chốt đương phích lịch làm việc, Đông Hoàng chưởng giáo tự mình ra tay giết diệt Tử Tiêu tông kháng mệnh bảy đại trưởng lão, kiềm chế quân tâm, cuối cùng mặt trận thống nhất có thể thành lập, tại lần thứ hai Tiên Ma đại chiến bên trong thu hoạch được thắng thảm. Chiến dịch này bởi vì Tử Tiêu tông biến cố sinh ra kịch liệt bên trong hao tổn, dẫn đến tu hành giới tổn thất nặng nề, Đông Hoàng cung bách Tử Tiêu tông lập xuống lời thề, vì lần thứ ba Tiên Ma đại chiến tiên phong, lấy công chuộc tội.		
39	10002	Vãng Nhật Bí Tân - Dĩ Tri Kết Luận	1	Tử Tiêu Tông 		Không hề nghi ngờ, Tử Tiêu tông trực tiếp tham dự Thái Nhất Môn diệt môn sự kiện, bọn hắn tựa hồ đối với Thái Nhất Môn có một loại âm thầm sợ hãi cùng kiêng kị, cử động lần này càng giống là mượn Bách Man Sơn danh nghĩa thực hành một loại nào đó phòng ngừa rắc rối có thể xuất hiện cử động. Nhưng Thái Nhất Môn chỉ là gần trăm năm nay mới thành lập một cái tiểu môn phái, Tử Tiêu tông chính là truyền thừa từ thượng cổ đại phái, cái này âm thầm sợ hãi cùng kiêng kị thực sự làm cho không người nào có thể lý giải.	32	38|40
40	10000	Vãng Nhật Bí Tân - Thượng Cổ Truyện Văn	0		《 Thượng Cổ Dị Văn · Tiên Ma Chi Chiến · Quyển Nhất 》	Theo 《 Thượng cổ dị văn · Tiên Ma chi chiến · Quyển một 》 Ghi chép, thời kỳ Thượng Cổ, Tam Hoàng sau khi phi thăng, chỉ có Đông Hoàng ở nhân gian lưu lại đạo thống, danh xưng Đông Hoàng cung. Nó thế lực hoành ép đương đại, cử thế vô địch, là chính cống chính đạo khôi thủ. Tại dẫn đầu hạ, hai lần Tiên Ma đại chiến Nhân Gian giới đều đạt được thắng lợi, uy danh quan lại thượng cổ, không ai không biết, không người không hiểu.		
41	10001	Vãng Nhật Bí Tân - Cấm Kỵ Vãng Sự	0		《 Kim Thuyền Tàn Quyển 》	Theo 《 Thuyền vàng tàn quyển 》 Ghi chép, ngàn năm trước đó, Đông Hoàng cung đột nhiên tại tu hành giới nhấc lên một trận đại loạn, muốn hủy diệt thiên hạ người tu hành căn cơ. Gia truyền Đông Hoàng cung chưởng môn tại Tiên Ma đại chiến bên trong lây nhiễm ma tức, âm thầm sửa chữa Đông Hoàng truyền lại Ngũ Hành đại pháp, thu nạp ma tức tu luyện, bởi vậy rơi vào ma đạo, muốn phá vỡ nhân gian. Đông Hoàng cung chưởng giáo càng là danh xưng Ma trung chi Ma, chấm dứt thay mặt tu vi bễ nghễ thiên hạ, không người có thể địch.\n Thiên hạ người tu hành vì cầu sinh tồn, bất luận chính tà liên hợp lại, huyết chiến mười mấy năm, rốt cục hủy diệt Đông Hoàng cung.		
42	10002	Vãng Nhật Bí Tân - Dĩ Tri Kết Luận	1	8 Đại phái		Không hề nghi ngờ, Bách Man Sơn cũng không phải là duy nhất người tham dự, Tử Tiêu tông cũng âm thầm phái người tự mình tham dự bày ra tuyệt rồng trận. Mà càng khiến người ta chấn kinh chính là, hai môn phái này phía sau, lại còn có Hợp Hoan phái, Thất Sát Ma Cung, bảy thiên ổ, đan hà động thiên, Côn Luân cung, Tử Tiêu tông chính tà lục đại phái thân ảnh trong bóng tối trợ giúp! Mà bọn hắn đối Thái Nhất Môn thái độ vậy mà đều có vi diệu, bất luận như thế nào, cái này hiển nhiên sẽ không là cái gì đơn giản yêu hận tình cừu có khả năng giải thích, phía sau thế tất có càng sâu tầng bí mật mới đối.	32	40|41
43	10000	Ngoại Truyện: Thượng Cổ Tín Tức	0		Hợp Hoan Phái Đại Năng · Ân Liên	Theo Hợp Hoan phái đại năng ân sen lời nói, Thượng Cổ thời đại tin tức bây giờ ít có người có thể giải đọc. Nguyên lai lúc ấy ma tộc nhiều lần xâm lấn nhân gian, là lấy nhân gian người tu hành thống nhất dùng mật chú phong tỏa tin tức, giải chú chi pháp nhất định phải lấy nhân loại chi huyết làm dẫn mới có thể. Làm như vậy chính là vì đề phòng chui vào nhân gian ma tộc hiểu rõ nhân gian tin tức.		
