ID	Name	Desc
55	Ta chính là ngươi	Tính gộp lại đoạt xá 1 Người
56	Ta cũng là hắn	Tính gộp lại đoạt xá 5 Người
57	Chúng sinh đều ta	Tính gộp lại đoạt xá 10 Người
58	Áo lót vương	Tính gộp lại đoạt xá 20 Người
59	Một cái chớp mắt trăm năm	Tính gộp lại nhập định 100 Năm
60	Định bên trong tuế nguyệt	Tính gộp lại nhập định 500 Năm
61	Không Tri Xuân thu	Tính gộp lại nhập định 1000 Năm
62	Di thế người	Tính gộp lại nhập định 5000 Năm
63	Để mạng lại	Tính gộp lại hút người khác tuổi thọ 10 Năm
64	Ta còn muốn	Tính gộp lại hút người khác tuổi thọ 50 Năm
65	Trong số mệnh có khi	Tính gộp lại hút người khác tuổi thọ 500 Năm
66	Minh Linh	Tính gộp lại hút người khác tuổi thọ 1000 Năm
67	Đau đến không muốn sống	Tính gộp lại luyện hồn 1 Lần
68	Kêu rên khắp nơi	Tính gộp lại luyện hồn 10 Lần
69	Đau khổ chi nguyên	Tính gộp lại luyện hồn 50 Lần
70	Ma Nhân	Tính gộp lại luyện hồn 100 Lần
71	Nhiếp thần ngự quỷ	Tính gộp lại nhiếp thần ngự quỷ 1 Lần
72	Tươi sống chi hồn	Tính gộp lại nhiếp thần ngự quỷ 10 Lần
73	Hồn vì ta dùng	Tính gộp lại nhiếp thần ngự quỷ 50 Lần
74	Hồn Đế	Tính gộp lại nhiếp thần ngự quỷ 100 Lần
75	Thiên yêu hóa huyết	Tính gộp lại thiên yêu hóa huyết 1 Lần
76	Sinh tử khăng khít	Tính gộp lại thiên yêu hóa huyết 10 Lần
77	Đạo âm dương	Tính gộp lại thiên yêu hóa huyết 50 Lần
78	Tử chi vương	Tính gộp lại thiên yêu hóa huyết 100 Lần
79	Câu thông Tà Thần	Tính gộp lại hiến tế 1 Lần
80	Tà chi tín đồ	Tính gộp lại hiến tế 10 Lần
81	Tà chi sứ giả	Tính gộp lại hiến tế 50 Lần
82	Tà tuyển người	Tính gộp lại hiến tế 100 Lần
83	Vì ta chi chủng	Tính gộp lại hồn thể ký sinh 1 Người
84	Sinh sôi không ngừng	Tính gộp lại hồn thể ký sinh 10 Người
85	Lượt loại thiên hạ	Tính gộp lại hồn thể ký sinh 50 Người
86	Trộm đạo giả	Tính gộp lại hồn thể ký sinh 100 Người
87	Minh hữu	Tính gộp lại thu hoạch được trấn phái pháp bảo 1 Kiện
88	Thiết lập quan hệ ngoại giao thiên hạ	Tính gộp lại thu hoạch được trấn phái pháp bảo 10 Kiện
89	Lữ nhân	Tại lịch luyện bên trong tự mình phát hiện 5 Cái vùng đất mới điểm ( Thông qua thư tịch thu hoạch được địa điểm không tính ở bên trong )
90	Nhà thám hiểm	Tại lịch luyện bên trong tự mình phát hiện 25 Cái vùng đất mới điểm ( Thông qua thư tịch thu hoạch được địa điểm không tính ở bên trong )
91	Thiên hạ hành tẩu	Tại lịch luyện bên trong tự mình phát hiện 50 Cái vùng đất mới điểm ( Thông qua thư tịch thu hoạch được địa điểm không tính ở bên trong )
1002	Thần đan cửu chuyển	Luyện được cửu chuyển Kim Đan
1003	Đan ngưng năm cực	Luyện được năm cực linh đan
1004	Mệnh ta do ta	Kết thành Kim Đan
1005	Đan thành nhất phẩm	Kết thành nhất phẩm Kim Đan
1006	Thái Hòa môn hạ	Tu luyện 《 Thái hòa mười sáu động thiên 》
1007	Chân truyền: Thái hòa	Lấy 150% Trở lên xứng đôi độ tu luyện 《 Thái hòa mười sáu động thiên 》
1008	Nhất phẩm: Thái hòa	Lấy 《 Thái hòa mười sáu động thiên 》 Công pháp kết thành nhất phẩm Kim Đan
1009	Đắc đạo: Thái hòa	Lấy 《 Thái hòa mười sáu động thiên 》 Công pháp phi thăng
1010	Đa Bảo môn hạ	Tu luyện 《 Mình dần chín xông Đa Bảo chân giải 》
1011	Chân truyền: Đa Bảo	Lấy 150% Trở lên xứng đôi độ tu luyện 《 Mình dần chín xông Đa Bảo chân giải 》
1012	Nhất phẩm: Đa Bảo	Lấy 《 Mình dần chín xông Đa Bảo chân giải 》 Công pháp kết thành nhất phẩm Kim Đan
1013	Đắc đạo: Đa Bảo	Lấy 《 Mình dần chín xông Đa Bảo chân giải 》 Công pháp phi thăng
1014	Thất Sát môn hạ	Tu luyện 《 Thất Sát Kiếm quyết 》
1015	Chân truyền: Thất Sát	Lấy 150% Trở lên xứng đôi độ tu luyện 《 Thất Sát Kiếm quyết 》
1016	Nhất phẩm: Thất Sát	Lấy 《 Thất Sát Kiếm quyết 》 Công pháp kết thành nhất phẩm Kim Đan
1017	Đắc đạo: Thất Sát	Lấy 《 Thất Sát Kiếm quyết 》 Công pháp phi thăng
1018	Ngọc Thanh môn hạ	Tu luyện 《 Ngọc Thanh tiên pháp 》
1019	Chân truyền: Ngọc Thanh	Lấy 150% Trở lên xứng đôi độ tu luyện 《 Ngọc Thanh tiên pháp 》
1020	Nhất phẩm: Ngọc Thanh	Lấy 《 Ngọc Thanh tiên pháp 》 Công pháp kết thành nhất phẩm Kim Đan
1021	Đắc đạo: Ngọc Thanh	Lấy 《 Ngọc Thanh tiên pháp 》 Công pháp phi thăng
1022	Thâu thiên môn hạ	Tu luyện 《 Thâu thiên quyết 》
1023	Chân truyền: Thâu thiên	Lấy 150% Trở lên xứng đôi độ tu luyện 《 Thâu thiên quyết 》
1024	Nhất phẩm: Thâu thiên	Lấy 《 Thâu thiên quyết 》 Công pháp kết thành nhất phẩm Kim Đan
1025	Đắc đạo: Thâu thiên	Lấy 《 Thâu thiên quyết 》 Công pháp phi thăng
1026	Cửu chuyển môn hạ	Tu luyện 《 Cửu chuyển Kim Đan trực chỉ 》
1027	Chân truyền: Cửu chuyển	Lấy 150% Trở lên xứng đôi độ tu luyện 《 Cửu chuyển Kim Đan trực chỉ 》
1028	Nhất phẩm: Cửu chuyển	Lấy 《 Cửu chuyển Kim Đan trực chỉ 》 Công pháp kết thành nhất phẩm Kim Đan
1029	Đắc đạo: Cửu chuyển	Lấy 《 Cửu chuyển Kim Đan trực chỉ 》 Công pháp phi thăng
1030	Bắc Đẩu môn hạ	Tu luyện 《 Bắc Đẩu động tâm kiếp pháp 》
1031	Chân truyền: Bắc Đẩu	Lấy 150% Trở lên xứng đôi độ tu luyện 《 Bắc Đẩu động tâm kiếp pháp 》
1032	Nhất phẩm: Bắc Đẩu	Lấy 《 Bắc Đẩu động tâm kiếp pháp 》 Công pháp kết thành nhất phẩm Kim Đan
1033	Đắc đạo: Bắc Đẩu	Lấy 《 Bắc Đẩu động tâm kiếp pháp 》 Công pháp phi thăng
1034	Luân hồi môn hạ	Tu luyện 《 Trường sinh Lục Đạo Luân Hồi trải qua 》
1035	Chân truyền: Luân hồi	Lấy 150% Trở lên xứng đôi độ tu luyện 《 Trường sinh Lục Đạo Luân Hồi trải qua 》
1036	Nhất phẩm: Luân hồi	Lấy 《 Trường sinh Lục Đạo Luân Hồi trải qua 》 Công pháp kết thành nhất phẩm Kim Đan
1037	Đắc đạo: Luân hồi	Lấy 《 Trường sinh Lục Đạo Luân Hồi trải qua 》 Công pháp phi thăng
1038	Tam dương môn hạ	Tu luyện 《 Tam dương tam muội Bính Đinh luyện lửa quyết 》
1039	Chân truyền: Tam dương	Lấy 150% Trở lên xứng đôi độ tu luyện 《 Tam dương tam muội Bính Đinh luyện lửa quyết 》
1040	Nhất phẩm: Tam dương	Lấy 《 Tam dương tam muội Bính Đinh luyện lửa quyết 》 Công pháp kết thành nhất phẩm Kim Đan
1041	Đắc đạo: Tam dương	Lấy 《 Tam dương tam muội Bính Đinh luyện lửa quyết 》 Công pháp phi thăng
1042	Quỳ Hoa môn hạ	Tu luyện 《 Quỳ Hoa luyện thần đại pháp 》
1043	Chân truyền: Quỳ Hoa	Lấy 150% Trở lên xứng đôi độ tu luyện 《 Quỳ Hoa luyện thần đại pháp 》
1044	Nhất phẩm: Quỳ Hoa	Lấy 《 Quỳ Hoa luyện thần đại pháp 》 Công pháp kết thành nhất phẩm Kim Đan
1045	Đắc đạo: Quỳ Hoa	Lấy 《 Quỳ Hoa luyện thần đại pháp 》 Công pháp phi thăng
1046	Vong tình môn hạ	Tu luyện 《 Thái thượng vong tình đạo 》
1047	Chân truyền: Vong tình	Lấy 150% Trở lên xứng đôi độ tu luyện 《 Thái thượng vong tình đạo 》
1048	Nhất phẩm: Vong tình	Lấy 《 Thái thượng vong tình đạo 》 Công pháp kết thành nhất phẩm Kim Đan
1049	Đắc đạo: Vong tình	Lấy 《 Thái thượng vong tình đạo 》 Công pháp phi thăng
1050	Làm môn phàm lưu	Môn phái danh vọng đạt tới 400: Làm môn phàm lưu
1051	Mới gặp giang hồ	Môn phái danh vọng đạt tới 1000: Mới gặp giang hồ
1052	Nghe tiếng xa gần	Môn phái danh vọng đạt tới 5000: Nghe tiếng xa gần
1053	Danh chấn hoàn vũ	Môn phái danh vọng đạt tới 10000: Danh chấn hoàn vũ
1054	Vạn năm lưu danh	Môn phái danh vọng đạt tới 40000: Vạn năm lưu danh
1055	Danh môn chính phái	Môn phái trở thành: Danh môn chính phái
1056	Trong chính đạo lưu	Môn phái trở thành: Trong chính đạo lưu
1057	Chính đạo khôi thủ	Môn phái trở thành: Chính đạo khôi thủ
1058	Tà môn ma đạo	Môn phái trở thành: Tà môn ma đạo
1059	Tà đạo Để Trụ	Môn phái trở thành: Tà đạo Để Trụ
1060	Ma Môn cự phách	Môn phái trở thành: Ma Môn cự phách
1061	Dần dần có nhân khí	Môn phái có được 5 Người
1062	Đơn giản quy mô	Môn phái có được 10 Người
1063	Môn sinh thịnh vượng	Môn phái có được 18 Người
1064	Đạp lên tiên đồ	Môn phái có được 1 Vị nội môn đệ tử
1065	Thu môn đồ khắp nơi	Môn phái có được 4 Vị nội môn đệ tử
1066	Nhân tài đông đúc	Môn phái có được 8 Vị nội môn đệ tử
1067	Thiên tai: Hàn lưu	Vượt qua hàn lưu
1068	Thiên tai: Sóng nhiệt	Vượt qua sóng nhiệt
1069	Thiên tai: Vĩnh Dạ	Vượt qua Vĩnh Dạ
1070	Vạn Kiếm Quy Tông	Ngự vật kỹ năng đạt tới 20 Cấp
1071	Pháp có Nguyên Thần	Thuật pháp kỹ năng đạt tới 20 Cấp
1072	Kim Cương Bất Hoại	Hộ thể kỹ năng đạt tới 20 Cấp
1073	Y Tiên	Luyện đan kỹ năng đạt tới 20 Cấp
1074	Khí tông	Luyện khí kỹ năng đạt tới 20 Cấp
1075	Thu đi đông lại	Trong trò chơi vượt qua thứ 1 Năm
1076	Thời gian cực nhanh	Trong trò chơi vượt qua thứ 5 Năm
1077	Vội vàng năm đó	Trong trò chơi vượt qua thứ 10 Năm
1078	Thể hồ quán đỉnh	Lần thứ nhất thi triển thần thông: Thể hồ quán đỉnh
1079	Tái tạo hình thần	Lần thứ nhất thi triển thần thông: Tái tạo hình thần
1080	Thiên nhãn mở rộng	Lần thứ nhất thi triển thần thông: Mở thiên nhãn
1081	Phạt mao tẩy tủy	Lần thứ nhất thi triển thần thông: Phạt mao tẩy tủy
1082	Nhục thân tái tạo	Lần thứ nhất thi triển thần thông: Tái tạo thuật
1083	Hô phong hoán vũ	Lần thứ nhất thi triển thần thông: Cầu mưa thuật
1084	Khu mây tạnh sương mù	Lần thứ nhất thi triển thần thông: Khu mây thuật
1085	Não đại động mở	Đỉnh đầu hư hao
1086	Nổ đầu!	Đầu hư hao
1087	Cương thi cảnh cáo	Đại não hư hao
1088	Bạo lá gan!	Gan hư hao
1089	Vô dục vô cầu	Tịnh thân
1090	My heart will go on	Trái tim hư hao
1091	Đất lành để tu hành	Môn phái phong thuỷ biến thành đất lành để tu hành
1092	Tiên gia động thiên	Môn phái phong thuỷ biến thành Tiên gia động thiên
1093	Cát trạch	Làm một gian phòng phong thuỷ biến thành cát
1094	Phong thuỷ bảo địa	Làm một gian phòng phong thuỷ biến thành đại cát
1095	Một kiếp Thiên Tiên	Trong phái có một vị tiên nhân ngưng lại thế gian, vượt qua một lần Thiên Tiên Kiếp
1096	Tam kiếp Thiên Tiên	Trong phái có một vị tiên nhân ngưng lại thế gian, vượt qua ba lần Thiên Tiên Kiếp
1097	Ngũ kiếp Thiên Tiên	Trong phái có một vị tiên nhân ngưng lại thế gian, vượt qua năm lần Thiên Tiên Kiếp
1098	Cửu kiếp Thiên Tiên	Trong phái có một vị tiên nhân ngưng lại thế gian, vượt qua chín lần Thiên Tiên Kiếp
1099	Lịch kiếp Linh Bảo	Thu hoạch được một kiện kinh lịch 1 Lần Thiên Tiên Kiếp tẩy luyện pháp bảo
1100	Trải qua cướp luyện	Thu hoạch được một kiện kinh lịch 5 Lần Thiên Tiên Kiếp tẩy luyện pháp bảo
1101	Trấn phái Thần khí	Thu hoạch được một kiện kinh lịch 10 Lần Thiên Tiên Kiếp tẩy luyện pháp bảo
1102	Truyền thế chi khí	Thu hoạch được một kiện kinh lịch 20 Lần Thiên Tiên Kiếp tẩy luyện pháp bảo
2000	Tinh điêu tế trác	Luyện được 100 Phẩm chất pháp bảo
2001	Thần Khí tông tượng	Luyện được 12 Giai pháp bảo
2002	Thần bút	Vẽ ra phẩm chất 95 Trở lên phù chú
2003	Tài đại khí thô	Dung luyện 12 Giai pháp bảo
2004	Hướng lên trời hỏi	Độ kiếp thành công
2005	Thiên uy hạo đãng	Độ kiếp thất bại tử vong
2006	Đạo cơ hủy hết	Độ kiếp thất bại may mắn còn sống sót
2007	Tiến bộ dũng mãnh	Lần thứ nhất đột phá bình cảnh thành công
2008	Thành lập môn phái	Thành lập một môn phái
2009	Căn cơ lớn mạnh	Môn phái khuếch trương vì phái
2010	Đại phái quật khởi	Môn phái khuếch trương vì động thiên
2011	Một ngày vi sư	Lần thứ nhất bái sư
2012	Thanh xuất vu lam	Lần thứ nhất truyền thụ
2013	Yêu	Lần thứ nhất yêu đương
2014	Bước đầu tiên	Lần thứ nhất thổ lộ
2015	Nhịp tim hồi ức	Lần thứ nhất thổ lộ thành công
2016	Ngươi là người tốt	Lần thứ nhất thổ lộ thất bại
2017	Tâm ma bắt đầu động	Lần thứ nhất nhập ma
2018	Bái bai ngài siết	Lần thứ nhất khu trục đệ tử
2019	Đơn rút ra kỳ tích	Lần thứ nhất đào ra cũ kỹ hộp đá
2020	Cảnh thự có quy định	Lần thứ nhất đớp cứt
2021	Thật là thơm	Lần thứ nhất ăn đất
2022	Ta không làm người rồi	Đoạt xá một con động vật
2023	Đừng tu tiên!	Hộ khách bưng mở ra vượt qua 4 Giờ, mà nên lúc trước ở giữa tại 0 Điểm -5 Điểm ở giữa.
2024	Rồng vẫn	Đánh giết giao long
2025	Phượng ngủ	Đánh giết hung phượng
2026	Đạo âm dương	Đánh giết Chúc Long
2027	Vội vã không nhịn nổi	Tại 60 Giây bên trong làm giao long tiến vào Chân Long hình thái
2028	Trên đầu có sừng thú	Phá hư sừng rồng sau đánh giết giao long
2029	Sau lưng có cái đuôi	Phá hư đuôi rồng sau đánh giết giao long
2030	Vô năng cuồng nộ	Phá hư vảy ngược sau đánh giết giao long
2031	Có khí khó ra	Giao long chưa từng phát động long nộ liền bị đánh giết
2032	Ta cần nước	Giao long chưa từng phát động trạch quốc liền bị đánh giết
2033	Thiên hỏa thiên hỏa	Lấy 5 Người gánh vác hạ Phượng Hoàng cắt kim loại, đồng thời không người thụ thương
2034	Lại nhìn ta ta liền đem ngươi	Tiếp nhận đốt chi con ngươi 20 Giây lại không thụ thương
2035	Hoan nghênh đi vào Trùng Khánh	Hung phượng hoàn chỉnh phóng thích mặt trời chi tinh sau đánh giết hung phượng
2036	Đừng đánh mặt	Phá hư hung phượng đầu vũ sau đánh giết hung phượng
2037	Thà làm đầu gà	Phá hư hung đuôi phượng vũ sau đánh giết hung phượng
2038	Siêu cấp tụ Linh khí	Duy trì trứng Phượng Hoàng tại không nở cũng không chết vong trạng thái 36 Trời trở lên
2039	Một mẻ hốt gọn	Đánh bại Chúc Long lúc, có 9 Cái trở lên trứng bị trấn áp
2040	Thiên đạo có hại	Phá hư Chúc Long Thiên Lân sau đánh bại Chúc Long
2041	Hỗn độn chi lực	Phá hư Chúc Long long ngọc sau đánh bại Chúc Long
2042	Âm dương dùng cái gì	Cùng một cái nhân vật có tâm linh lồng chụp cùng Nghiệp Hỏa quấn thân sau đánh bại Chúc Long
2043	Hoàn toàn trấn áp	Không có một cái trứng nở tình huống dưới đánh bại Chúc Long
2044	Long tức, mau tránh!	Không người bị long tức trúng đích tình huống dưới đánh bại Chúc Long
2045	Thiên địa linh căn	Lần thứ nhất trồng linh căn
2046	Linh căn thu hoạch	Thu hoạch một lần Ngũ Hành linh căn
2047	Linh sát chi cực	Ngũ Hành linh căn linh sát giá trị đạt thành một lần cực hạn
2048	Bản nguyên chân pháp	Lần thứ nhất lĩnh ngộ bản nguyên chân pháp
2049	Nghịch nguyên chân pháp	Lần thứ nhất lĩnh ngộ nghịch nguyên chân pháp
2050	Ngài nghỉ ngơi	Đánh giết một lần cổ đại đại năng
2051	Cùng ta hỗn	Lần thứ nhất thuần dưỡng động vật
2052	Vĩnh bất vi nô!	Động vật lần thứ nhất biến thành yêu thú
10000	Trùng cốc bí văn	Hoàn thành đặc thù lịch luyện: Trùng cốc bí văn
10001	Độc Long bí bảo	Hoàn thành đặc thù lịch luyện: Độc Long bí bảo
10002	Y Tiên nội phủ	Hoàn thành đặc thù lịch luyện: Y Tiên nội phủ
10003	Lửa huyệt tầm bảo	Hoàn thành đặc thù lịch luyện: Lửa huyệt tầm bảo
10004	Thiên trì bảo tàng	Hoàn thành đặc thù lịch luyện: Thiên trì bảo tàng
10005	Thiên ma phong ấn	Hoàn thành đặc thù lịch luyện: Thiên ma phong ấn
10006	Càn khôn bên ngoài	Hiểu rõ thế giới cuối cùng chân tướng
3000	Giáo dục làm đầu	Lần thứ nhất kiến tạo Tàng Kinh Các
3001	Tri thức ở chỗ chia sẻ	Lần thứ nhất tại trong Tàng Kinh Các ghi vào
3002	Học tập cho giỏi	Lần thứ nhất thông qua Tàng Kinh Các học tập
3003	Sách doanh bốn vách tường	Tàng Kinh Các tàng thư đạo hạnh đạt tới 500 Điểm
3004	Toàn sách là sách	Tàng Kinh Các tàng thư đạo hạnh đạt tới 2000 Điểm
3005	Phong phú	Tàng Kinh Các tàng thư đạo hạnh đạt tới 5000 Điểm
3006	Lang hoàn chi giấu	Tàng Kinh Các tàng thư đạo hạnh đạt tới 10000 Điểm
3007	Trân bảo lại thấy ánh mặt trời	Lần thứ nhất luyện chế bí bảo
3008	Nhỏ máu nhận chủ	Lần thứ nhất kích hoạt bí bảo
3009	Thi vòng đầu bí bảo	Tích lũy kích hoạt 1 Cái khác biệt bí bảo
3010	Bí bảo quen tay	Tích lũy kích hoạt 5 Cái khác biệt bí bảo
3011	Bí bảo cao thủ	Tích lũy kích hoạt 10 Cái khác biệt bí bảo
3012	Thần tượng	Tích lũy kích hoạt 20 Cái khác biệt bí bảo
3013	Ngươi tỉnh rồi?	Chủ động điểm hóa một cái tinh quái
3014	An tĩnh!	Lấy ngưng phách quyết xoá bỏ một cái tinh quái
3015	Lắng nghe huyền diệu	Thụ nhân vật cảm hoá mà tự nhiên sinh ra tinh quái
3016	Từ cảm giác thành linh	Chứng kiến môi trường tự nhiên hạ sinh ra tinh quái
3017	Ngươi là ai?	Lần thứ nhất gặp được hoang dại tinh quái
3018	Tu hành giới: Biến người	Làm một cái tinh quái tố thể
3019	Dinh dưỡng cân đối	Làm một cái Ngũ Hành cân đối tinh quái tố thể
3020	Tùy theo tài năng tới đâu mà dạy	Làm một cái Ngũ Hành thuần túy ( Nào đó một hạng 100%) Tinh quái tố thể, cũng vì lựa chọn xứng đôi tiên đạo công pháp, khiến cho tiến vào nội môn
3021	Nhiều người cơm bao no	Gian nan thoát đi toàn bộ kích hoạt tình huống dưới không người tử vong vượt qua hai năm
3022	Gió mặc gió, mưa mặc mưa	Ác liệt hoàn cảnh toàn bộ kích hoạt tình huống dưới không người tử vong vượt qua một năm
3023	Lớn uy thiên long	Ban đầu có 4 Cái yêu thú tình huống dưới năm thứ nhất bên trong đánh giết trên bản đồ tất cả yêu thú
3024	Tinh vi kiến trúc	Gian nan kiến thiết toàn bộ kích hoạt tình huống dưới trong một năm kiến tạo Tiểu Càn Khôn Giới
3025	Tự hành tìm tòi	Thất truyền toàn bộ kích hoạt tình huống dưới năm thứ nhất nội môn phái quy mô đạt tới động thiên
3026	Tính toán tỉ mỉ	Vật tư thiếu toàn bộ kích hoạt tình huống dưới năm thứ nhất bên trong kiến tạo Tiểu Càn Khôn Giới
3027	Tuyển chọn tỉ mỉ	Đạo suy chi thế toàn bộ kích hoạt tình huống dưới đem một thuộc tính cơ sở đồng đều vượt qua 5 Nhân vật thu nhập môn phái
3028	Cò kè mặc cả	Làm ăn khó khăn toàn bộ kích hoạt tình huống dưới năm thứ nhất bên trong thông qua hành thương mua một kiện 10 Giai trở lên vật phẩm
3029	Thuận thế mà làm	Thiên đạo hỗn loạn toàn bộ kích hoạt dưới điều kiện năm thứ nhất để một nhân vật đạt tới Nguyên Thần kỳ hoặc đối ứng cảnh giới
3030	Ngươi nhìn gâu gâu nhiều tài giỏi	Suy nhược linh sủng toàn bộ kích hoạt dưới điều kiện năm thứ nhất bên trong để linh sủng đơn độc đánh giết một cái Kim Đan kỳ hoặc trở lên yêu thú
3031	Cá nhân liên quan	Băng lãnh nhân gian toàn bộ kích hoạt dưới điều kiện cùng tất cả môn phái chưởng môn độ thiện cảm đạt tới 100
3032	Hàng yêu trừ ma	Tại bầy yêu 80 Ngày qua tập tình huống dưới đem đánh giết
3033	Tu chân sát thủ sát thủ	Tại tu chân sát thủ 150 Ngày qua tập tình huống dưới đem đánh giết
3034	Tránh mà không gặp	Tại thần bí hang động 30 Trời sau khi xuất hiện 200 Trời bên trong không cho giao long xuất hiện, sau đó đem đánh giết
3035	Nông phu cùng rồng cố sự	Tại thượng cổ nghiêm uy toàn bộ kích hoạt tình huống dưới thần bí hang động sau khi xuất hiện 200 Trời bên trong không cho rồng xuất hiện, sau đó đem đánh giết
3036	Cao cấp tương đương uy nghiêm	Thế gian việc vặt toàn bộ kích hoạt dưới điều kiện trong vòng ba năm đem tất cả địa khu cùng thành thị chủ điện lên tới 3 Cấp
3037	Tiên nhân không tin nước mắt	Tiên gia vô tình toàn bộ kích hoạt dưới điều kiện năm thứ nhất bên trong từ một môn phái mua một kiện 12 Giai vật phẩm
3038	Trảm diệt quần tiên	Tại tối cao môn phái thực lực tình huống dưới để tất cả môn phái thần phục
3039	Trảm diệt chân âm	Đánh giết tối cao thực lực hạ giao long
3040	Trảm diệt chân dương	Đánh giết tối cao thực lực hạ hung phượng
3041	Trảm diệt thiên đạo	Đánh giết tối cao thực lực hạ Chúc Long
3042	Chung yên chi chiến	Tại ngày càng gian nan kích hoạt tình huống dưới, đánh bại thứ 1000 Ngày trước đến địch nhân
3043	Phi thăng · Mới vào Chân Tiên	Tại một kiếp hoặc trở lên Chân Tiên độ khó hạ để một tử đệ phi thăng
3046	Phi thăng · Thành thạo Chân Tiên	Tại Tứ kiếp hoặc trở lên Chân Tiên độ khó hạ để một tử đệ phi thăng
3049	Phi thăng · Tuyệt đỉnh Chân Tiên	Tại Thất Kiếp hoặc trở lên Chân Tiên độ khó hạ để một tử đệ phi thăng
3052	Chinh phạt · Mới vào Chân Tiên	Tại một kiếp hoặc trở lên Chân Tiên độ khó hạ chinh phạt tất cả môn phái
3055	Chinh phạt · Thành thạo Chân Tiên	Tại Tứ kiếp hoặc trở lên Chân Tiên độ khó hạ chinh phạt tất cả môn phái
