ID	Desc
74	[size=14]Gian phòng bên trong chí ít có 3 Cái kiến trúc đối trấn vật Ngũ Hành tương sinh[/size]
75	[size=14]Gian phòng bên trong không có kiến trúc đối trấn vật Ngũ Hành tương khắc[/size]
76	[size=14]Gian phòng bên trong có tối đa nhất 1 Cái kiến trúc đối trấn vật Ngũ Hành tương khắc[/size]
77	[size=14]Gian phòng bên trong có tối đa nhất 2 Cái kiến trúc đối trấn vật Ngũ Hành tương khắc[/size]
78	[size=14]Gian phòng bên trong có tối đa nhất 3 Cái kiến trúc đối trấn vật Ngũ Hành tương khắc[/size]
79	[size=14]Gian phòng bên trong chí ít có 1 Cái kiến trúc cùng trấn vật Ngũ Hành giống nhau[/size]
80	[size=14]Gian phòng bên trong chí ít có 2 Cái kiến trúc cùng trấn vật Ngũ Hành giống nhau[/size]
81	[size=14]Gian phòng bên trong chí ít có 3 Cái kiến trúc cùng trấn vật Ngũ Hành giống nhau[/size]
82	[size=14]Trấn vật linh khí giá trị không thua kém 1000[/size]
83	[size=14]Trấn vật linh khí giá trị không thua kém 5000[/size]
84	[size=14]Trấn vật linh khí giá trị không thua kém 10000[/size]
85	[size=14]Trấn vật linh khí giá trị không thua kém 30000[/size]
86	[size=14]Trấn vật linh khí giá trị không cao hơn 1000[/size]
87	[size=14]Trấn vật linh khí giá trị không cao hơn 5000[/size]
88	[size=14]Trấn vật linh khí giá trị không cao hơn 10000[/size]
89	[size=14]Trấn vật linh khí giá trị không cao hơn 30000[/size]
90	[size=14]Trấn vật sở tại địa khối linh khí nồng đậm[/size]
91	[size=14]Gian phòng bên trong tất cả kiến trúc phong thuỷ đều vì hung thần ( Nhỏ hung / Hung / Đại hung )[/size]
92	[size=14]Gian phòng bên trong tất cả kiến trúc phong thuỷ đều vì cát tường ( Tiểu cát / Cát / Đại cát )[/size]
93	[size=14]Gian phòng bên trong không có đại cát kiến trúc
94	[size=14]Gian phòng bên trong đại cát kiến trúc có lại chỉ có một cái[/size]
95	[size=14]Gian phòng bên trong đại cát kiến trúc có tối đa nhất 1 Cái[/size]
96	[size=14]Gian phòng bên trong đại cát kiến trúc có tối đa nhất 2 Cái[/size]
97	[size=14]Gian phòng bên trong đại hung kiến trúc chí ít có 1 Cái[/size]
98	[size=14]Gian phòng bên trong đại hung kiến trúc chí ít có 2 Cái[/size]
99	[size=14]Gian phòng bên trong chỉ có 1 Cái phong thuỷ trấn vật[/size]
100	[size=14]Gian phòng bên trong chỉ có 1 Cái phong thuỷ trấn vật[/size]
101	[size=14]Gian phòng bên trong chỉ có 1 Cái phong thuỷ trấn vật[/size]
102	[size=14]Gian phòng bên trong chỉ có 1 Cái phong thuỷ trấn vật[/size]
103	[size=14]Gian phòng bên trong chỉ có 1 Cái phong thuỷ trấn vật[/size]
10001	[size=14]Trấn vật linh khí giá trị không thua kém 100000[/size]
10002	[size=14]Gian phòng bên trong đại hung kiến trúc chí ít có 5 Cái[/size]
10003	[size=14]Gian phòng bên trong có lại chỉ có 1 Cái phong thuỷ trấn vật[/size]
10004	[size=14]Gian phòng bên trong có lại chỉ có 8 Cái chiếu sáng công trình[/size]
10005	[size=14]Gian phòng bên trong chí ít có 3 Cái bếp nấu[/size]
10006	[size=14]Gian phòng bên trong có lại chỉ có 7 Cái chiếu sáng công trình[/size]
10007	[size=14]Gian phòng bên trong có lại chỉ có 5 Cái phần mộ [/size]
10008	[size=14]Gian phòng bên trong có lại chỉ có 2 Cái lư hương[/size]
10009	[size=14]Gian phòng bên trong có lại chỉ có 2 Mặt cờ xí[/size]
10010	[size=14]Gian phòng bên trong có lại chỉ có 1 Cái giường[/size]
10011	[size=14]Gian phòng bên trong không thể có bồ đoàn pháp tòa[/size]
20000	[size=14]Gian phòng bên trong chỉ có một cái thông linh trấn vật[/size]
