ID	Flag	Desc	Txt	Pic	Link	Voice
10	1	Lần thứ nhất kiểu xây dựng bảo đài	Ngươi đã kiến tạo luyện bảo đài, hiện tại có thể thông qua nội môn đệ tử nhân vật bảng bên trên luyện bảo nút bấm đến luyện chế pháp bảo. Bất luận cái gì vật phẩm đều có thể dùng để luyện chế pháp bảo, khác biệt vật phẩm có khác biệt đặc chất, luyện chế ra pháp bảo thuộc tính khuynh hướng cũng khác biệt.	ui\Help2\010	68	m10
11	1	Lần thứ nhất kiến tạo đan lô	Ngươi đã kiến tạo đan lô, hiện tại có thể thông qua nội môn đệ tử nhân vật bảng bên trên luyện đan nút bấm đến luyện chế đan dược. Theo trò chơi lịch trình thúc đẩy, người chơi có thể thu hoạch được đan phương mới, nhân vật chỉ cần nghiên cứu đan phương, liền có thể giải tỏa mới đan dược phối phương.	ui\Help2\011	68	m11
12	1	Lần thứ nhất mở ra vẽ bùa giao diện	Phù chú có cường đại công hiệu, người chơi có thể đem vẽ xong phù chú trang bị đến nhân vật trên thân để điều chỉnh nhân vật thuộc tính. Theo trò chơi lịch trình thúc đẩy, người chơi có thể thu hoạch được mới phù đồ, nhân vật chỉ cần nghiên cứu phù đồ, liền có thể giải tỏa mới phù chú họa pháp.	ui\Help2\012	68	m12
13	1	Lần thứ nhất mở ra tâm tình cùng xã giao bảng	Ngươi mở ra nhân vật cảm xúc bảng. Ở đây bảng, ngươi có thể xem xét trước mắt nhân vật đủ loại cảm xúc, bọn chúng bình thường phản ứng nhân vật nhu cầu. Vì để cho môn phái tốt đẹp vận chuyển, mời chú ý nhân vật cảm xúc cũng thỏa mãn nhu cầu của bọn hắn.	ui\Help2\013	23	m13
14	1	Lần thứ nhất mở ra khỏe mạnh bảng	Ngươi mở ra nhân vật khỏe mạnh bảng. Ở đây bảng, ngươi có thể xem xét nhân vật khỏe mạnh trạng thái, thụ thương tình huống, khôi phục tình huống chờ tin tức. Vì để cho môn phái tốt đẹp vận chuyển, mời theo lúc chú ý nhân vật khỏe mạnh trạng thái, cũng để thụ thương nhân vật mau chóng hồi phục khỏe mạnh.	ui\Help2\014	25	m14
15	1	Lần thứ nhất mở ra tu luyện bảng	Ngươi mở ra nhân vật tu luyện bảng. Ở đây bảng, ngươi có thể xem xét nhân vật tu luyện tương quan số liệu cùng trạng thái. Theo cảnh giới tăng lên, tu luyện bảng nội dung cũng sẽ phát sinh biến hóa. Thu hoạch được phương pháp tu luyện sau mới có thể mở ra mì này tấm.	ui\Help2\016	62	m15
16	1	Lần thứ nhất vạch trồng khu	Ngươi quy hoạch một mảnh đồng ruộng, có thể chọn trúng đồng ruộng đến chỉ định nên khu vực trồng thu hoạch. Khác biệt thực vật sinh trưởng cần khác biệt thổ nhưỡng độ phì, nhiệt độ, chiếu sáng chờ điều kiện. Chú ý thực vật nhu cầu, cũng nếm thử để đồng ruộng điều kiện càng thích hợp thực vật sinh trưởng.	ui\Help2\019	36	m16
17	1	Lần thứ nhất vạch chứa đựng khu	Ngươi quy hoạch một mảnh nhà kho, nhân vật sẽ đem vật phẩm vận chuyển đến nhà kho tiến hành cất giữ. Người chơi có thể phối trí nhà kho [color=#D06508] Sàng chọn quy tắc [/color], lấy thực hiện vật phẩm phân loại chứa đựng.	ui\Help2\021	36	m17
18	1	Lần thứ nhất kiến tạo sản xuất kiến trúc ( Chế dược bàn chờ )	Ngươi kiến tạo một cái sản xuất kiến trúc. Mở ra nên kiến trúc sản xuất liệt biểu, có thể tuyên bố sản xuất mệnh lệnh. Người chơi có thể đối nhau sinh trong đội ngũ vật phẩm tiến hành [color=#D06508] Đưa đỉnh [/color], [color=#D06508] Tuần hoàn chế tác [/color] Chờ thao tác.	ui\Help2\022	34	m18
19	1	Lần thứ nhất xây thành gian phòng	Ngươi xây xong một cái phòng. Trong phòng, như là nhiệt độ, mỹ quan độ chờ thông thường thuộc tính sẽ lấy bình quân phép tính tiến hành tính toán. Trừ cái đó ra, gian phòng còn đối bố cục, xa hoa trình độ các phương diện đưa ra yêu cầu. Người chơi có thể thông qua điểm kích gian phòng sàn nhà đến chọn trúng gian phòng tiến hành xem xét.	ui\Help2\023	43	m19
20	1	Lần thứ nhất nhân vật tâm tình thấp hơn 40	Ngươi có một nhân vật cảm xúc quá thấp. Người chơi có thể thông qua màn hình đỉnh nhân vật nhãn hiệu nhanh gọn xem xét tâm tình. Nếu như nhân vật tâm tình hơi thấp, thì cần tại nên nhân vật tâm tình bảng bên trong xem xét nó cụ thể cảm xúc, cũng tính nhắm vào vì hắn giải quyết vấn đề.	ui\Help2\024	23	m20
21	1	Lần thứ nhất nhân vật biếng nhác	Ngươi có một ngoại môn đệ tử biếng nhác. Đương ngoại môn đệ tử tâm tình thấp hơn 30 Liền sẽ phát sinh biếng nhác, biếng nhác trong lúc đó nhân vật sẽ không tiến đi công việc. Nếu như lần nữa trong lúc đó nhân vật tâm tình khôi phục lại 45 Trở lên, nên nhân vật liền sẽ sớm rời đi biếng nhác trạng thái.	ui\Help2\025	23	m21
22	1	Lần thứ nhất có nhân vật cảm thấy nhiệt độ khó chịu	Ngươi có một nhân vật cảm thấy nhiệt độ khó chịu. Người chơi có thể thông qua cải thiện trang bị ( Như xuyên phù hợp quần áo, mang tính nhắm vào phù chú ) Hoặc cải biến hoàn cảnh ( Như nhóm lửa đống lửa, sử dụng rét lạnh vật liệu đến chế tác đồ dùng trong nhà ) Đến giải quyết nhân vật nhiệt độ khó chịu vấn đề.	ui\Help2\026	23	m22
23	1	Lần thứ nhất nhắc nhở đồ ăn số lượng dự trữ không đủ	Ngươi đồ ăn dự trữ không đủ, mời tại đồ ăn sử dụng hết trước đó tìm kiếm mới đồ ăn. Nếu như đồ ăn dùng hết, nhân vật sẽ bởi vì đói mà tử vong.	ui\Help2\027		m23
24	1	Lần thứ nhất nhắc nhở dược vật số lượng dự trữ không đủ	Dược vật của ngươi dự trữ không đủ, mời tại dược vật sử dụng hết trước đó tìm kiếm mới dược vật. Nếu như dược vật dùng hết, nhân vật thụ thương lúc lại bởi vì không có dược vật mà không cách nào được chữa trị.	ui\Help2\028		m24
25	1	Lần thứ nhất ăn đất	Ngươi có một nhân vật bởi vì quá độ đói mà ăn đất. Chú ý, liên tục nhiều lần ăn đất sẽ bởi vì bụng trướng mà tử vong, nhưng trước trồng dễ thành quen thu hoạch cây nấm, hoặc đi săn, hoặc nam bình phong thôn lịch luyện đến thu thập đồ ăn.	ui\Help2\029		m25
26	1	Lần thứ nhất nhắc nhở tinh nguyên dự trữ không đủ	Ngươi tinh nguyên vật phẩm dự trữ không đủ, mời kịp thời thu hoạch mới tinh nguyên vật phẩm. Nội môn đệ tử tất cả tu luyện đều cần tinh nguyên, nếu như nhân vật tinh nguyên tiêu hao hoàn tất thì không cách nào tiến hành bất luận cái gì tu luyện.	ui\Help2\030	63	m26
27	1	Lần đầu tiên tới địch nhân	Có một đám địch nhân xuất hiện tại phụ cận, bọn hắn sắp đối ngươi phát động công kích. Địch nhân cường độ cùng môn phái danh vọng có quan hệ, môn phái danh vọng càng cao, đến ngấp nghé địch nhân của ngươi liền sẽ càng mạnh.	ui\Help2\031	21	m27
28	1	Lần thứ nhất thụ ngoại môn tổn thương	Ngươi có một nhân vật thụ thương, người chơi có thể tại khỏe mạnh bảng xem xét thương thế tin tức. Thương thế hồi phục tốc độ cùng [color=#D06508] Người bị thương sức khôi phục [/color], [color=#D06508] Trị liệu người y thuật cao thấp [/color], [color=#D06508] Trị liệu dùng thuốc [/color] Đều có quan hệ. Nếu như trị liệu sau thương thế không có chuyển biến tốt đẹp, mời nếm thử cải thiện những điều kiện này.	ui\Help2\032	25	m28
29	1	Lần thứ nhất thụ nội môn tổn thương	Ngươi có một nhân vật bị dị chủng chân khí gây thương tích, người chơi có thể tại khỏe mạnh bảng xem xét thương thế tin tức. Dị chủng chân khí tạo thành thương thế không cách nào dựa vào dược vật khôi phục, nhất định phải thông qua lò luyện đan luyện chế [color=#D06508] Đối ứng đan dược [/color], cũng cho người bị thương dùng tay phục dụng mới có thể hóa giải thương thế. Dị chủng chân khí tạo thành thương thế tốc độ khôi phục cùng [color=#D06508] Người bị thương sức khôi phục [/color], [color=#D06508] Đan dược dược hiệu [/color] Có quan hệ. Nếu như phục dụng đan dược sau thương thế có hay không chuyển biến tốt đẹp, mời nếm thử cải thiện những này yếu tố.	ui\Help2\033	25	m29
30	1	Lần thứ nhất gặp được bình cảnh	Ngươi có một người tu hành tu luyện gặp bình cảnh. Người tu hành tại tu luyện quá trình bên trong sẽ gặp phải đủ loại bình cảnh, chỉ có đột phá bình cảnh, mới có thể tiếp tục tu hành. Khác biệt bình cảnh đột phá phương pháp không giống nhau, căn cứ bình cảnh đặc điểm, ưu hóa đột phá điều kiện, có thể để người tu hành thuận lợi hơn đột phá.	ui\Help2\034	65	m30
31	1	Lần thứ nhất tâm cảnh thấp hơn 50	Ngươi có một người tu hành tâm cảnh xuất hiện vấn đề. Tâm cảnh là người tu hành trọng yếu thuộc tính, bất luận tu luyện, đột phá, luyện đan, luyện bảo đều cùng tâm cảnh cùng một nhịp thở. Người chơi có thể thông qua nhân vật bảng bên trong [color=#D06508] Tu luyện hình thức lựa chọn [/color] Đến điều tiết đệ tử tâm cảnh.	ui\Help2\035	64	m31
32	1	Lần thứ nhất nhập ma	Ngươi có một người tu hành nhập ma. Người tu hành mặc dù sẽ không biếng nhác, nhưng là nếu như [color=#D06508] Thời gian dài cảm xúc sa sút [/color], liền có khả năng nhập ma. Nhập ma hậu giác sắc đem hoàn toàn mất đi khống chế, chỉ có thể chờ đợi nhập ma khôi phục. Mời bảo đảm cảm xúc không nên quá thấp, để phòng người tu hành nhập ma.	ui\Help2\036	64	m32
33	1	Lần thứ nhất Kết Đan thành công	Ngươi có một người tu hành thành công kết thành Kim Đan! Tu sĩ Kim Đan có thể thu đồ, có được khổng lồ linh khí, nắm giữ các loại thần thông, có thể nói là tu luyện mấu chốt nhất cánh cửa. Cần thiết phải chú ý chính là, Kim Đan về sau tu luyện sẽ trở nên mười phần khó khăn, người chơi cần [color=#D06508] Lợi dụng tự thân thần thông [/color]( Tỷ như nhập định chi thuật ), hoặc là [color=#D06508] Thông qua lịch luyện [/color] Thu hoạch được kỳ ngộ đến nhanh chóng thu hoạch tu vi.	ui\Help2\037		m33
34	1	Lần thứ nhất dung luyện	Đương có được nội môn đệ tử về sau, ngươi có thể dung luyện không cần vật phẩm, đem nó biến thành linh thạch. Mỗi 5000 Điểm linh khí có thể dung luyện thành một viên linh thạch. Nếu như dung luyện đối tượng là pháp bảo, pháp bảo phẩm giai càng cao, dung luyện thu hoạch được linh thạch thì càng nhiều.	ui\Help2\038	68	m34
35	1	Lần thứ nhất học được thần thông	Ngươi có một người tu hành tập được một môn thần thông. Thần thông có thể thông qua nhân vật bảng phía bên phải thần thông cột lựa chọn phóng thích, hợp lý lợi dụng thần thông có thể rất phương diện giải quyết các loại khó giải quyết vấn đề. Theo cảnh giới tu hành đề cao, nhân vật có thể học được càng nhiều thần thông. Có lúc, lịch luyện bên trong cũng có thể thu hoạch được ghi chép có thần thông bí tịch.	ui\Help2\039	69	m35
36	1	Lần thứ nhất phát động bí văn	Ngươi thu được một đầu bí văn. Người chơi có thể tiến về bí văn sở tại địa đi phát động bí văn, cũng nếm thử thu hoạch được bí văn ban thưởng. Bí văn sẽ có chất lượng tốt ban thưởng, nhưng cũng tương đối nhìn cơ duyên, nếu như gặp phải không cách nào hoàn thành bí văn cũng không cần quá xoắn xuýt.	ui\Help2\040	610	m36
37	1	Lần thứ nhất học được thuật pháp	Ngươi có một người tu hành tập được một môn thuật pháp. Thuật pháp chỉ có chiến đấu bên trong mới có thể sử dụng, có thể thông qua nhân vật bảng phía bên phải thuật pháp cột lựa chọn phóng thích. Thuật pháp mười phần cường lực, nhưng là cũng sẽ tiêu hao tự thân linh khí, bởi vậy thuật pháp phóng thích cần cẩn thận.	ui\Help2\041		m37
38	1	Lần thứ nhất có khách tới thăm	Có một khách tới thăm tạm thời lưu tại môn phái của ngươi, ngươi có thể nếm thử thuyết phục hắn gia nhập môn phái của ngươi. Đang thuyết phục khách tới thăm lúc, [color=#D06508] Thuyết phục giả mị lực cùng xử thế kỹ năng [/color] Càng cao, [color=#D06508] Khách tới thăm cảm xúc [/color] Càng tốt, càng dễ dàng thuyết phục hắn lưu lại.	ui\Help2\042		m38
39	0	Lần thứ nhất mở ra lĩnh hội giao diện	Ngươi mở ra nhân vật lĩnh hội bảng. Ở đây bảng, ngươi có thể quy hoạch cũng tăng lên nhân vật năng lực. Tăng lên nhân vật năng lực cần tiêu hao kinh nghiệm, nhân vật năng lực càng mạnh, đạo hạnh càng cao, học tập năng lực mới tiêu hao kinh nghiệm cũng càng nhiều. Điểm kinh nghiệm chủ yếu đến từ thường ngày tu luyện tích lũy, lịch luyện bên trong cũng có khả năng thu hoạch được kinh nghiệm.	ui\Help2\043		m39
40	0	Lần thứ nhất ấn mở trận pháp giao diện	Ngươi mở ra trận pháp giao diện. Ở đây giao diện, ngươi có thể thông qua bố trí trận pháp, đem người tu hành năng lực tập hợp, hình thành một cái hữu cơ chỉnh thể. Tạo thành trận pháp nhân vật đã có thể cộng đồng chia sẻ tổn thương, cũng có thể hợp lý phát động tiến công.	ui\Help\041	75	m40
41	1	Lần thứ nhất mở ra tặng lễ bảng	Ngươi mở ra tặng lễ bảng. Nhưng từ phía bên phải lựa chọn sử dụng vật tư, điểm tặng lễ. Thông qua tặng lễ có thể hoàn thành bái sơn, nhiệm vụ, hoặc là đưa chưởng môn vật trong lòng.		80	m41
42	1	Lần thứ nhất mở ra giao dịch bảng	Ngươi mở ra giao dịch bảng. Bên trái vì môn phái đối phương vật tư, phía bên phải vì bên ta môn phái vật tư. Lựa chọn song phương vật tư sau, điểm kích giao dịch liền có thể. Khác biệt giá tiền của vật phẩm khác biệt, cần người chơi tự hành tìm tòi.		80	m42
43	1	Lần thứ nhất mở ra đại diện bảng	Ngươi mở ra khuếch trương bảng. Ở đây bảng, ngươi có thể xem xét nơi đây các loại tin tức, cũng lựa chọn chính sách, hoặc là kiến thiết. Đồng thời có thể điều động đệ tử đến đây. Thông qua các loại chính sách, có thể mở rộng thư của chúng ta chúng.		85	m43
44	1	Lần thứ nhất mở ra thế lực bảng	Ngươi mở ra thế lực bảng. Ở đây bảng, ngươi có thể xử lý từng cái địa điểm sự kiện, hoặc là nhận lấy trong kho vật tư. Điểm kích địa điểm đồ tiêu có thể triển khai nơi đó điểm mở rộng bảng.		85	m44
45	1	Lần thứ nhất mở ra mời chào bảng	Ngươi mở ra mời chào bảng. Ở đây bảng, có thể đem mời chào đến nhân vật đưa đến môn phái hoặc là cái khác đại diện điểm.		85	m45
46	0	Lần thứ nhất thu hoạch được thần tu công pháp	Ngươi thu được một bộ thần tu công pháp, thần đạo tu hành cùng truyền thống Kim Đan phương pháp tu hành khác biệt, loại này tu hành phương thức thông qua thu thập tín ngưỡng, mở thần quốc, cung phụng hộ pháp đến tăng cường mình. Tin tức cặn kẽ mời đang trợ giúp bên trong tìm đọc.		91	m46
47	0	Lần thứ nhất luyện chế tín ngưỡng thánh vật	Ngươi luyện chế ra tín ngưỡng của mình thánh vật, tín ngưỡng thánh vật là thần đạo người tu hành bản mệnh pháp bảo, theo thần quốc kiến thiết, sẽ dần dần trưởng thành, thẳng đến trở thành siêu việt cực hạn thần binh lợi nhận.		97	m47
48	0	Lần thứ nhất mở thần quốc	Ngươi mở ra mình thần quốc, thần quốc kiến thiết là thần đạo tu hành hạch tâm nội dung, thông qua kiến thiết thần quốc có thể thu hoạch được hộ pháp phù hộ, học được thần thông, gia tăng tín đồ chờ.		98	m48
49	0	Lần thứ nhất mở ra dị văn giao diện bí ẩn giao diện	Ngươi mở ra bí ẩn giao diện, đang đuổi tìm Thái Nhất Môn diệt môn quá trình bên trong, người chơi sẽ gặp phải các loại nan giải câu đố, những này câu đố sẽ tại bí ẩn giao diện bên trong hiện ra. Ngươi cần thu thập đầy đủ tin tức đến phá giải những này bí ẩn, thu hoạch chân tướng sự tình.		101	m49
50	0	Lần thứ nhất mở ra dị văn giao diện nhân vật giao diện	Ngươi mở ra nhân vật giao diện, nơi đây thống nhất ghi chép người chơi trong giang hồ kết bạn các loại nhân vật cùng tin tức của bọn hắn. Thích đáng lợi dụng những tin tức này có thể để ngươi trong giang hồ như cá gặp nước.		102	m50
51	0	Lần thứ nhất mở ra dị văn giao diện manh mối giao diện	Ngươi mở ra manh mối giao diện, nơi đây ghi chép người chơi tại trò chơi quá trình bên trong thu hoạch được bao quát người tham dự, động cơ, chứng cứ ở bên trong toàn bộ manh mối, những đầu mối này cũng không phải là từng cái từng cái đều có tác dụng. Cần tiến hành nhất định phân biệt cùng phán đoán.		103	m51
52	0	Lần thứ nhất cùng người giao lưu	Ngươi bây giờ bắt đầu cùng một vai tiến hành giao lưu, tại hồng trần chúng sinh phiên bản, mỗi một cái nhân vật đều là sinh động mà cụ thể. Ngươi có thể căn cứ từ mình cần, thu hoạch mục tiêu tin tức, nghe ngóng cần tin tức, thu hoạch được muốn bảo vật.		104	m52
53	0	Lần thứ nhất nhân vật phi thăng, tử vong, trục xuất môn phái.	Đương người chơi nhân vật phi thăng, đá ra môn phái, hoặc sau khi chết. Tên này nhân vật đến tiếp sau lịch trình sẽ xuất hiện tại lời nói bên ngoài biệt truyện bên trong. Lưu trữ về sau, có thể tại trang chủ mặt lời nói bên ngoài biệt truyện bên trong xem xét những nhân vật này về sau nhân sinh.		P11	m53
54	0	Lần thứ nhất kiến tạo Tàng Kinh Các giá sách.	Ngươi kiến tạo một cái Tàng Kinh Các giá sách, nhân vật có thể thông qua Tàng Kinh Các giá sách ghi vào cũng quản lý bí tịch. Mỗi cái Tàng Kinh Các giá sách đều sẽ cung cấp nhất định dung lượng, một bản bí tịch cần thiết đạo hạnh càng cao, chiếm dụng dung lượng thì càng nhiều.		P12	m54
55	0	Lần thứ nhất sử dụng bản thiết kế công năng.	Ngươi ngay tại sử dụng bản thiết kế công năng, người chơi có thể tại bất cứ lúc nào khung tuyển lớn nhất 20x20 Phạm vi bên trong kiến trúc, đem bảo tồn vì bản thiết kế. Bảo tồn bản thiết kế toàn lưu trữ thông dụng, đồng thời có thể thông qua vạn giới Thiên Cung chia sẻ.		P13	m55
56	0	Đại lượng hành vi	Ngươi ngay tại chấp hành một cái mệnh lệnh, mệnh lệnh này có thể tiến hành đại lượng thao tác. Rất nhiều mệnh lệnh ( Tỷ như: Cất đặt, vận chuyển chờ ) Đều có thể đại lượng chấp hành. Song kích, khung tuyển hoặc là đè lại SHIFT Lựa chọn nhiều cái đơn vị sau liền có thể tiến hành đại lượng thao tác.	ui\Help2\072		m56
57	0	Lần thứ nhất chọn trúng linh sủng	Ngươi chọn trúng linh sủng. Linh sủng có đủ loại hành vi, trong đó có chút đối với môn phái kiến thiết có trợ giúp rất lớn, có chút có thể tăng lên tự thân năng lực chiến đấu. Ngươi có thể huấn luyện những hành vi này, khiến cho phát sinh điều kiện phát sinh biến hóa, hướng ngươi hi vọng phương hướng phát triển.		111	m57
58	0	Lần thứ nhất mở ra huấn luyện bảng	Ngươi mở ra huấn luyện bảng. Ở đây bảng, ngươi có thể đối gần nhất phát sinh năm đầu hành vi tiến hành cổ vũ hoặc là phản đối, làm sủng vật chấp hành hành vi này điều kiện phát sinh biến hóa.		111	m58
59	0	Lần thứ nhất mở ra linh sủng thuộc tính cơ sở bảng	Ngươi mở ra linh sủng thuộc tính cơ sở bảng. Ở đây bảng, ngươi có thể nhìn thấy linh sủng các hạng thuộc tính cơ sở, chiến đấu thuộc tính, trưởng thành độ, cùng giải tỏa hoặc chưa giải tỏa thần thông cùng thuật pháp. Ngươi có thể giải sủng vật trước mắt trạng thái, để hướng muốn phương hướng bồi dưỡng.		111	m59
60	0	Lần thứ nhất mở ra thực đơn bảng	Ngươi mở ra linh sủng thực đơn bảng. Ở đây bảng, ngươi có thể trông thấy tất cả linh sủng nếm qua đồ ăn dinh dưỡng. Không cùng loại loại dinh dưỡng có thể đề cao linh sủng đặc biệt rèn luyện hiệu quả, có chút đồ ăn cũng sẽ gia tăng hoặc giảm bớt linh sủng cường tráng / Mập mạp trình độ.		111	m60
61	0	Lần thứ nhất chọn trúng khai trí kỳ động vật	Ngươi chọn trúng khai trí kỳ động vật. Động vật bảng bên trên xem xét động vật cơ bản trạng thái cùng thoải mái dễ chịu độ. Thoải mái dễ chịu hơn cao, suy nghĩ mảnh vỡ sinh ra tốc độ càng nhanh. Đồng thời, cũng có thể để động vật đi quan sát các loại kiến trúc, vật phẩm, thực vật, đến thu hoạch đặc biệt suy nghĩ mảnh vỡ, đây đối với thu thập suy nghĩ có trợ giúp rất lớn.		111	m61
62	0	Lần thứ nhất mở ra linh trí cùng suy nghĩ bảng	Ngươi mở ra linh trí cùng suy nghĩ bảng. Ở đây bảng, ngươi có thể xem xét trước mắt có linh trí mảnh vỡ, cùng suy nghĩ số lượng, cùng tinh nguyên lượng. Linh trí mảnh vỡ là động vật nửa biến hóa đặc thù tài nguyên, có thể đề cao bộ phận thuộc tính, phi thường trân quý. Muốn nửa biến hóa, thì cần đủ lượng tinh nguyên cùng linh trí mảnh vỡ. Nửa biến hóa về sau tất nhiên sẽ kinh lịch Hóa Hình Thiên Kiếp, tiến đến thời gian cùng linh trí mảnh vỡ số lượng có quan hệ, càng nhiều thì thiên kiếp càng nhanh, cần cẩn thận lựa chọn.		111	m62
63	0	Lần thứ nhất mở ra suy nghĩ cùng suy nghĩ bảng	Ngươi mở ra suy nghĩ cùng suy nghĩ bảng. Ở đây bảng, ngươi có thể xem xét trước mắt có suy nghĩ đoạn ngắn, ký ức cùng suy nghĩ. Cần ba cái giống nhau suy nghĩ đoạn ngắn mới có thể đi vào đi suy nghĩ, cũng đạt được một cái suy nghĩ. Suy nghĩ về sau, suy nghĩ đoạn ngắn sẽ toàn bộ lãng quên, mà trong trí nhớ suy nghĩ đoạn ngắn sẽ giữ lại một số lần. Đạt được suy nghĩ cũng chỉ sẽ tại một số lần sau khi tự hỏi quá thời hạn, đồng thời cùng một loại suy nghĩ thuộc tính không cách nào có hiệu lực nhiều lần. Cho nên mời cẩn thận châm chước.		111	m63
64	0	Lần thứ nhất mở ra hành vi bảng	Ngươi mở ra linh sủng hành vi bảng. Ở đây bảng, ngươi có thể xem xét đã phát sinh qua hành vi quyền trọng, cùng gần nhất ba ngày linh sủng phát sinh hành vi.		111	m64
65	0	Lần thứ nhất học tập thể tu công pháp	Ngươi lựa chọn thể tu chi đạo, thể tu chi đạo là một bộ hoàn toàn mới tu hành hệ thống, lấy tinh hoa rèn luyện thân thể, cuối cùng nhục thân thành thánh phi thăng thành tiên. Tin tức cặn kẽ mời đang trợ giúp bên trong tìm đọc.		131	m65
66	0	Lần thứ nhất chọn trúng thông linh vật thể	Ngươi chọn trúng một cái thông linh vật thể, vật thể thông linh sau phẩm giai sẽ tăng lên, còn có thể thông qua nuốt vật phẩm khác đến cải biến mình Ngũ Hành phối trộn, vì biến hóa tố thể làm chuẩn bị. Tin tức cặn kẽ mời đang trợ giúp bên trong tìm đọc.		141	m66
67	0	Lần thứ nhất mở ra tôi thể bảng	Ngươi mở ra tôi thể bảng, ngươi có thể tại tôi thể bảng bên trong tuyển chọn khác biệt rèn luyện pháp, tiêu hao khác biệt tinh hoa rèn luyện thân thể của mình từng cái bộ kiện lai sứ thể tu thu hoạch được trưởng thành.		131	m67
