ItemName	Type
Item_BenYuan_Tu	Bản Nguyên
Item_BossFeng_HuoYu	Thần Thú Tài Liệu
Item_BossFeng_GangYu	Thần Thú Tài Liệu
Item_BossFeng_TouYu	Thần Thú Tài Liệu
Item_BossFeng_WeiYu	Thần Thú Tài Liệu
Item_BossFeng_Gu	Thần Thú Tài Liệu
Item_BossFeng_HongYu	Thần Thú Tài Liệu
Item_BossFeng_Meat	Thần Thú Tài Liệu
Item_DragonScale	Thần Thú Tài Liệu
Item_BossLong_Jiao	Thần Thú Tài Liệu
Item_BossLong_Zhua	Thần Thú Tài Liệu
Item_BossLong_Lin	Thần Thú Tài Liệu
Item_BossLong_NiLin	Thần Thú Tài Liệu
Item_BossLong_Jing	Thần Thú Tài Liệu
Item_BossLong_Meat	Thần Thú Tài Liệu
Item_BossZhuLong_BaiLin	Thần Thú Tài Liệu
Item_BossZhuLong_HeiLin	Thần Thú Tài Liệu
Item_BossZhuLong_Eye	Thần Thú Tài Liệu
Item_BossZhuLong_TianLin	Thần Thú Tài Liệu
Item_BossZhuLong_LongYu	Thần Thú Tài Liệu
Item_BossZhuLong_Meat	Thần Thú Tài Liệu
Item_BossFeng_FengYin	Thần Thú Tài Liệu
Item_BossZhuLong_FengYin	Thần Thú Tài Liệu
Item_GodPractice_MiJuan	Hộp Mù
Item_LunHui_Box2	Hộp Mù
Item_ZuShiZhiCi	Hộp Mù
Item_LunHui_Box1	Hộp Mù
Item_E_FaBaoBox	Hộp Mù
Item_E_DanBox	Hộp Mù
Item_E_MiJiBox	Hộp Mù
Item_E_FuBox	Hộp Mù
Item_StoneBox	Hộp Mù
Item_StoneBox1	Hộp Mù
Item_StoneBox2	Hộp Mù
Item_Firecracker	Niên Hỏa
Item_FirecrackerShit	Niên Hỏa
Item_Jiaozi	Niên Hỏa
Item_Yingbi1	Niên Hỏa
Item_Yingbi2	Niên Hỏa
Item_Yingbi3	Niên Hỏa
Item_SpringBox	Niên Hỏa
Item_StoneCutter	Công Cụ
Item_SewingDefender	Công Cụ
Item_MillVell	Công Cụ
Item_AuctionPaper	Giấy Mời
