ID	Name	Desc	sParam1	sParam2
10005	Dẫn tiến đệ tử	Bị dẫn tiến đệ tử sắp đến.		
10006	Thoát đi loạn thế	Bởi vì vội vàng trốn đi, cũng không có mang theo quá nhiều vật tư. Mấy ngày liền bôn ba cơ hồ hết sạch tinh lực của các ngươi.\n Không có lựa chọn khác, các ngươi chỉ có thể tạm thời nơi này chỉnh đốn, mà đối đãi nói sau.	BaseExpect1	
10007	Kinh hồn sơ định	Ấm áp đống lửa thoáng xua tán đi mệt nhọc cùng bất an. Ngắn ngủi thảo luận sau, các ngươi cảm thấy cũng đã thoát đi nguy hiểm, thế là quyết định ở đây thành lập một cái nơi ở tạm thời.\n\n[color=#D06508] Giải tỏa kết cấu kiến trúc \n Giải tỏa cơ sở đồ dùng trong nhà \n Giải tỏa cơ sở bàn làm việc \n Giải tỏa sàn nhà cùng nóc nhà [/color]	BaseExpect2	
10008	An cư nơi này	Trong khoảng thời gian này, mặc dù mất đi sư huynh trưởng bối bi thống y nguyên dây dưa, nhưng các ngươi dần dần trầm tĩnh lại. Phát giác được nơi đây ít ai lui tới, truy binh tựa hồ đã bỏ đi truy tìm, các ngươi thương lượng một chút, quyết định lại nơi này sinh hoạt.\n\n[color=#D06508][/color]		
10009	Gia viên mới	Các ngươi tựa hồ cũng quen thuộc cuộc sống ở nơi này: Mặc dù không bằng sư môn càng tại lúc an lòng, nhưng cũng có thể tự cấp tự túc. Cái này chưa chắc không phải một loại tu hành?\n Đây là trong loạn thế gia viên mới, nó sẽ là một cái không tệ bắt đầu sao? Tất cả mọi người bao hàm chờ mong.\n\n[color=#D06508] Giải tỏa tiến giai đồ dùng trong nhà \n Giải tỏa tiến giai bàn làm việc [/color]	BaseExpect3	
10010	Ngoại môn đệ tử phản bội chạy trốn	Ngươi ngoại môn đệ tử [NAME] Bởi vì không thể chịu đựng được cuộc sống bây giờ mà tại đêm khuya phản bội chạy trốn.		
10011	Trùng nhập tiên môn	Trong chúng ta có người đột phá tầng kia hạn chế!\n [IT] Lập tức cảm nhận được giữa thiên địa kia cỗ cường đại năng lượng: \n Linh khí!\n Tu tiên chi môn hướng chúng ta mở rộng!\n\n[color=#D06508] Linh khí trở nên có thể thấy được!\n Có thể thành lập môn phái![/color]		
10012	Ly biệt	Ta không biết ta đã làm sai điều gì, nhưng đã các ngươi yêu cầu, vậy ta liền rời đi. Cảm ơn mọi người khoảng thời gian này chiếu cố!\n[TXT] Cùng các ngươi cùng một chỗ, ta rất vui vẻ.		
10013	Dự đoán	[NAME] Đối tương lai dự đoán kết quả là: \n[TXT]		
10014	Hộp đá phát sáng	Tối nay là đêm trăng tròn, lúc trước đạo sĩ ban cho các ngươi hộp đá tại nửa đêm giờ Tý đột nhiên phát ra quang mang, sau đó nứt ra một cái lỗ khe hở, tựa hồ có thể nhẹ nhõm mở ra.		
10015	Thu hoạch được pháp quyết tu luyện	Thu được mới pháp quyết tu luyện: [TXT]		
10016	Mở ra tu luyện hệ thống	Các ngươi thu được đệ nhất bản tu hành pháp quyết, thu hoạch đạp lên tiên lộ tư cách. Tiên lộ gian nan, nhưng loạn thế như bể khổ, nhân sinh giống như lục bình, chứng thực phi thăng chi đạo có lẽ là duy nhất siêu thoát đường tắt.\n\n[color=#D06508] Giải tỏa tu luyện hệ thống!\n Giải tỏa tu luyện kiến trúc!\n ( Môn phái bảng có thể tùy thời xem xét tất cả công pháp )[/color]		
10017	Địch nhân xâm lấn	Một đợt tràn ngập địch ý gia hỏa xuất hiện ở phụ cận.		
10018	Phi thăng	[NAME] Trải qua kiếp nạn, rốt cục siêu thoát giới này, phi thăng thành tiên. Chỉ để lại tiên nhân lột xác, cung cấp người hậu thế chiêm ngưỡng.\n Có thơ làm chứng: \n[color=#D06508] Hỗn độn sơ phân Bàn Cổ trước, Thái Cực Lưỡng Nghi Tứ Tượng treo.\n Nữ Oa đoàn thổ vạn linh ra, Phục Hi họa quẻ âm dương trước.\n Trăm năm tu hành đao binh họa, định bên trong chưa phát giác đã ngàn năm.\n Cướp đến tan hết hoàn toàn nói, phàm trần lần này đi tận như khói.[/color]	SeeGod	
10019	Cường lực tiến công	[TXT] Phái ra một đội đệ tử tinh anh đến đây trả thù.	Rich	Human
10020	Cường lực tiến công	[TXT] Phái ra trong môn cao thủ đến đây trả thù.	Rich	Human
10021	Cường lực tiến công	[TXT] Phái ra trong phái trưởng lão đến đây trả thù.	Rich	Human
10022	Lửa giận	Hành vi của ngươi chọc giận [TXT], bọn hắn sắp khai thác biện pháp.		
10023	Thiên kiếp sắp tới	[NAME] Tu vi đạt đến bình cảnh, thiên kiếp sắp giáng lâm!		
10024	Thần bí tiên nhân	Mấy ngày bên trong, các ngươi ban ngày nằm đêm ra, rốt cục chạy trốn tới một chỗ bí ẩn khe núi. Ngay tại vừa rồi buông lỏng lúc, một đạo độn quang đột nhiên rơi xuống, hiện ra một người tu hành thân hình.		
10025	Thần bí tiên nhân	Thần bí người tu hành thật sâu nhìn thoáng qua bốn phía, hóa thành một đạo độn quang biến mất tại phương xa.		
10026	Tân thủ hình thức	Chúc mừng ngươi, ngươi đã nắm giữ cơ bản 《 Không tầm thường tu tiên máy mô phỏng 》 Cách chơi nội dung.\n Tiếp xuống ngươi có thể thông qua kinh điển hình thức, thành lập mình nhân vật, bắt đầu chân chính tu hành hành trình. Đương nhiên ngươi cũng có thể tại tân thủ hình thức bên trong tiếp tục du ngoạn.\n Chúc ngài trò chơi vui sướng.		
10027	Chết	Thế sự gian nan, các ngươi tiên lộ chưa mở ra không ngờ đoạn tuyệt. Chỉ lưu thiên địa ung dung, khiến người bi thương mà khóc.		
10028	Diệt môn	[TXT] Chỉ lưu thiên địa ung dung, khiến người bi thương mà khóc.		
10029	Khởi đầu mới	Một tị nạn trong núi lữ nhân phát hiện khu di tích này, không đường có thể đi phía dưới, [IT] Quyết định tạm thời ở nơi này xuống tới.		
10030	Thần bí tiên nhân	Các ngươi cảm giác được một đạo ôn hòa khí tức ở bên người dừng lại một lát, sau đó dần dần biến yếu cũng biến mất, giống như cho tới bây giờ không có xuất hiện qua......		
10031	Tiên gia động thiên	[TXT] Trở thành Tiên gia động thiên, nhất thời muôn hình vạn trạng, thanh danh tăng nhiều.		
10032	Tĩnh tu	[NAME] Bởi vì trú đóng ở bên ngoài thời gian quá dài, sắp trở về môn phái tĩnh tu.		
10033	Đóng quân thụ thương	[NAME] Bởi vì đóng quân trong lúc đó thụ thương, sắp trở về môn phái tu dưỡng.		
10034	Dung nhập môn phái	Trải qua một đoạn thời gian ở chung, [NAME] Triệt để dung nhập môn phái.		
10035	Ngo ngoe muốn động	Cảm ứng được tu sĩ Kim Đan khí tức, sinh tồn ở này [NAME] Tựa hồ cảm nhận được bất an......		
10036	Tiến công	Vì phòng ngừa các ngươi tiếp tục lớn mạnh, sinh tồn ở này [NAME] Phát động tập kích!		
10037	Ngo ngoe muốn động	Cảm nhận được các ngươi môn phái tựa hồ cũng không có cái gì tiềm ẩn uy hiếp, sinh tồn ở này [NAME] Dần dần lên ác ý......		
10038	Tiến công	Không thể chịu đựng được huyết thực dụ hoặc, sinh tồn ở này [NAME] Phát động tập kích!		
10039	Tiến hóa yêu thú	Thụ thời tiết linh khí ảnh hưởng, một con [NAME] Phúc chí tâm linh, biến thành yêu thú.		
10040	Hung sát chi khí	[NAME] Đi tới nơi đây, đột nhiên cảm thấy một trận khí tức nguy hiểm, tựa hồ có cái gì hung vật chiếm cứ tại phụ cận. Tại [NAME] Cảm ứng bên trong, cỗ khí tức này thậm chí không thua gì Kim Đan kỳ tu sĩ, vẫn là rời xa nơi đây vi diệu.		
10041	Thần bí hang động	Gần đây, môn phái dưới mặt đất ngày càng tấp nập chấn động bỗng nhiên ngừng lại, ngay tại lúc đó, một cái thần bí hang động xuất hiện trên mặt đất. Từ trong huyệt động truyền ra tối nghĩa mà cường đại ý niệm, không biết là lai lịch ra sao.\n Gần đây nhiều lần có thượng cổ người tu hành xuất thế, có lẽ có thể hướng bọn hắn tìm hiểu một chút tin tức.		
10042	Nhu cầu tế tự	Thần bí trong huyệt động bỗng nhiên truyền lại ra bao hàm uy hiếp ý niệm, nó muốn ngươi [TXT].		
10043	Hoàn thành tế tự	Ngươi tại hang động trước hoàn thành tế tự, thần bí ý niệm rất thỏa mãn.		
10044	Mưa to tai ương	Thần bí ý niệm mười phần tức giận, một trận mưa to ứng thanh mà đến.	Rainstorm_AllSeason	
10045	Linh khí khô triều	Thần bí ý niệm mười phần tức giận, huyệt động cửa vào truyền ra hấp lực cường đại, đem bốn phía linh khí cướp đoạt không còn.	LingRarefiedWave	
10046	Vĩnh Dạ tai ương	Thần bí ý niệm mười phần tức giận, lửa giận phía dưới, một trận Vĩnh Dạ giáng lâm.	PermanentNight	
10047	Yêu thú xâm lấn	Thần bí ý niệm mười phần tức giận, đưa tới một chút yêu thú xâm lấn.		
10048	Lửa giận giáng lâm	Thần bí ý niệm mười phần tức giận, phun ra mấy đạo phẫn nộ dòng lũ, phá hủy mặt đất.		
10049	Rồng đào được	Thần bí ý niệm bất mãn đạt đến cực hạn, nương theo lấy một trận thiên băng địa liệt tiếng vang, một con to lớn cự vật phá đất mà lên.		
10050	Dị thường nhiệt độ cao	Không biết nguyên nhân gì, giữa thiên địa nhiệt độ đột nhiên đề cao rất nhiều, loại khí trời này biến hóa vượt xa bình thường thời tiết phạm trù, tựa hồ ẩn chứa cái gì không tầm thường tình huống.	Weather_Boss_Drought	
10051	Bạo loạn dã thú	Dị thường khô hạn khí hậu làm xung quanh dã thú lâm vào điên cuồng, một đám bạo loạn dã thú xuất hiện tại môn phái phụ cận!	Wolf|Rabbit|Snake|Boar	
10052	Trời rơi Hỏa Vũ	Một cỗ sóng nhiệt xẹt qua bầu trời, tựa hồ có đồ vật gì rơi xuống.		Item_BossFeng_HuoYu
10053	Tăng lên khô hạn	Tiếp tục nhiệt độ cao mang đến một trận khô hạn, không biết có phải hay không ảo giác, nhiệt độ tựa hồ càng ngày càng cao, nếu như không khai thác cái gì đối sách, tình huống có lẽ sẽ trở nên càng thêm ác liệt.	Weather_Boss_HighTemp	
10054	Phát cuồng yêu thú	Một chút yêu thú tựa hồ bởi vì sợ hãi mà phát cuồng, vậy mà rời đi lãnh địa của mình bắt đầu bốn phía phá hư!		
10055	Trời rơi Hỏa Vũ	Một cỗ sóng nhiệt xẹt qua bầu trời, tựa hồ có đồ vật gì rơi xuống.		Item_BossFeng_HuoYu
10056	Thê lương hung minh	Tại thi pháp xua tan ngày hôm đó ích tăng lên khô hạn sau, giữa thiên địa tựa hồ an tĩnh quỷ dị thời gian nửa nén hương. Ngắn ngủi yên tĩnh qua đi, nơi xa dãy núi đột nhiên hù dọa mảng lớn chim bay, một trận thê lương hung vang lên triệt cửu tiêu!		
10057	Hung hoàng giáng lâm	Hung hoàng giáng lâm.		
10058	Vĩnh Dạ bắt đầu	Không biết sao, giữa thiên địa âm dương chi lực đột nhiên lâm vào hỗn loạn, môn phái phụ cận trăm dặm vậy mà lâm vào đêm khuya đen nhánh.		
10059	Âm chi noãn xuất hiện	Trong đêm khuya, một chút kì lạ trứng đột nhiên xuất hiện tại phụ cận, trong đó tựa hồ dựng dục cái gì......		
10060	Cực trú bắt đầu	Không biết sao, giữa thiên địa âm dương chi lực đột nhiên lâm vào hỗn loạn, môn phái phụ cận trăm dặm đột nhiên chuyển thành vào lúc giữa trưa...... Không biết lần này âm dương hỗn loạn sẽ kéo dài bao lâu?		
10061	Dương chi noãn xuất hiện	Ban ngày bên trong, một chút kì lạ trứng đột nhiên xuất hiện tại phụ cận, trong đó tựa hồ dựng dục cái gì......		
10062	Chúc Long đăng tràng	Tiếp tục hỗn loạn âm dương chi tức rốt cục đến cực hạn, nương theo một trận kéo dài thở dài, một đầu thân ảnh khổng lồ từ giữa thiên địa hiển hiện ra!		
10063	Chúc Long xuất hiện	Theo kì lạ trứng nở, giữa thiên địa âm dương chi tức bắt đầu lâm vào hỗn loạn!		
10064	Chúc Long xuất hiện	Theo kì lạ trứng bị phá hư, giữa thiên địa âm dương chi tức bắt đầu lâm vào hỗn loạn!		
10065	Thiên địa dị biến	Gần đây, Trung Nguyên nội địa đột nhiên phát sinh một lần linh khí bộc phát. Ban sơ cũng không người coi trọng, chỉ cho rằng đây là bình thường linh mạch dị động. Nhưng mà theo thời gian chuyển dời, mọi người mới phát hiện lần này linh khí bộc phát quy mô cùng cường độ đồng đều viễn siêu mong muốn, lấy bộc phát điểm làm tâm điểm một đường lan tràn, đã tiếp tục hơn tháng, lại là một trận tác động đến toàn bộ tu hành giới kịch biến.\n Bây giờ, linh khí bộc phát dư ba đã lan tràn đến ngươi môn phái, mọi người tại hưởng thụ đầy đủ linh khí đồng thời cũng không nhịn được nghi hoặc trận này kịch biến ý vị như thế nào......	LingUpWave_Sp	
10066	Ngàn năm linh triều	Từ linh khí triều dâng càn quét tu hành giới đã qua mấy ngày, tu hành giới các đại môn phái cũng từ môn phái trong điển tịch dần dần xác định, lần này dị biến nên là ba ngàn năm một lần luân hồi linh khí triều tịch lại lần nữa tiến đến. Thụ này ngàn năm linh triều ảnh hưởng, một chút bởi vì các loại nguyên nhân ngủ say thượng cổ người tu hành cũng lần lượt thức tỉnh.\n Thời đại thượng cổ, tu hành giới còn tiếc rằng nay trật tự, chỉ là thừa hành nhược nhục cường thực lý niệm. Những này thừa hành thượng cổ chi đạo người tu hành lấy cường hoành tu vi, tại ngắn ngủi mấy ngày, đã ở tu hành giới nhấc lên gợn sóng......		
