ID	Content
49	[NAME] Du lịch tiên giới lúc, tại [PLACE1] Tao ngộ ma khe hở bộc phát. Vì phòng ngừa đại quy mô ma nhiễm xuất hiện, chúng thượng tiên hợp lực phong tỏa nơi đây, cùng ma vật đại chiến mấy chục năm.[NAME] Kinh lịch trận này huyết chiến, thụ thiên đạo gia trì, đạo hạnh tăng nhiều.
50	[NAME] Bị trục xuất môn phái sau rất cảm thấy mờ mịt, may mà một thân sở học cỗ tại, đành phải chỉnh lý tốt tâm tình, một thân một mình đầu nhập cuồn cuộn trong hồng trần.
51	[NAME] Tại [PLACE2] Tao ngộ cừu địch ám toán, hữu tâm tính vô tâm phía dưới, [NAME] Mặc dù thi triển tất cả vốn liếng, vẫn là vẫn lạc nơi này, một thế tu vi tận giao nước chảy.
52	[NAME] Khổ tu nhiều năm, rốt cục tại [PLACE2] Vượt qua thiên kiếp, đạp lên một bước cuối cùng, phi thăng giới này thành tiên mà đi.
53	[NAME] Tại [PLACE2] Dẫn động đạo hạnh thiên kiếp, để cầu tiến thêm một bước, nhưng mà tu vi cuối cùng kém chút hỏa hầu, bị thiên kiếp hóa thành tro tàn. Một thế tu vi tận giao nước chảy.
54	[NAME] Một mình xông xáo tu hành giới hồi lâu, bị giới hạn tự thân tư chất tiến lên không đường, lại chán ghét tu hành giới ngươi lừa ta gạt. Rốt cục quyết định ẩn tàng một thân tu vi, hóa thành phàm nhân chi thân, quy ẩn tại [PLACE2].
55	[NAME] Tại [PLACE2] Ngẫu nhập một chỗ ngồi cổ tu hành giả động phủ, nhưng mà [NAME] Dù sao kém chút cơ duyên, thăm dò quá trình bên trong ngộ nhập cấm pháp bên trong không thoát thân được. Đành phải trơ mắt nhìn một thân tu vi hao hết, cuối cùng chết.
56	[NAME] Tại tu hành giới xông xáo nhiều năm, nhưng mà bị giới hạn tư chất tài nguyên, từ đầu đến cuối không được siêu thoát. Rốt cục thọ nguyên hao hết, tại [PLACE2] Đột ngột mất.
57	[NAME] Tại thăm dò dị giới khe hở lúc, nhất thời vô ý bị cuốn vào thời không nát khe hở, rốt cuộc tìm không được tung tích.
58	[NAME] Tại du lịch thiên hạ lúc, nhất thời vô ý rơi vào Hợp Hoan phái chi thủ, bị xem như đỉnh lô sinh sinh thải bổ đến chết, thảm không nói nổi.
59	[NAME] Tại du lịch thiên hạ lúc, vô ý tại [PLACE2] Tao ngộ thượng cổ hung thú [MONSTER2], trong tranh đấu, [NAME] Một cây chẳng chống vững nhà, bị đánh đến thần hình câu diệt.
60	[NAME] Tại du lịch thiên hạ lúc, cùng Thất Sát Ma Cung lên phân tranh. Đấu pháp bên trong, [NAME] Tao ngộ vây công, song quyền nan địch tứ thủ, vẫn lạc tại chỗ. Nhục thân luyện thành khôi lỗi, hồn phách lấy ra u túy, thảm không nói nổi.
61	[NAME] Khó nhịn tham niệm, chui vào [SCHOOL2] Bảo khố trộm cắp, vô ý bị bắt.[SCHOOL2] Đem phế bỏ tu vi, chặt đứt tay chân, ném tại hoang dã.[NAME] Cuối cùng chết thảm ở chó hoang miệng, khiến người không thắng thổn thức.
62	[NAME] Cơ duyên phía dưới cứu trợ [SCHOOL2] Trưởng lão một huyền tôn, đến cơ duyên này, [NAME] Thành công bái nhập [SCHOOL2] Môn hạ.
63	[NAME] Tại [PLACE2] Bế quan mấy tháng, tự giác không thua thiên hạ anh hào, quyết định tự lập môn phái, khai sáng một phen cơ nghiệp.
64	[NAME] Xông xáo tu hành giới nhiều năm, phát hiện Trung Nguyên chi địa cạnh tranh quá mức kịch liệt. Thế là biến hóa man nhân, dấn thân vào Nam Hoang, thu nạp một bang Man Hoang thổ dân thu nạp thiên tài địa bảo, cũng là thành một phương thế lực.
65	[NAME] Cùng người tranh đấu bản thân bị trọng thương, hấp hối lúc thụ thiên ma dụ hoặc, tu tập thiên ma hóa thân thuật, biến thành người trong ma đạo.
66	[NAME] Tại [CITY2] Ngẫu nhiên gặp mình kiếp trước người yêu chuyển thế chi thân, mặc dù vẫn là phàm nhân, nhưng lại là khó được tu hành hạt giống.[NAME] Đem dẫn vào tiên môn, một lần nữa kết làm quyến lữ, quả thật một đoạn giai thoại.
67	[NAME] Tại [CITY2] Ngẫu nhiên gặp mình kiếp trước người yêu chuyển thế chi thân, tiếc nuối chính là thế này không có chút nào tư chất tu hành.[NAME] Che giấu mình thân phận lấy phàm nhân chi thân bạn một sinh, thẳng đến sống quãng đời còn lại mới rời đi.
68	[NAME] Tại [CITY2] Ngẫu nhiên gặp mình kiếp trước người yêu chuyển thế chi thân, thế này đã trùng nhập tiên đồ, lại không muốn cùng [NAME] Lại có liên quan, chỉ muốn một lòng hỏi.[NAME] Cũng không làm dây dưa, hai người mỗi người đi một ngả, chỉ thán hữu duyên vô phận.
69	[NAME] Tại [CITY2] Ngẫu nhiên gặp mình kiếp trước người yêu chuyển thế chi thân, thế này đã trùng nhập tiên đồ. Hai người gặp nhau mừng rỡ vạn phần, một lần nữa kết làm đạo lữ, thành tựu một phen Tiên gia diệu nghe.
70	[NAME] Cơ duyên xảo hợp thu được càng thích hợp đạo thống của mình truyền thừa. Vì lấy được thành tựu lớn hơn, [NAME] Một phen do dự sau vẫn là phục dụng Huyền Tẫn trùng sinh đan, quyết định trùng tu pháp lực. Chỉ là không có môn phái phù hộ, con đường này chắc hẳn sẽ gấp đôi gian nan.
71	[NAME] Đột phá thất bại, khí huyết bạo tẩu, mạng sống như treo trên sợi tóc. Vì cầu một tia sinh cơ, [NAME] Phục dụng Huyền Tẫn trùng sinh đan, một lần nữa bước lên con đường tu hành. Chỉ là không có môn phái phù hộ, con đường này chắc hẳn sẽ gấp đôi gian nan.
72	[NAME] Thăm dò một tòa thất lạc Tiên gia động phủ lúc, nhất thời vô ý lầm nuốt vào cổ Tiên gia tiên thức thần niệm. Toàn thân pháp lực tẫn tán. Nguyên lai nơi đây chính là tiên nhân vì chính mình đạo thống truyền thừa cố ý bố trí cơ quan, [NAME] Tuy có không cam lòng, cũng chỉ có thể ở chỗ này trùng tu pháp lực, tiềm tu mấy năm phương được tự do.
73	[NAME] Trước đó tu tập một môn bí pháp lúc đả thương tâm mạch, ngày đêm thụ này tra tấn, khổ không thể tả.[NAME] Không chịu nổi lâu dài thống khổ, rốt cục quyết định ăn vào Huyền Tẫn trùng sinh đan, lại tu luyện từ đầu, để cầu giải thoát. Chỉ là không có môn phái phù hộ, con đường này chắc hẳn sẽ gấp đôi gian nan.
74	[NAME] Du lịch thiên hạ lúc, bỗng nhiên động bụi nghĩ. Liền hóa làm phàm nhân về mình lớn lên chi địa xem xét, đã thấy dãy núi san bằng, dòng sông thay đổi tuyến đường, nơi đây đã ở thiên tai bên trong hủy diệt.[NAME] Cảm khái một phen cảnh còn người mất, liền rời đi nơi đây.
75	[NAME] Du lịch thiên hạ lúc, bỗng nhiên động bụi nghĩ. Liền hóa làm phàm nhân về mình lớn lên chi địa xem xét, đã thấy nơi đây mặc dù cố nhân không tại, vậy mà không có cái gì quá lớn cải biến, giống như quá khứ.[NAME] Bỗng nhiên thoải mái, quá khứ đủ loại tan thành mây khói, cười to rời đi.
76	[NAME] Du lịch thiên hạ lúc, bỗng nhiên động bụi nghĩ. Liền hóa làm phàm nhân về mình lớn lên chi địa xem xét, thấy nơi đây đã về làm một cái đại hộ nhân gia nội viện, trước đây nhân vật vô tung.[NAME] Nhìn một hồi, lắc đầu rời đi.
77	[NAME] Du lịch thiên hạ lúc, bỗng nhiên động bụi nghĩ. Liền hóa làm phàm nhân về mình lớn lên chi địa xem xét, đã thấy nơi đây sớm đã tại trong chiến loạn bị thiêu huỷ. Nhìn xem đầy rẫy mây mù dày đặc, [NAME] Bỗng cảm thấy thiên đạo vô tình, nhất trí như vậy, trăm mối cảm xúc ngổn ngang.
78	[NAME] Tại [PLACE2] Du lịch lúc, gặp được một phàm nhân đồng tử, từ nơi sâu xa cảm giác cùng mình rất có duyên phận.[NAME] Thế là đem thu làm thân truyền đệ tử, truyền xuống y bát.
79	[NAME] Truy sát ngàn dặm, rốt cục tại [PLACE2] Chính tay đâm cừu gia. Nhưng mà tạo hóa trêu ngươi, con của cừu nhân vậy mà với mình rất có duyên phận, là mình y bát tuyệt hảo truyền nhân.[NAME] Do dự mãi, vẫn là quyết định nhận lấy kẻ này, không biết là phúc là họa.
80	[NAME] Hóa thành phàm nhân du lịch [CITY2] Lúc, lại bị một thiên tư thông minh thiếu niên khám phá chỗ bất phàm.[NAME] Thừa dịp thích thú liền nhận thiếu niên này làm truyền nhân.
81	[NAME] Tại [PLACE2] Du lịch lúc, cơ duyên xảo hợp gặp được một số người tranh đoạt [DAN2], [NAME] Ẩn thân phía sau, cuối cùng vậy mà hoàng tước tại hậu, đoạt được bảo vật này.
82	[NAME] Tại du lịch thiên hạ lúc, vô ý đắc tội không cách nào chống lại cừu địch, bị đuổi giết vạn dặm mới rốt cục đào thoát.
83	[NAME] Tại [PLACE2] Du lịch lúc, đột nhiên lĩnh ngộ được một tia huyền diệu áo nghĩa, khẽ đảo lĩnh hội phía dưới, vậy mà tu vi tiến nhanh, đột phá cảnh giới.
84	[NAME] Tại [PLACE2] Du lịch lúc, cơ duyên xảo hợp gặp được một gốc [LINGPLANT2] Ngay tại kết quả, [NAME] Biết cơ duyên khó được, vội vàng khoanh chân lĩnh hội, vậy mà ngộ ra một môn bản nguyên bí pháp.
85	[NAME] Tại [PLACE2] Du lịch lúc, đúng lúc gặp được một kiện thượng cổ bí bảo phôi thai đào được, [NAME] Cùng người một phen tranh đấu, thành công đoạt lấy bí bảo.
86	[NAME] Tại [PLACE2] Du lịch lúc, đúng lúc gặp được một kiện bí pháp hiện thế, [NAME] Cùng người một phen tranh đấu, thành công đoạt lấy bí pháp rời đi.
87	[NAME] Tại [PLACE2] Du lịch lúc, đột nhiên tâm thần khẽ động, vậy mà lĩnh ngộ được một tia huyền diệu.[NAME] Bắt lấy cái này một kỳ ngộ, thành công hóa ra một môn diệu pháp.
88	[NAME] Tại [PLACE2] Du lịch lúc, gặp được một tòa cỗ tiên nhân động phủ di tích.[NAME] Đi vào thăm dò một phen, vậy mà thu hoạch được một kiện Thánh phẩm pháp bảo, thật sự là cơ duyên to lớn.
89	[NAME] Tại [PLACE2] Du lịch lúc, đột nhiên động cực Tư Tĩnh, quyết định lần nữa ẩn cư một chút thời đại.
90	[NAME] Tại [PLACE2] Du lịch lúc, đúng lúc gặp được một kiện thượng cổ bí bảo phôi thai đào được, [NAME] Cùng người một phen tranh đấu, vô ý lạc bại, ngược lại còn kết xuống một cái lợi hại cừu gia.
91	[NAME] Tại [PLACE2] Du lịch lúc, đúng lúc gặp được một kiện bí pháp hiện thế, [NAME] Cùng người một phen tranh đấu, vô ý lạc bại, ngược lại còn kết xuống một cái lợi hại cừu gia.
