ID	Name	Desc	MapStory	DoLua	Default	Condition1	Point1	UnLock1	Condition2	Point2	UnLock2	Condition3	Point3	UnLock3	Condition4	Point4	UnLock4
104	Diệt Môn Chi Mê	Truy tra phía dưới, ngươi phát hiện Bách Man Sơn đồ diệt Thái Nhất, tựa hồ là vì một kiện tên là càn khôn giới chí bảo. Nhưng việc này kém xa mặt ngoài đơn giản như vậy, căn cứ Bách Man Sơn đại năng bạch chỉ lời nói, ngày đó bày ra tuyệt rồng trận cái khác mấy tên đại năng vậy mà xuất từ đang cùng nhau! Càng kỳ quái hơn lúc, tại ngoài sáng bên trên Bách Man Sơn cùng đang cùng nhau phía sau, vậy mà mơ hồ có Hợp Hoan phái, Thất Sát Ma Cung, bảy thiên ổ, đan hà động thiên, Côn Luân cung, Tử Tiêu tông chính tà lục đại phái thân ảnh trong bóng tối trợ giúp! Nói cách khác, hành động lần này hoặc sáng hoặc tối, chính tà bát đại môn phái vậy mà cùng một chỗ liên hợp hành động. Tiến một bước truy tra hạ, kỳ quái hơn chuyện xuất hiện, ngoại trừ bên ngoài Bách Man Sơn là đơn thuần vì bảo vật, cái khác giấu tại phía sau màn các phái đối Thái Nhất Môn thái độ vậy mà đều có vi diệu: Tam đại tà phái tựa hồ đối với Thái Nhất Môn có một loại nào đó cừu hận, tứ đại chính phái thì là một loại nào đó sợ hãi cùng kiêng kị. Nhưng Thái Nhất Môn chỉ là gần trăm năm nay mới thành lập một cái tiểu môn phái, một mực căn nhà nhỏ bé vùng đông nam thùy, trừ Bách Man Sơn bên ngoài bảy phái chính là truyền thừa từ thượng cổ đại phái, loại này không hiểu thái độ thật là khiến người khó hiểu, nhưng bất kể như thế nào, cái này hiển nhiên sẽ không là cái gì đơn giản yêu hận tình cừu có khả năng giải thích, phía sau thế tất có càng sâu tầng bí mật mới đối. Mà đang dò xét quá trình bên trong, ngươi tại Hợp Hoan Tông cùng Côn Luân cung thấy không trọn vẹn cổ phác pháp ấn, tại cẩn thận nghiên cứu sau vậy mà phát hiện bọn hắn có liên quan nào đó, chỉ là còn khuyết thiếu mấu chốt nhất một bộ phận, bởi vậy không cách nào hoàn nguyên, điều này cũng làm cho ngươi mười phần để ý.		WorldLua:SetWorldFlag(94,1);WorldLua:SetWorldFlag(95,1)													
105	Vãng Nhật Bí Tân - Thái Nhất Chí Bảo	Khiến người không có nghĩ tới là, Thái Nhất Môn ngược dòng căn nguyên của nó vậy mà truyền lại từ thượng cổ đại phái Đông Hoàng cung, chỉ là ngàn năm trước một trận biến cố lớn làm Đông Hoàng cung cơ hồ diệt phái, hơn trăm năm sau, truyền nhân mới thay hình đổi dạng trùng kiến vì Thái Nhất Môn.\n Thời kỳ Thượng Cổ, Tiên Ma hai lần đại chiến đồng đều lấy tu hành giới thắng thảm chấm dứt. Đông Hoàng cung bên trong có một phái người đối lần thứ ba Tiên Ma đại chiến cầm bi quan thái độ, là lấy chế tạo ra chí bảo càn khôn giới, lấy hi vọng tai nạn tiến đến lúc có thể trốn vào trong đó sống tạm, vì nhân gian lưu lại hỏa chủng.\n Đến tận đây, hết thảy chân tướng rõ ràng, Bách Man Sơn không biết từ chỗ nào thu hoạch được bảo vật này manh mối, vì mưu đoạt chí bảo mà đồ diệt Thái Nhất Môn cả nhà.															
106	Vãng Nhật Bí Tân - Chính Đạo Khôi Thủ	Khiến người không có nghĩ tới là, Thái Nhất Môn ngược dòng căn nguyên của nó vậy mà truyền lại từ thượng cổ đại phái Đông Hoàng cung, chỉ là ngàn năm trước một trận biến cố lớn làm Đông Hoàng cung cơ hồ diệt phái, hơn trăm năm sau, truyền nhân mới thay hình đổi dạng trùng kiến vì Thái Nhất Môn.\n Thời kỳ Thượng Cổ, Đông Hoàng cung chính là thượng cổ Tam Hoàng truyền thừa thế gian đạo thống, là chính cống chính đạo khôi thủ, nó thế lực hoành đè người ở giữa vô địch. Lúc ấy chính vào lần thứ hai Tiên Ma đại chiến, thập đại tà giáo cấu kết ma đầu, bị Đông Hoàng cung đều đồ diệt. Bây giờ Bách Man Sơn, bảy thiên ổ, Thất Sát Ma Cung, Hợp Hoan phái chính là lúc ấy kéo dài hơi tàn cá lọt lưới.\n Đến tận đây, hết thảy chân tướng rõ ràng, cái này bốn phái biết được Thái Nhất Môn nền móng, tất nhiên lo lắng Đông Hoàng cung một lần nữa quật khởi thanh toán chuyện cũ, là lấy tiên hạ thủ vi cường.															
107	Vãng Nhật Bí Tân - Lập Uy Thiên Hạ	Khiến người không có nghĩ tới là, Thái Nhất Môn ngược dòng căn nguyên của nó vậy mà truyền lại từ thượng cổ đại phái Đông Hoàng cung, chỉ là ngàn năm trước một trận biến cố lớn làm Đông Hoàng cung cơ hồ diệt phái, hơn trăm năm sau, truyền nhân mới thay hình đổi dạng trùng kiến vì Thái Nhất Môn.\n Thời kỳ Thượng Cổ, Đông Hoàng cung chính là thượng cổ Tam Hoàng truyền thừa thế gian đạo thống, là chính cống chính đạo khôi thủ, lúc đó lần thứ hai Tiên Ma đại chiến khai chiến sắp đến, Đông Hoàng cung thống lĩnh nhân gian người tu hành thành lập mặt trận thống nhất chống cự Ma Giới, nhưng mà Tử Tiêu tông lại ỷ vào mình chính đạo nền móng, không phục quản thúc. Thời khắc mấu chốt đương phích lịch làm việc, Đông Hoàng chưởng giáo tự mình ra tay giết diệt Tử Tiêu tông kháng mệnh bảy đại trưởng lão, kiềm chế quân tâm, cuối cùng mặt trận thống nhất có thể thành lập, tại lần thứ hai Tiên Ma đại chiến bên trong thu hoạch được thắng thảm. Chiến dịch này bởi vì Tử Tiêu tông biến cố bên trong hao tổn, dẫn đến tu hành giới tổn thất nặng nề, Đông Hoàng cung bách Tử Tiêu tông lập xuống lời thề, vì lần thứ ba Tiên Ma đại chiến tiên phong, lấy công chuộc tội.\n Đến tận đây, hết thảy chân tướng rõ ràng, bây giờ ba lần Tiên Ma đại chiến buông xuống, Tử Tiêu tông biết được Thái Nhất Môn nền móng, tất nhiên lo lắng Đông Hoàng cung một lần nữa quật khởi thanh toán ngày xưa, là lấy tiên hạ thủ vi cường.															
108	Vãng Nhật Bí Tân - Đông Hoàng Kinh Biến	Làm ngươi không có nghĩ tới là, Thái Nhất Môn ngược dòng căn nguyên của nó vậy mà truyền lại từ thượng cổ đại phái Đông Hoàng cung, thời kỳ Thượng Cổ, Đông Hoàng cung chính là thượng cổ Tam Hoàng truyền thừa thế gian đạo thống, nó thế lực hoành đè người ở giữa vô địch. Tiên Ma lần thứ hai đại chiến càng dẫn đầu Nhân Gian giới đánh lui Ma Giới, cứu vớt nhân gian.\n Nhưng mà ngàn năm trước đó, Đông Hoàng cung lại đột nhiên tại tu hành giới nhấc lên một trận đại loạn, muốn hủy diệt thiên hạ người tu hành căn cơ. Gia truyền Đông Hoàng cung chưởng môn âm thầm sửa chữa Đông Hoàng truyền lại Ngũ Hành đại pháp, thu nạp ma tức tu luyện, bởi vậy rơi vào ma đạo, muốn phá vỡ nhân gian. Đông Hoàng cung chưởng giáo càng là danh xưng Ma trung chi Ma, chấm dứt thay mặt tu vi bễ nghễ thiên hạ, không người có thể địch.\n Thiên hạ người tu hành vì cầu sinh tồn, bất luận chính tà liên hợp lại, huyết chiến mười mấy năm, rốt cục hủy diệt Đông Hoàng cung. Nhưng mà Đông Hoàng cung nhưng lưu lại một đầu bí ẩn truyền thừa, ẩn núp trăm năm sau mới thay hình đổi dạng trùng kiến vì Thái Nhất Môn.\n Đến tận đây, hết thảy tựa hồ cũng có giải thích hợp lý, thiên hạ các phái bất luận chính tà, đều sợ hãi Thái Nhất Môn quật khởi, ngày xưa Ma trung chi Ma tái nhập nhân gian, là lấy bất luận chính tà liên hợp, nhất thiết phải muốn đem Đông Hoàng một mạch trảm thảo trừ căn. Nhưng mà, thật là dạng này a? Ngươi thân là Thái Nhất đệ tử, tinh nghiên Thái Nhất Ngũ Hành đại pháp, không có người so ngươi hiểu rõ hơn Thái Nhất Môn công pháp căn nguyên: Trong đó có lẽ có một chút kiếm tẩu thiên phong tà môn thủ đoạn, nhưng tuyệt đối không có hấp thu ma tức tăng cao tu vi pháp môn. Nếu như cái này y nguyên không phải thật sự tướng, chỉ là người thắng bện hoang ngôn, như vậy giấu ở lịch sử phía sau chân tướng, đến cùng là cái gì? Đây hết thảy tựa hồ lâm vào càng lớn bí ẩn bên trong......															
500	Ngoại Truyện: Thượng Cổ Tín Tức	Những ngày này, các ngươi lần lượt tiếp xúc đến một chút thượng cổ bí ẩn. Nhưng mà Thượng Cổ thời đại còn sót lại tin tức đều hết sức kỳ quái, nội dung của nó thường thường là một chút lông gà vỏ tỏi không có chút giá trị việc vặt vãnh, có thậm chí nhìn qua chỉ tốt ở bề ngoài, khó có thể lý giải được, tựa hồ là được cho thêm một loại nào đó kì lạ mật chú. Nhưng dạng này mật chú dùng làm môn phái nội bộ giữ bí mật, nhưng hôm nay xem ra, Thượng Cổ thời đại tất cả còn sót lại điển tịch đều dùng mật chú bảo hộ, cứ như vậy, giữ bí mật ý nghĩa làm sao tại? Mà giải mã phương pháp lại là cái gì?				43||	1000										
1000	Ngoại Truyện: Thượng Cổ Tín Tức	Trải qua một phen kỹ càng điều tra, ngươi hiểu rõ đến Thượng Cổ thời đại dùng mật chú phong tỏa tin tức nguyên nhân chính là vì đề phòng chui vào nhân gian ma tộc. Mà trải qua phen này khảo chứng, ngươi cũng học xong Thượng Cổ văn tự giải mã chi pháp.		WorldLua:SetWorldFlag(93,1)													
10000	Thượng Cổ Bí Văn																
10001	Cấm Kỵ Vãng Sự																
10002	Dĩ Tri Kết Luận																
