ID	Name	Desc
9	Thiếu Niên Sát Thủ	[NAME] Là cô nhi, tuổi thơ thời kì bị sát thủ tổ chức thu dưỡng, một mực tiếp nhận lãnh huyết mà tàn khốc sát thủ huấn luyện. Thẳng đến tổ chức sát thủ bị hủy diệt mới lấy thoát ly tổ chức.
10	Thanh Lâu Hài Đồng	[NAME] Sinh ra ở trong thanh lâu, không biết mình có phụ thân là ai. Từ nhỏ ở chợ búa ở giữa sờ soạng lần mò để [IT] Càng hiểu được sinh tồn quy tắc.
11	Công Tượng Gia Đình	[NAME] Tại một cái người có nghề trong gia đình lớn lên, mưa dầm thấm đất, [IT] Từ nhỏ đã thích động thủ làm một chút vật nhỏ.
12	Đồ Phu Đích Hài Tử	[NAME] Tại một cái đồ tể trong gia đình lớn lên, [IT] Có đôi khi cũng sẽ giúp đỡ trong nhà làm việc. Những kinh nghiệm này để [IT] Lại hung lại tráng.
13	Nông Hộ Trường Tử	[NAME] Là một cái gia đình nông dân trưởng tử, gia đình gian nan để [IT] Từ nhỏ đã rất hiểu chuyện, đủ khả năng tham dự lao động.
14	Lang Trung Học Đồ	[NAME] Từ nhỏ đi theo một cái vân du bốn phương lang trung lớn lên, [IT] Nhóm dấu chân từ nam đến bắc, bước qua rất nhiều nơi. Những kinh nghiệm này để [IT] Kiến thức rộng rãi.
15	Quan Hoạn Thế Gia	[NAME] Xuất thân tại quan lại gia đình, thường thấy quyền lực đấu tranh hư tình giả ý.[IT] Từ nhỏ đã đặc biệt am hiểu chiếm được người khác hảo cảm, nhưng là cũng xưa nay sẽ không thổ lộ tâm tình.
16	Quan Tinh Giả	[NAME] Sinh ra ở một cái thiên văn quan gia trong đình, chịu ảnh hưởng của phụ thân, [IT] Từ nhỏ đã đối tinh tượng cảm thấy hứng thú. Vì thế [IT] Tuổi thơ đắm chìm trong tinh đồ cùng lý luận trong thư tịch.
17	Du Lịch Các Quốc	[NAME] Có phụ thân là triều đình đi sứ Tây Vực sứ giả, [IT] Thường xuyên đi theo phụ thân du lịch các quốc gia, cái này khiến [IT] Đối thế giới tràn ngập chờ mong cùng hứng thú.
18	Luyến Đồng	[NAME] Là nhà giàu sang nuôi dưỡng luyến đồng, đoạn này tuổi thơ kinh lịch để [IT] Nội tâm đối nam nhân cùng nữ nhân quan hệ thân mật đều cảm thấy e ngại.
19	Thiết Tượng Phô Đồng Công	[NAME] Từ nhỏ bị bán cho tiệm thợ rèn đương lao động trẻ em, [IT] Nghe đinh đinh đương đương thanh âm lớn lên, khát vọng lớn lên trở thành chân chính thợ rèn.
20	Thủy Hầu Tử	[NAME] Là thuyền đánh cá bên trên lớn lên hài tử, [IT] Từ nhỏ đã thích nước. Tuổi thơ kinh lịch cũng làm cho [IT] Có được mạnh mẽ thân thủ.
21	Âm Nhạc Thiên Tài	[NAME] Sinh ra ở một cái nhà âm nhạc đình, [IT] Kế thừa ưu tú gen, có được phi thường siêu quần nghệ thuật thiên phú.
22	Tà Ma Chi Tử	[NAME] Mẫu thân bị tà ma chỗ dụ dỗ, cho nên mang thai sinh hạ [IT].[IT] Trong thân thể cũng chảy một nửa tà ma huyết mạch, cái này khiến [IT] Tướng mạo khó coi, nhận hết kỳ thị.
23	Sinh Hiển Dị Tượng	[NAME] Xuất sinh tuân theo thế giới khí vận, giữa thiên địa phong vân dũng động, kim quang lấp lóe, đêm như ban ngày.[IT] Chú định nhận trời cao chiếu cố.
24	Sát Tinh Hàng Thế	[NAME] Là trên trời Thất Sát tinh chuyển thế, trời sinh chính là vì giết chóc chiến đấu mà sinh.
25	Thiên Tung Chi Tài	[NAME] Thông minh tuyệt thế, là ngút trời kỳ tài. Vô luận học cái gì, [IT] Đều có thể rất nhanh tinh thông. Nhưng là [IT] Lại có trời sinh tàn tật, kinh mạch không trọn vẹn, không cách nào tu hành.
26	Mục Đồng	[NAME] Từ nhỏ cho địa chủ nhà chăn thả. Nhưng [IT] Vẫn cảm thấy vận mệnh đối với mình không công bằng, [IT] Phải làm ra một phen càng lớn sự nghiệp.
27	Thân Tàn Chí Kiên	[NAME] Trời sinh trí lực tương đối thấp hạ, 5 Tuổi mới có thể nói lời nói, 10 Tuổi mới có thể đi đường, có thể nói mười phần dốc lòng. Nhưng là [ITS] Phụ mẫu lại như cũ đối [IT] Tràn ngập kiên nhẫn.\n[NAME] Mặc dù rất đần, nhưng là hắn đối tất cả mọi chuyện đều tràn đầy hứng thú, [IT] Nguyện ý nỗ lực so người khác rất nhiều lần cố gắng đến học tập như thế nào sinh hoạt.
28	Tiểu Khất Nhi	[NAME] Từ nhỏ bị vứt bỏ, bị một bang tên ăn mày nhặt được nuôi lớn. Từ [IT] Hiểu chuyện đến nay, [IT] Theo lấy mọi người lấy ăn xin mà sống.\n Ăn xin sinh hoạt để [IT] Kiến thức nhân thế lạnh lùng, cũng làm cho [IT] Đặc biệt giỏi về phỏng đoán lòng người.
29	Bối Xác Thu Tập Giả	[NAME] Tại bờ biển nghèo khó làng chài lớn lên, [ITS] Tuổi thơ khuyết thiếu giải trí, duy nhất yêu thích chính là thu thập tại bờ biển vỏ sò.
30	Nhi Đồng Gian Điệp	[NAME] Tướng mạo tú lệ đáng yêu, bị triều đình chọn trúng trở thành chính trị gián điệp, tung ra đến địch quốc thủ đô điều tra tình báo.\n Tại trong huấn luyện, [IT] Cường điệu học tập che giấu mình thủ đoạn cùng nghe trộm kỹ xảo, đồng thời bị quán chú một khi bị phát hiện lợi dụng thân đền nợ nước quan niệm.
31	Địa Chủ Đích Hài Tử	[NAME] Nơi sinh chủ gia đình, từ nhỏ tay chân không chăm chỉ ngũ cốc cũng không phân biệt được.\n[IT] Rất nhỏ liền cùng trong nhà nha hoàn phát sinh quan hệ, đồng thời thích thú, cái này khiến [IT] Vốn là thân thể yếu đuối càng thêm suy yếu.
32	Mại Hoa Đồng	[NAME] Phụ mẫu kinh doanh có một nhà tiệm hoa. Tại [IT] Hiểu chuyện sau liền thường thường dẫn theo lẵng hoa giúp phụ mẫu bán hoa. Tấp nập nhân tế kết giao để [IT] Trở nên hướng ngoại mà hoạt bát, mà lại rất có mị lực.
33	Khoái Nhạc Đích Đồng Niên	[NAME] Phụ mẫu là một cái đại hộ nhân gia chi thứ hậu đại.[ITS] Phụ mẫu hai người đều an tại bình tĩnh, mặc dù kế thừa gia nghiệp vô vọng nhưng là cũng vui vẻ thanh nhàn, không lo ăn mặc.\n Bởi vậy, [NAME] Từ nhỏ bị phụ mẫu làm bạn bốn phía chơi đùa, vượt qua một cái vui vẻ tuổi thơ.
34	Dã Hài Tử	[NAME] Sinh ra ở một cái sơn thôn, [ITS] Phụ mẫu tại lúc còn rất nhỏ cũng bởi vì sói họa mà tử vong.\n[IT] Từ nhỏ ăn cơm trăm nhà lớn lên, không người coi chừng, cả ngày trà trộn đầu thôn sơn dã. Bởi vì thân thế, [IT] Từ nhỏ khuyết thiếu bằng hữu, chỉ cùng đầu thôn một con đại hắc cẩu làm bạn.
35	Tửu Đồng	[NAME] Gia cảnh bần hàn, [IT] Cũng từ nhỏ bị phụ mẫu đuổi đến trên trấn tửu quán đương rượu đồng phụ cấp gia dụng.\n Trong tửu quán có nhiều say rượu khách nhân, thường thường đối [IT] Trách móc nặng nề đánh chửi, có một lần [IT] Thậm chí bị một cái khách uống rượu đánh gãy chân.
36	Nông Dân Đích Hài Tử	[NAME] Nhà lấy nghề nông mà sống, [IT] Từ nhỏ bị phụ mẫu đưa đến trong ruộng thuận tiện chăm sóc. Bởi vậy [IT] Cũng mưa dầm thấm đất biết rõ trồng kỹ xảo cùng tri thức.
37	Nông Dân Đích Hài Tử	[NAME] Có phụ thân là địa chủ nhà tá điền. Phân có một mảnh ruộng cùng mấy cái heo. Tại [IT] Bảy tám tuổi sau liền theo phụ thân đến trong ruộng lao động, phụ thân trồng trọt, [IT] Liền đi thu thập rau dại cỏ khô, lấy nuôi nấng gia súc.\n Có một lần cho heo ăn lúc, [IT] Không có chú ý, bị heo cắn rơi một cái ngón tay.
38	Nông Dân Đích Hài Tử	[NAME] Gia đình là địa chủ nhà điền bộc.[ITS] Phụ thân bởi vì mệt nhọc quá độ mà sụp đổ thân thể, không cách nào đúng hạn giao lương, rơi vào đường cùng chỉ có thể đem [IT] Bán thế chấp nợ nần.\n[NAME] Người bán đối [IT] Rất trách móc nặng nề, cả ngày dùng sống lại nghiền ép [ITS] Còn nhỏ thân thể.
39	Tương Môn Hổ Tử	[NAME] Tổ tiên ba đời là, [IT] Từ nhỏ đã trải qua khắc khổ huấn luyện cùng học tập, bị gia đình đặt vào kỳ vọng cao.\n[ITS] Tuổi thơ có một nửa thời gian tại quân doanh vượt qua, cái này khiến [IT] Từ thực chất bên trong lộ ra như sắt thép khí tức.
40	Quân Nhân Gia Đình	[NAME] Mẫu thân chết sớm, phụ thân là tòng chinh tây trên chiến trường sống sót bách chiến lão binh. Chiến sự bình định sau, [ITS] Phụ thân rút quân về bên trong dạy học đầu, [IT] Cũng đi theo phụ thân ở lâu quân doanh.\n Tại một lần trấn áp tà giáo quy mô nhỏ hành động bên trong, [IT] Đi theo phụ thân gặp được một chút thần kỳ pháp thuật, mặc dù chỉ là nhập môn cấp bậc trò vặt, lại cái này khiến [IT] Đối với tu hành tràn ngập hiếu kì.
41	Lang Hài	[NAME] Bị một đầu sói cái nuôi dưỡng lớn lên, tại [IT] Bị người từ ổ sói bên trong phát hiện lúc đã năm tuổi. Cùng sói làm bạn tuổi thơ để [IT] Đối với nhân loại tràn ngập xa cách cảm giác, thậm chí bỏ ra nhiều năm thời gian đều không thể nói chuyện bình thường.
42	Lạc Phách Quý Tộc	[NAME] Nhà đã từng là mười dặm tám hương nổi danh kiến trúc thế gia. Bởi vì liên lụy tiền triều dư nghiệt làm loạn sự kiện mà bị xét nhà. Tại sung quân trên đường, phụ thân không chịu nổi tra tấn mà qua đời. Loại cuộc sống này biến đổi lớn để [IT] Trở nên tự ti mà hướng nội.
43	Cô Nhi	[NAME] Là cô nhi, [IT] Du tẩu tại thành thị âm u nơi hẻo lánh, lấy ăn xin cùng trộm cắp mà sống.\n Lâu dài lang thang sinh hoạt để [ITS] Thần kinh cực độ mẫn cảm, mà lại không cách nào lâu ngủ.
44	Khí Anh	[NAME] Vừa ra đời liền bị vứt bỏ tại đống rác. Bị một cái người nhặt rác nhặt được, miễn cưỡng nuôi sống.\n Cực độ hỏng bét vệ sinh điều kiện để [IT] Được một loại đáng sợ chứng bệnh, cái này khiến [ITS] Tuổi thọ bị hao tổn nghiêm trọng.
45	Sơn Thôn Hài Tử	[NAME] Sinh ra ở một cái sơn thôn, [ITS] Phụ mẫu cùng thôn dân cũng là vì tránh né chiến loạn mà chạy nạn đến đây. Bởi vậy, tại [NAME] Từ nhỏ tiếp nhận giáo dục bên trong, đối bạo lực cùng chiến tranh bài xích chiếm tuyệt đối chủ lưu. Cái này khiến [IT] Trở thành một cái chán ghét vũ lực người.
46	Quân Đội Nhi Đồng	[NAME] Là trên chiến trường bị nhặt được cô nhi.[ITS] Dưỡng phụ là quân đội bên trong Bách phu trưởng, [IT] Từ nhỏ đi theo người trưởng thành huấn luyện, học tập đều là chiến trường đoạt mệnh chi thuật.\n Huấn luyện cùng giết địch lấp đầy [ITS] Tuổi thơ, thẳng đến có một ngày [IT] Chỗ trong quân đội mai phục mà tan tác. May mắn sống sót [IT] Bắt đầu suy nghĩ cuộc đời mình ý nghĩa.
47	Tiền Triêu Di Cô	[NAME] Tại một cái Tứ Hợp Viện lớn lên, mỗi ngày cùng chung quanh hài tử đồng dạng đọc sách, chơi đùa, giúp đại nhân làm việc.\n Chỉ là tất cả mọi người không biết, [ITS] Thân phận chân thật là tiền triều hoàng tử, một mực yên lặng chờ đợi nghĩa quân tới đón [IT] Phục hồi hoàng triều.
48	Hạnh Tồn Giả	[NAME] Là một trận đại đồ sát người sống sót. Đương [IT] Từ núi thây biển máu thành trấn thức tỉnh lúc, hết thảy trước mắt trở thành [IT] Cả đời vung đi không được mộng má lúm đồng tiền.
49	Tiên Thiên Bất Túc	[NAME] Phụ mẫu là thân huynh muội, bởi vậy [IT] Xuất sinh liền hoạn có tiên thiên không đủ chứng bệnh. Cái này khiến [IT] Trời sinh người yếu, lại tuổi thọ khó nói hết.
50	Tảo Thục Nhi Đồng	[NAME] Gia cảnh sung túc, lại sinh một bộ tốt túi da. Từ nhỏ đã có phần bị khác phái hoan nghênh [IT] Bởi vậy đặc biệt trưởng thành sớm, có thể thành thạo điêu luyện nắm chắc giữa người và người khoảng cách.
51	Lưu Lãng Nhi	[NAME] Phụ thân thất thủ giết chết nơi đó ác bá chi tử, vì tránh né trả thù, đành phải mang theo thê tử đạp lên lưu vong con đường.\n[NAME] Từ nhỏ ký ức chính là đói một bữa no một bữa bôn ba.
52	Tiểu Thâu	[NAME] Vì sinh tồn, không thể không đi làm một chút lén lút sự tình, nhưng là lương tâm chưa mất.\n[IT] Rất ít trộm nhà cùng khổ, cũng thường thường đem trộm được đoạt được phân cho so [IT] Còn nhỏ hài đồng.
53	Tiểu Đạo Tặc	[NAME] Là một cái đội trộm cắp thành viên. Bởi vì [IT] Nhỏ tuổi mà lại tay chân vụng về, thường xuyên bị đội thành viên khác ghét bỏ đánh chửi, bọn hắn đem [IT] Lưu tại sào huyệt phụ trách hậu cần.\n Cũng chính là như thế, tại một lần triều đình nghiêm trị bên trong, [IT] May mắn sống tiếp được.
54	Mã Bối Thượng Đích Đồng Niên	[NAME] Là một cái du mục bộ lạc hài tử.[IT] Từ nhỏ tại trên lưng ngựa lớn lên, đi theo bộ lạc rong ruổi thảo nguyên.\n Ngày bình thường, [IT] Phụ trách nhặt phân ngựa thu thập chuồng ngựa, bất quá [IT] Không thích những công việc này.[ITS] Mộng tưởng là trở thành mạnh nhất thợ săn.
55	Đồng Dưỡng Tức	[NAME] Lúc rất nhỏ đợi liền bị bán cho địa chủ nhà nhi tử ngốc đương con dâu nuôi từ bé. Bởi vì sinh mỹ mạo, lại hiểu chuyện nhu thuận, rất được người khác yêu thích.\n Trên mặt đất chủ gia thời gian, [IT] Nhận lấy tốt đẹp huấn luyện, nắm giữ không ít nhà ở kỹ năng. Mưa dầm thấm đất hạ, cũng rơi vào ăn nói văn nhã.
56	Mục Dương Hài Đồng	[NAME] Xuất sinh Tây Hải bên cạnh một cái bộ lạc.[IT] Cùng cái khác mấy cái tiểu đồng bọn cùng một chỗ vì bộ lạc thả Mục Dương bầy.\n Nông trường bên cạnh có một tòa phế tích, truyền thuyết trong đó có quỷ quái quấy phá.[NAME] Thường thường tại chăn dê quá trình bên trong chuồn đi, một người chạy tới phế tích bên trong đi thám hiểm.
57	Chiến Loạn Di Cô	[NAME] Sinh ra ở một cái biên cảnh thành thị. Tại [IT] Lúc còn rất nhỏ, ngoại tộc xâm lấn, đồ [IT] Xuất sinh thành thị.[IT] May mắn sống tiếp được.\n[IT] Từ nhỏ đã lập thệ, nhất định phải tòng quân chinh phạt dị tộc, báo thù rửa hận. Vì thế, [IT] Lấy cường đại ý chí hoàn thành một hạng lại một hạng không thể nào huấn luyện.
58	Thập Hoang Nhi Đồng	[NAME] Tại trong chiến loạn mất đi gia viên. Cùng rất nhiều những hài tử khác đồng dạng, lấy nhặt ve chai mà sống.\n[IT] Dáng người nhỏ gầy linh hoạt, thường thường trộm đi đến khu nhà giàu trong đống rác chọn lựa trân quý phế phẩm bán lấy tiền. Cái này khiến [IT] Sớm tích lũy đầy đủ tài sản, bái nhập một cái thủ công cửa hàng đương học đồ.
59	Phật Tiền Đồng Tử	[NAME] Là chùa miếu trúng đồng tử, phụ trách phật tiền cầm đèn công việc. Quanh năm suốt tháng nghe kinh tụng phật để [IT] Tràn ngập linh tính, ngăn cách thế sự sinh hoạt để [IT] Tâm vô tạp niệm.
60	Tiểu Đạo Đồng	[NAME] Là đạo quán đồng tử, [IT] Từ nhỏ đi theo sư phó trải qua theo nhật nguyệt mà sinh tức, xem mây mưa mà động tĩnh sinh hoạt.\n[IT] Thiên tư thông minh, rất sâu xa tiềm năng, tại rất nhỏ niên kỷ liền đạt tới thiên nhân hợp nhất cảnh giới, mặc dù [IT] Cũng không tự biết.
61	Tiểu Sa Di	[NAME] Là một cái chùa miếu bên trong tiểu sa di.[IT] Trời sinh tính hiếu động, lại tham ăn uống chi dục, chùa miếu bên trong kham khổ sinh hoạt để [IT] Đau đến không muốn sống.\n[IT] Ba lần bốn lượt muốn chạy trốn ra chùa miếu, nhưng đều bị trong miếu võ tăng bắt trở về.
62	Thi Đàn Thần Đồng	[NAME] Thân phụ túc tuệ, sinh mà có thể nói, từng có mục không quên chi tài.[IT] Ba tuổi đối nghịch, năm tuổi thành thơ, bảy tuổi liền hưởng dự thi đàn, được xưng là thần đồng. Triều chính văn nhân đều biết tên.
63	Ngoan Đồng	[NAME] Khi còn bé đặc biệt nghịch ngợm. Là mười dặm tám hương nổi danh làm cho người ta tinh, vô luận đại nhân tiểu hài nhấc lên [IT] Đều cảm thấy đau đầu.\n Có một lần [IT] Không phục quản giáo, rời nhà trốn đi, trong núi lạc đường. Nhưng [IT] Thế mà không tim không phổi cùng hầu tử cùng một chỗ sinh sống nửa tháng mới bị người trong nhà tìm tới.
64	Bạn Nghịch Đích Hài Tử	[NAME] Có phụ thân là cái lão học cứu, từ nhỏ quản [IT] Quản đặc biệt nghiêm. Cái này khiến [IT] Nội tâm tràn đầy phản kháng tinh thần, khắp nơi nghĩ trăm phương ngàn kế gây phụ thân tức giận. Vì thế [IT] Ba ngày hai đầu liền sẽ bị đánh một trận.
65	Hoạt Bát Nhi Đồng	[NAME] Là cái hoạt bát mà hướng ngoại hài tử.[IT] Từ nhỏ đã không sợ người lạ người, hơi lớn lên một điểm sau càng là biết ăn nói.[ITS] Nhanh mồm nhanh miệng rất nhiều người trưởng thành đều biểu thị không chịu đựng nổi.\n[NAME] Ở chung quanh hài tử bên trong danh vọng rất cao, thường xuyên dẫn đầu trên trấn hài tử lên núi xuống sông, gây chuyện thị phi.
66	Nội Hướng Đích Đồng Niên	[NAME] Từ nhỏ hướng nội. Ngoại trừ phụ mẫu bên ngoài không dám gặp [IT] Người. Mỗi khi có người tiếp cận [IT], [IT] Liền sẽ đặc biệt khẩn trương mà không biết làm thế nào.\n Tại [IT] Lần thứ nhất bên trên tư thục thời điểm, bởi vì một cái khác phái đồng học hướng [IT] Đáp lời, [IT] Vậy mà khẩn trương đến tại chỗ hôn mê.
67	Tà Thuật Thí Nghiệm Phẩm	[NAME] Từ nhỏ bị một cái tà phái tán tu bắt đi, bị xem như tu luyện tà thuật dự bị vật liệu dùng yêu pháp phong ấn.\n Về sau nên tán tu bị chính phái nhân sĩ tru sát, [IT] Mới cứu. Nhưng cũng bởi vì thời gian dài bị yêu pháp phong ấn, [ITS] Thân thể lớn bị hao tổn tổn thương.
68	Tiểu Hỗn Hỗn	[NAME] Có phụ thân là nơi đó ác bá.[IT] Từ lúc còn nhỏ lên liền nhìn xem phụ thân làm những cái kia ức hiếp thiện lương hoạt động, cũng lấy thế làm vui.\n Tại [IT] Bảy tám tuổi thời điểm, [IT] Liền mượn [ITS] Phụ thân tiếng xấu gây dựng một cái ác thiếu minh, thường xuyên kết bạn hoành hành trong thôn, rất được quần chúng chán ghét.
69	Thông Linh Nhi Đồng	[NAME] Sinh ra một đôi Âm Dương Nhãn, có thể nhìn thấy người bình thường không thấy được đồ vật. Nhưng mà năng lực này để [IT] Quá sớm tiêu hao đại lượng nguyên khí.[IT] Thường thường sinh bệnh, lại thể chất suy yếu.\n Tại [IT] Mười tuổi lúc gặp được một cái vân du bốn phương lang trung, tên này lang trung thi triển châm cứu đem [ITS] Âm Dương Nhãn phong ấn, [ITS] Thân thể mới dần dần khỏe mạnh.
70	Thảo Nhân Hỉ Hoan	[NAME] Có một loại bẩm sinh thiên phú, chính là cảm giác đối phương tâm linh. Cái này khiến [IT] Có thể dễ như trở bàn tay thuận tâm tư của đối phương làm ra thỏa đáng nhất ứng đối.\n Tại [IT] Lúc còn rất nhỏ, [IT] Liền có thể thuần thục vận dụng năng lực này đến chiếm được người chung quanh niềm vui.
71	Phật Môn Truyện Thừa	[NAME] Sinh ra ở một cái gọi thảo miếu thôn địa phương, tại [IT] Bảy tuổi lúc, toàn thôn nhân bị một cái ác nhân giết chết. Một cái đi ngang qua lão hòa thượng cứu được [IT], cũng truyền cho [IT] Một đoạn khẩu quyết, dặn dò [IT] Mỗi ngày tu luyện, không thể nói cho bất luận kẻ nào.
72	Chiết Dực Thiên Tài	[NAME] Sinh ra ở một cái võ học thế gia, vốn là tuyệt thế tập võ thiên tài. Mà ở [IT] Mười một tuổi lúc đột mắc quái bệnh, nội lực dần dần xói mòn, tu luyện trở nên rất gian nan. Cùng mình chỉ phúc vi hôn nữ hài cũng bởi vậy đưa ra hối hôn.\n Thân phận chuyển biến để [IT] Nếm tận ấm lạnh, [IT] Thề nhất định phải một lần nữa đoạt lại mình hết thảy.
73	Bồi Độc Hài Đồng	[NAME] Là một cái tú tài bồi đọc đồng tử, nhưng mà tên này tú tài nhiều lần thi cử nhân không trúng, táo bạo sau khi thường xuyên đối [IT] Vừa đánh vừa mắng.\n[NAME] Không chịu nhục nổi, rốt cục quyết định, tại một cái đêm mưa vụng trộm chạy đi.
74	Phú Nhân Tử Đệ	[NAME] Phụ mẫu là cả nước lừng danh đại thương nhân, sinh ý bận rộn, lâu dài ra ngoài, chỉ là cho [IT] Lưu lại đại lượng tiền tài một mình sinh hoạt.\n[IT] Bởi vậy từ nhỏ đã trải qua ngang ngược, cố tình làm bậy sinh hoạt.
75	Du Hí Vương	[NAME] Trời sinh thông minh hiếu động, thích hô bằng dẫn bạn vui đùa. Tại [IT] Mười tuổi thời điểm, vô luận cờ bài đố đèn, vẫn là bóng đá ném thẻ vào bình rượu, [IT] Đều không gì không giỏi. Đấu tất xuất càng là [ITS] Độc môn tuyệt kỹ, [IT] Chọn lựa dế mèn thường thường sắc bén phi thường, hiếm người địch.
76	Thư Ngốc Tử	[NAME] Có phụ thân là cái tú tài, cả một đời không có thi đậu cử nhân, toàn bộ hi vọng toàn đặt ở [IT] Trên thân, mỗi ngày đốc xúc [NAME] Đọc sách tập làm văn.\n[IT] Từ nhỏ đã cùng sách làm bạn, không để ý đến chuyện bên ngoài. Thành một cái tay trói gà không chặt, cái gì cũng không biết con mọt sách.
77	Đạn Cung Cao Thủ	[NAME] Khi còn bé đặc biệt am hiểu chơi ná cao su, thường xuyên náo bộ lạc gà chó không yên.\n Tại [IT] Lớn lên một điểm sau, liền phụ trách chiếu khán bộ lạc bên trong ruộng đồng, dùng ná cao su xua đuổi đến ăn vụng cỡ nhỏ dã thú.
78	Thiên Sinh Quái Bệnh	[NAME] Từ nhỏ có quái bệnh, kinh mạch lẫn nhau không liên thông, không cách nào tu luyện. Mà lại thường xuyên té xỉu. Mỗi lần té xỉu sau, [IT] Đều sẽ phát ra kì lạ mùi thơm, chờ thức tỉnh liền tựa như bệnh nặng một trận, suy yếu vô cùng.\n Thụ cái này quái bệnh bối rối, [NAME] Không cách nào làm việc nặng.
79	Tây Vực Nhi Đồng	[NAME] Sinh ra ở một cái Tây Vực người Hồ gia đình. Tại mười tuổi năm đó, [IT] Chỗ bộ lạc bị Trung Nguyên chinh phục, [IT] Cả nhà cũng bị hợp nhất đến Trung Nguyên nội địa làm nô tài.\n Bởi vì địa vị thấp, lại không hiểu Trung Nguyên lời nói, [IT] Tại Trung Nguyên cuộc sống mới rất phí sức, thường xuyên bị làm khó dễ. Điều này cũng làm cho [IT] Càng thêm hướng nội.
80	Hoàng Tử	[NAME] Là đương triều hoàng tử một trong. Từ nhỏ trong thâm cung tiếp nhận nghiêm ngặt giáo dục cùng lục đục với nhau tôi luyện.\n Tại mười mấy tuổi thời điểm, [IT] Bị Đại hoàng tử hãm hại. Vì mạng sống [IT] Mai danh ẩn tích, giả chết chạy ra hoàng cung.
81	Khôi Lỗi Hoàng Đế	[NAME] Lúc ba tuổi liền kế thừa hoàng vị.[ITS] Tuổi thơ căn bản là ngây thơ ngồi ở trên hoàng vị, hưởng thụ người khác thổi phồng cùng lấy lòng. Bị nhiếp chính vương thao túng mà không biết.\n Tại [IT] Mười ba tuổi năm đó, nhiếp chính vương phát động chính biến, [IT] Tại tiên đế tâm phúc yểm hộ hạ trốn được tính mệnh... Nhưng cũng vĩnh viễn cáo biệt cẩm y ngọc thực sinh hoạt.
82	Đồng Tử Quân	[NAME] Xuất sinh loạn thế, quân phiệt hoành hành bốn phía trưng binh, liền nhi đồng đều không buông tha.[IT] Chính là như vậy bị một đại quân phiệt cưỡng ép chiêu mộ trở thành đồng tử quân.\n[ITS] Tuổi thơ đi theo bộ đội bốn phía lưu thoán, chủ yếu phụ trách một chút hậu kỳ kiến thiết loại công việc. Về sau tên này quân phiệt sự bại, thủ hạ cũng tứ tán đào mệnh, đường ai nấy đi.
83	Khoáng Động Cô Nhi	[NAME] Phụ mẫu đều là thợ mỏ, [IT] Từ nhỏ ngay tại thợ mỏ phòng lều lớn lên.\n Lại một lần nữa quáng nạn bên trong, [ITS] Phụ mẫu bất hạnh mất mạng. Vì sinh hoạt, [IT] Tuổi còn nhỏ liền bị ép nâng lên cuốc chim.
